Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.276,9.452823370586376,0.4516923342038308,0.399999529123306,0.003690998838481604,2.155988654883633,0.9682236624822982,0.9248220166107322,0.9437876967630369,0.9327216005788634
1.278,9.58545652931634,0.45406958802687253,0.399999529123306,0.0036774111535979315,2.1565813237601597,0.9684193566625436,0.9250229374141459,0.9439801039755684,0.9329263905622807
1.28,9.71758987682514,0.45643445363624313,0.399999529123306,0.0036632320743747483,2.1571617824434184,0.9686143586999892,0.9252225164431437,0.9441711247290966,0.9331297467726658
1.282,9.849202180266785,0.4587865664391259,0.399999529123306,0.0036484648020750914,2.1577301236128856,0.968808668904959,0.9254207513083182,0.9443607521238981,0.9333316638898455
1.284,9.980272323672379,0.4611255640958449,0.399999529123306,0.0036331126285126876,2.1582864402695328,0.9690022880469183,0.9256176401956747,0.944548979775753,0.9335321371573656
1.286,10.11077931119956,0.463451086585229,0.399999529123306,0.0036171789354716914,2.1588308256867927,0.9691952173450765,0.9258131818555959,0.9447358018073775,0.9337311623724885
1.288,10.240702270360734,0.46576277626932855,0.399999529123306,0.0036006671941102132,2.1593633733619555,0.9693874584587661,0.9260073755915735,0.944921212839666,0.9339287358759729
1.29,10.370020455229572,0.4680602779574708,0.399999529123306,0.0035835809643478085,2.159884176968006,0.9695790134776049,0.9262002212487092,0.9451052079827448,0.9341248545416402
1.292,10.498713249625148,0.47034323896964114,0.399999529123306,0.0035659238942370897,2.160393330305948,0.9697698849114472,0.926391719201995,0.9452877828268451,0.9343195157657381
1.294,10.62676017027319,0.47261130919917216,0.399999529123306,0.0035476997193196395,2.1608909272576193,0.969960075680128,0.9265818703443779,0.9454689334330044,0.9345127174561064
1.296,10.754140869943853,0.47486414117473097,0.399999529123306,0.003528912261966397,2.161377061739046,0.9701495891030112,0.9267706760746224,0.9456486563235984,0.9347044580211549
1.298,10.880835140565473,0.47710139012159164,0.399999529123306,0.0035095654307026967,2.16185182765434,0.9703384288883434,0.9269581382849728,0.9458269484727141,0.934894736358657
1.3,11.006822916313746,0.47932271402217985,0.399999529123306,0.0034896632195181437,2.1623153188501782,0.970526599122423,0.9271442593486264,0.9460038072963693,0.9350835518443728
1.302,11.132084276675798,0.48152777367587823,0.399999529123306,0.0034692097071615056,2.162767629070883,0.9707141042585888,0.9273290421070264,0.9461792306425844,0.9352709043205013
1.304,11.256599449488597,0.48371623275808606,0.399999529123306,0.0034482090564208123,2.1632088519141326,0.9709009491060387,0.9275124898569812,0.9463532167813158,0.9354567940839789
1.306,11.380348813951194,0.48588775787851823,0.399999529123306,0.0034266655133888524,2.1636390807873114,0.9710871388184794,0.9276946063376186,0.9465257643942557,0.9356412218746226
1.308,11.503312903610249,0.4880420186387397,0.399999529123306,0.0034045834067142565,2.1640584088645434,0.9712726788826197,0.9278753957171845,0.9466968725645069,0.9358241888631341
1.31,11.625472409318357,0.4901786876889233,0.399999529123306,0.0033819671468383636,2.164466929044412,0.9714575751065102,0.9280548625796923,0.9468665407661362,0.9360056966389646
1.312,11.746808182164633,0.49229744078382603,0.399999529123306,0.003358821225218064,2.1648647339084017,0.9716418336077396,0.9282330119114349,0.94703476885362,0.9361857471980564
1.314,11.867301236377072,0.4943979568379767,0.399999529123306,0.0033351502135348207,2.1652519156800736,0.9718254608014913,0.9284098490873633,0.9472015570511817,0.936364342930463
1.316,11.986932752196196,0.49647991798006613,0.399999529123306,0.0033109587628900638,2.1656285661850063,0.9720084633884701,0.9285853798573456,0.9473669059420337,0.9365414866078596
1.318,12.10568407871949,0.4985430096065401,0.399999529123306,0.003286251602987161,2.1659947768115106,0.9721908483427069,0.9287596103323107,0.9475308164575285,0.9367171813709491
1.32,12.223536736716145,0.5005869204343836,0.399999529123306,0.003261033541300169,2.1663506384721503,0.9723726228992431,0.9289325469702873,0.9476932898662249,0.9368914307167743
1.322,12.340472421411645,0.5026113425530971,0.399999529123306,0.0032353094622295624,2.1666962415660747,0.9725537945417109,0.9291041965623471,0.9478543277628816,0.9370642384859433
1.324,12.456473005241731,0.504615971475861,0.399999529123306,0.003209084326245149,2.1670316759422024,0.9727343709898092,0.9292745662184617,0.9480139320573785,0.9372356088497761
1.326,12.571520540575275,0.5066005061898801,0.399999529123306,0.0031823631690163783,2.167357030863247,0.9729143601866862,0.9294436633532791,0.9481721049635794,0.9374055462973814
1.328,12.68559726240563,0.5085646492059135,0.399999529123306,0.0031551511005302405,2.167672394970631,0.9730937702862361,0.9296114956718323,0.9483288489881381,0.9375740556226703
1.33,12.798685591010003,0.5105081066069832,0.399999529123306,0.003127453304196972,2.167977856250285,0.973272609640317,0.9297780711551868,0.9484841669192596,0.9377411419113184
1.332,12.910768134576411,0.512430588096262,0.399999529123306,0.0030992750359437656,2.1682735019993595,0.9734508867858971,0.9299433980460363,0.9486380618154198,0.93790681052768
1.334,13.021827691797801,0.5143318070441365,0.399999529123306,0.0030706216232966967,2.168559418793863,0.9736286104321386,0.9301074848342558,0.9487905369940548,0.9380710671016664
1.336,13.131847254432909,0.5162114805344543,0.399999529123306,0.0030414984644510715,2.1688356924572414,0.9738057894474264,0.930270340242422,0.9489415960202241,0.938233917515597
1.338,13.240810009833448,0.5180693294099433,0.399999529123306,0.0030119110273304,2.16910240802991,0.9739824328463471,0.9304319732113076,0.9490912426952558,0.9383953678910256
1.34,13.348699343437227,0.5199050783168154,0.399999529123306,0.0029818648486342075,2.169359649739769,0.974158549776632,0.9305923928853617,0.9492394810453824,0.9385554245755595
1.342,13.455498841226767,0.5217184557485484,0.399999529123306,0.0029513655328748814,2.1696075009736933,0.9743341495060649,0.9307516085981825,0.9493863153103732,0.9387140941296721
1.344,13.561192292153075,0.5235091940888519,0.399999529123306,0.0029204187514037675,2.1698460442500265,0.9745092414093689,0.930909629857995,0.9495317499321724,0.9388713833135214
1.346,13.66576369052416,0.5252770296538176,0.399999529123306,0.002889030241426715,2.170075361192086,0.9746838349550762,0.9310664663331358,0.9496757895435453,0.9390272990737795
1.348,13.769197238357917,0.5270217027332593,0.399999529123306,0.002857205805009277,2.1702955325026987,0.9748579396923907,0.9312221278375657,0.949818438956748,0.9391818485304871
1.35,13.871477347699006,0.5287429576312425,0.399999529123306,0.0028249513080717717,2.1705066379397633,0.9750315652380527,0.9313766243164062,0.9499597031522207,0.9393350389639341
1.352,13.972588642899408,0.530440542705808,0.399999529123306,0.002792272679374402,2.1707087562928686,0.9752047212632111,0.9315299658315193,0.9500995872673148,0.9394868778015811
1.354,14.072515962862228,0.5321142104078974,0.399999529123306,0.0027591759094926405,2.1709019653609656,0.9753774174803127,0.9316821625471328,0.9502380965850621,0.9396373726050256
1.356,14.171244363248467,0.5337637173194782,0.399999529123306,0.0027256670497830793,2.1710863419311126,0.975549663630019,0.9318332247155257,0.9503752365229909,0.939786531057023
1.358,14.268759118646383,0.5353888241908781,0.399999529123306,0.0026917522113399416,2.171261961758289,0.9757214694681537,0.9319831626627781,0.9505110126219989,0.9399343609485731
1.36,14.36504572470313,0.5369892959773311,0.399999529123306,0.0026574375639424577,2.171428899546307,0.975892844752696,0.9321319867745985,0.9506454305352868,0.9400808701660747
1.362,14.460089900218332,0.5385649018747423,0.399999529123306,0.0026227293349933,2.1715872289298086,0.9760637992308208,0.932279707482234,0.9507784960173632,0.9402260666785617
1.364,14.553877589199285,0.5401154153546729,0.399999529123306,0.0025876338084482716,2.1717370224573678,0.9762343426259997,0.9324263352484754,0.9509102149131266,0.940369958525027
1.366,14.64639496287749,0.5416406141985582,0.399999529123306,0.002552157323737449,2.1718783515757014,0.9764044846251695,0.9325718805537655,0.9510405931470292,0.9405125538018416
1.368,14.737628421686168,0.5431402805311557,0.399999529123306,0.002516306274677962,2.1720112866149948,0.9765742348659752,0.9327163538824188,0.9511696367123358,0.9406538606502798
1.37,14.8275645971985,0.5446142008532365,0.399999529123306,0.002480087108378614,2.1721358967753446,0.9767436029240963,0.9328597657089599,0.9512973516604752,0.9407938872441525
1.372,14.9161903540263,0.5460621660735232,0.399999529123306,0.0024435063241365212,2.172252250114333,0.9769125983006689,0.933002126484596,0.9514237440905037,0.9409326417775673
1.374,15.003492791678815,0.5474839715398797,0.399999529123306,0.002406570472325969,2.1723604135357237,0.9770812304098035,0.9331434466238226,0.9515488201386726,0.9410701324528095
1.376,15.089459246381367,0.5488794170697597,0.399999529123306,0.0023692861532796684,2.172460452779297,0.9772495085662168,0.9332837364911817,0.9516725859681224,0.941206367468366
1.378,15.174077292853658,0.5502483069799267,0.399999529123306,0.0023316600161625792,2.172552432411813,0.9774174419729769,0.9334230063881707,0.9517950477586964,0.9413413550070889
1.38,15.257334746047297,0.5515904501154376,0.399999529123306,0.0022936987578385418,2.172636415819122,0.977585039709377,0.9335612665403198,0.9519162116968907,0.9414751032245129
1.382,15.339219662842474,0.5529056598779151,0.399999529123306,0.002255409121729815,2.1727124651994068,0.977752310718943,0.9336985270844423,0.9520360839659414,0.9416076202373328
1.384,15.41972034370344,0.5541937542530994,0.399999529123306,0.002216797896669769,2.172780641557567,0.9779192637975813,0.9338347980560644,0.9521546707360573,0.9417389141120465
1.386,15.49882533429254,0.5554545558376943,0.399999529123306,0.0021778719157488804,2.1728410047007416,0.97808590758188,0.9339700893770466,0.9522719781548068,0.9418689928537746
1.388,15.576523427042613,0.5566878918655154,0.399999529123306,0.0021386380551542106,2.1728936132349785,0.9782522505375675,0.9341044108434049,0.9523880123376604,0.9419978643952621
1.39,15.652803662687472,0.5578935942329389,0.399999529123306,0.002099103233002547,2.1729385245630284,0.9784183009481381,0.9342377721133364,0.952502779358701,0.9421255365860699
1.392,15.727655331750285,0.5590714995236677,0.399999529123306,0.002059274408167379,2.17297579488329,0.9785840669036535,0.934370182695462,0.9526162852415041,0.9422520171819624
1.394,15.80106797598961,0.5602214490328125,0.399999529123306,0.0020191585790998766,2.1730054791898787,0.9787495562897267,0.9345016519372906,0.9527285359501951,0.9423773138345017
1.396,15.87303138980288,0.5613432887902999,0.399999529123306,0.0019787627826440457,2.173027631273827,0.9789147767766972,0.934632189013915,0.9528395373806909,0.9425014340808503
1.398,15.94353562158714,0.5624368695836114,0.399999529123306,0.001938094092846231,2.1730423037254143,0.9790797358090064,0.9347618029169474,0.9529492953521315,0.9426243853337957
1.4,16.012570975056803,0.5635020469798568,0.399999529123306,0.0018971596197591258,2.173049547937613,0.979244440594778,0.9348905024437,0.9530578155985048,0.9427461748719971
1.402,16.080128010518287,0.5645386813471946,0.399999529123306,0.0018559665082404635,2.1730494141106567,0.9794088980956147,0.9350182961866205,0.9531651037604755,0.9428668098304658
1.404,16.146197546101295,0.565546637875597,0.399999529123306,0.001814521936746549,2.173041951257708,0.9795731150166156,0.9351451925229888,0.9532711653774177,0.9429862971912841
1.406,16.210770658946554,0.5665257865969695,0.399999529123306,0.001772833116120794,2.1730272072116374,0.9797370977966269,0.935271199604884,0.9533760058796633,0.9431046437745705
1.408,16.273838686349894,0.5674760024046288,0.399999529123306,0.0017309072883774214,2.1730052286328934,0.9799008525987245,0.9353963253494256,0.9534796305809647,0.9432218562296933
1.41,16.335393226862422,0.5683971650721462,0.399999529123306,0.0016887517254804932,2.172976061018458,0.9800643853009465,0.9355205774292981,0.9535820446711823,0.9433379410267446
1.412,16.39542614134668,0.5692891592715529,0.399999529123306,0.0016463737281184265,2.1729397487118787,0.9802277014872752,0.9356439632635672,0.9536832532092008,0.9434529044482785
1.414,16.453929553988566,0.5701518745909235,0.399999529123306,0.001603780624474153,2.17289633491437,0.9803908064388777,0.9357664900087902,0.9537832611160763,0.9435667525813163
1.416,16.510895853264987,0.5709852055513317,0.399999529123306,0.00156097976899108,2.17284586169697,0.9805537051256141,0.9358881645504319,0.9538820731684243,0.9436794913096297
1.418,16.566317692866924,0.5717890516231829,0.399999529123306,0.0015179785411350087,2.1727883700137394,0.9807164021978179,0.9360089934945869,0.9539796939920482,0.9437911263063041
1.42,16.620187992577907,0.5725633172419347,0.399999529123306,0.001474784344152166,2.172723899715998,0.9808789019783543,0.9361289831600215,0.9540761280558157,0.9439016630265876
1.422,16.6724999391077,0.5733079118231948,0.399999529123306,0.0014314046038235032,2.1726524895675796,0.9810412084549684,0.9362481395705338,0.9541713796657884,0.9440111067010333
1.424,16.723246986881062,0.5740227497772108,0.399999529123306,0.0013878467672154174,2.1725741772610894,0.9812033252729218,0.9363664684476418,0.9542654529596045,0.9441194623289356
1.426,16.772422858781514,0.5747077505227474,0.399999529123306,0.001344118301427048,2.172488999435161,0.9813652557279302,0.9364839752036064,0.9543583519011246,0.9442267346720725
