Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.078,34.40369974323168,0.40000002178947186,0.4,-2.1876597318458047e-10,1.431419708976386,0.9999999914061866,0.9919935379071607,0.9999999955418004,0.9959841727122505
0.08,34.403699735265064,0.4000000216231127,0.4,-2.2381691844501397e-10,1.4314197089785319,0.9999999914111217,0.991993537911188,0.9999999955442078,0.9959841727154255
0.082,34.403699727117335,0.4000000214535187,0.4,-2.288281457750491e-10,1.4314197089806577,0.9999999914161591,0.9919935379152971,0.9999999955466643,0.9959841727186651
0.084,34.40369971878992,0.40000002128073625,0.4,-2.3379890849133724e-10,1.4314197089827605,0.9999999914212976,0.9919935379194873,0.9999999955491696,0.9959841727219688
0.086,34.40369971028431,0.4000000211048117,0.4,-2.3872847085928294e-10,1.4314197089848393,0.9999999914265354,0.9919935379237571,0.9999999955517228,0.9959841727253355
0.088,34.40369970160198,0.40000002092579207,0.4,-2.436161081903182e-10,1.4314197089868919,0.9999999914318711,0.991993537928106,0.9999999955543234,0.9959841727287645
0.09,34.40369969274446,0.4000000207437234,0.4,-2.484611065825044e-10,1.4314197089889162,0.9999999914373038,0.991993537932532,0.9999999955569703,0.9959841727322547
0.092,34.4036996837133,0.40000002055865286,0.4,-2.5326276316047545e-10,1.4314197089909113,0.9999999914428314,0.9919935379370343,0.9999999955596633,0.9959841727358053
0.094,34.40369967451007,0.40000002037062676,0.4,-2.5802038607327616e-10,1.431419708992876,0.9999999914484531,0.9919935379416119,0.9999999955624014,0.9959841727394152
0.096,34.40369966513637,0.4000000201796914,0.4,-2.6273329432575353e-10,1.431419708994808,0.999999991454167,0.9919935379462638,0.999999995565184,0.9959841727430837
0.098,34.403699655593826,0.400000019985894,0.4,-2.674008179082558e-10,1.4314197089967071,0.999999991459972,0.9919935379509882,0.9999999955680106,0.9959841727468098
0.1,34.40369964588407,0.4000000197892809,0.4,-2.720222977858242e-10,1.4314197089985705,0.9999999914658665,0.9919935379557847,0.9999999955708803,0.9959841727505928
0.102,34.403699636008774,0.4000000195898987,0.4,-2.765970859133243e-10,1.4314197090003982,0.999999991471849,0.9919935379606515,0.9999999955737923,0.9959841727544314
0.104,34.403699625969644,0.4000000193877942,0.4,-2.8112454513384877e-10,1.4314197090021867,0.9999999914779181,0.9919935379655878,0.999999995576746,0.9959841727583251
0.106,34.40369961576838,0.40000001918301475,0.4,-2.8560404934732583e-10,1.4314197090039367,0.9999999914840725,0.9919935379705922,0.9999999955797406,0.9959841727622722
0.108,34.40369960540673,0.4000000189756063,0.4,-2.9003498348674127e-10,1.4314197090056466,0.9999999914903102,0.9919935379756637,0.9999999955827756,0.9959841727662727
0.11,34.40369959488645,0.4000000187656158,0.4,-2.944167433862776e-10,1.4314197090073153,0.99999999149663,0.9919935379808008,0.9999999955858502,0.9959841727703251
0.112,34.40369958420932,0.4000000185530906,0.4,-2.9874873588291183e-10,1.4314197090089404,0.9999999915030306,0.9919935379860026,0.9999999955889636,0.9959841727744286
0.114,34.403699573377146,0.40000001833807786,0.4,-3.0303037893962934e-10,1.4314197090105218,0.9999999915095105,0.991993537991268,0.9999999955921152,0.9959841727785822
0.116,34.40369956239174,0.4000000181206239,0.4,-3.0726110145303707e-10,1.431419709012058,0.9999999915160679,0.9919935379965955,0.9999999955953041,0.995984172782785
0.118,34.40369955125497,0.4000000179007759,0.4,-3.114403433484761e-10,1.4314197090135492,0.9999999915227012,0.9919935380019839,0.9999999955985296,0.995984172787036
0.12,34.40369953996866,0.4000000176785806,0.4,-3.155675556016384e-10,1.4314197090149925,0.999999991529409,0.9919935380074321,0.9999999956017912,0.9959841727913343
0.122,34.40369952853473,0.40000001745408553,0.4,-3.1964220025153624e-10,1.431419709016388,0.99999999153619,0.9919935380129388,0.9999999956050879,0.9959841727956787
