Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,iEEET2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.168,9.421137344959725,0.38959560285227063,0.4,0.0001339329788050559,1.8846711463432946,0.9871504653103199,0.9346591632643825,0.948927880468859,0.9400352214209492
5.17,9.426002302381555,0.3897100841295444,0.4,0.0001363379381436378,1.8852257496162534,0.9871653264851157,0.9346728543693368,0.9489400477891091,0.9400485747108028
5.172,9.430953350881907,0.3898259617490718,0.4,0.00013871576254936545,1.8857793017775022,0.9871803159438912,0.9346866775947723,0.9489523393838337,0.9400620611930474
5.174,9.435989507806191,0.38994321454449876,0.4,0.00014106613079515728,1.8863317977096032,0.9871954331532933,0.934700631768974,0.948964753908547,0.9400756795328391
5.176,9.441109779025396,0.3900618211983298,0.4,0.0001433887266468065,1.8868832323538092,0.9872106775743794,0.934714715711443,0.948977290009144,0.940089428385622
5.178,9.44631315911648,0.3901817602454276,0.4,0.00014568323889742422,1.8874336007098784,0.9872260486627402,0.934728928233138,0.9489899463221653,0.9401033063973939
5.18,9.451598631543945,0.39030301007652457,0.4,0.00014794936140104966,1.8879828978358768,0.9872415458686189,0.9347432681367162,0.9490027214750623,0.9401173122049746
5.182,9.456965168842633,0.3904255489417493,0.4,0.00015018679310544106,1.88853111884797,0.9872571686370334,0.9347577342167747,0.9490156140864604,0.9401314444362724
5.184,9.462411732801664,0.390549354954164,0.4,0.00015239523808403282,1.8890782589202038,0.9872729164078974,0.9347723252600931,0.9490286227664265,0.9401457017105523
5.186,9.46793727464954,0.39067440609331255,0.4,0.00015457440556707159,1.889624313284274,0.9872887886161419,0.9347870400458745,0.9490417461167316,0.9401600826387042
5.188,9.473540735240327,0.3908006802087802,0.4,0.0001567240099719092,1.8901692772292864,0.9873047846918378,0.9348018773459876,0.9490549827311187,0.9401745858235099
5.19,9.479221045240932,0.39092815502376516,0.4,0.0001588437709324659,1.8907131461015054,0.9873209040603164,0.934816835925209,0.9490683311955659,0.9401892098599116
5.192,9.484977125319402,0.3910568081386561,0.4,0.00016093341332784974,1.8912559153040922,0.9873371461422928,0.9348319145414646,0.9490817900885554,0.940203953335281
5.194,9.490807886334268,0.39118661703462465,0.4,0.00016299266731014523,1.8917975802968359,0.987353510353987,0.9348471119460713,0.9490953579813348,0.9402188148296847
5.196,9.496712229524862,0.39131755907722177,0.4,0.00016502126833135034,1.8923381365958718,0.9873699961072461,0.9348624268839785,0.9491090334381862,0.940233792916155
5.198,9.502689046702569,0.39144961151998575,0.4,0.0001670189571694748,1.8928775797733928,0.9873866028096662,0.9348778580940098,0.9491228150166895,0.9402488861609551
5.2,9.508737220443033,0.3915827515080564,0.4,0.000168985479953787,1.8934159054573494,0.9874033298647137,0.9348934043091025,0.9491367012679877,0.9402640931238467
5.202,9.514855624279244,0.3917169560817973,0.4,0.00017092058818922231,1.8939531093311446,0.9874201766718469,0.9349090642565492,0.9491506907370514,0.9402794123583581
5.204,9.521043122895486,0.3918522021804255,0.4,0.00017282403877993269,1.8944891871333167,0.9874371426266365,0.9349248366582362,0.9491647819629433,0.940294842412048
5.206,9.527298572322122,0.3919884666456451,0.4,0.0001746955940519911,1.8950241346572159,0.9874542271208877,0.9349407202308845,0.9491789734790826,0.9403103818267746
5.208,9.53362082013117,0.3921257262252906,0.4,0.0001765350217752389,1.8955579477506717,0.9874714295427596,0.934956713686287,0.949193263813507,0.940326029138958
5.21,9.540008705632673,0.3922639575769715,0.4,0.00017834209518428792,1.8960906223156544,0.9874887492768847,0.9349728157315461,0.9492076514891356,0.9403417828798455
5.212,9.546461060071785,0.39240313727172405,0.4,0.00018011659299865986,1.8966221543079274,0.9875061857044898,0.9349890250693127,0.9492221350240325,0.9403576415757767
5.214,9.552976706826591,0.3925432417976672,0.4,0.0001818582994420754,1.8971525397366935,0.9875237382035139,0.9350053403980205,0.9492367129316663,0.9403736037484448
5.216,9.559554461606568,0.3926842475636611,0.4,0.00018356700426088208,1.897681774664233,0.9875414061487271,0.9350217604121226,0.9492513837211721,0.9403896679151602
5.218,9.566193132651746,0.39282613090297075,0.4,0.00018524250274163309,1.8982098552055369,0.9875591889118478,0.9350382838023247,0.94926614589761,0.9404058325891105
5.22,9.572891520932444,0.39296886807692877,0.4,0.00018688459572780065,1.898736777527933,0.9875770858616603,0.9350549092558199,0.9492809979622254,0.9404220962796218
