Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334238120791895,0.40000002555787106,0.4,0.0,1.4351069202266544,0.9999999917469704,0.9919935380858338,0.9999999956670121,0.995984172865126
0.002,34.33423812068441,0.4000000255552257,0.4,-5.9709799518213185e-12,1.4351069202266498,0.999999991747042,0.9919935380858937,0.9999999956670477,0.9959841728651729
0.004,34.334238120362,0.40000002554733,0.4,-1.1940169364222891e-11,1.4351069202266165,0.9999999917472567,0.9919935380860732,0.9999999956671541,0.9959841728653139
0.006,34.334238119824754,0.40000002553424335,0.4,-1.7906348662832457e-11,1.435106920226526,0.9999999917476134,0.9919935380863713,0.999999995667331,0.9959841728655481
0.008,34.33423811907279,0.40000002551602387,0.4,-2.3868312161873807e-11,1.4351069202263504,0.999999991748112,0.9919935380867871,0.999999995667578,0.9959841728658749
0.01,34.3342381181063,0.40000002549272934,0.4,-2.982486785448681e-11,1.4351069202260613,0.9999999917487513,0.9919935380873203,0.9999999956678945,0.9959841728662937
0.012,34.33423811692548,0.40000002546441715,0.4,-3.577483720737076e-11,1.435106920225631,0.9999999917495314,0.9919935380879699,0.9999999956682805,0.9959841728668044
0.014,34.3342381155306,0.4000000254311427,0.4,-4.1717055044055276e-11,1.435106920225032,0.9999999917504506,0.9919935380887349,0.999999995668735,0.9959841728674057
0.016,34.33423811392196,0.40000002539296226,0.4,-4.765036935251358e-11,1.4351069202242364,0.9999999917515091,0.991993538089615,0.999999995669258,0.9959841728680976
0.018,34.334238112099904,0.40000002534992996,0.4,-5.3573641079805775e-11,1.4351069202232172,0.9999999917527054,0.9919935380906089,0.9999999956698489,0.9959841728688787
0.02,34.334238110064796,0.4000000253021004,0.4,-5.948574400237993e-11,1.4351069202219473,0.9999999917540392,0.9919935380917159,0.9999999956705071,0.9959841728697494
0.022,34.33423810781707,0.40000002524952694,0.4,-6.538556458556486e-11,1.4351069202203997,0.9999999917555094,0.9919935380929352,0.9999999956712324,0.9959841728707084
0.024,34.334238105357194,0.40000002519226324,0.4,-7.127200192736724e-11,1.4351069202185478,0.9999999917571154,0.991993538094266,0.9999999956720241,0.9959841728717549
0.026,34.33423810268566,0.40000002513036076,0.4,-7.71439674752956e-11,1.4351069202163653,0.9999999917588558,0.9919935380957074,0.9999999956728819,0.9959841728728888
0.028,34.33423809980302,0.4000000250638727,0.4,-8.300038505013844e-11,1.435106920213826,0.9999999917607305,0.9919935380972585,0.9999999956738052,0.9959841728741091
0.03,34.33423809670983,0.40000002499284965,0.4,-8.884019073139676e-11,1.435106920210904,0.9999999917627378,0.9919935380989184,0.9999999956747934,0.995984172875415
0.032,34.33423809340673,0.40000002491734354,0.4,-9.466233255465335e-11,1.4351069202075735,0.9999999917648774,0.9919935381006864,0.999999995675846,0.9959841728768061
0.034,34.33423808989437,0.40000002483740543,0.4,-1.00465770706121e-10,1.4351069202038091,0.9999999917671478,0.9919935381025612,0.9999999956769626,0.9959841728782813
0.036,34.33423808617343,0.40000002475308477,0.4,-1.0624947734754907e-10,1.4351069201995856,0.9999999917695482,0.9919935381045422,0.9999999956781427,0.9959841728798404
0.038,34.33423808224465,0.4000000246644325,0.4,-1.120124363200775e-10,1.435106920194878,0.9999999917720777,0.9919935381066284,0.9999999956793857,0.9959841728814824
0.04,34.3342380781088,0.40000002457149786,0.4,-1.1775364331068381e-10,1.4351069201896618,0.9999999917747351,0.9919935381088186,0.9999999956806909,0.9959841728832066
0.042,34.33423807376666,0.40000002447433064,0.4,-1.2347210568357441e-10,1.4351069201839122,0.9999999917775193,0.9919935381111121,0.9999999956820579,0.9959841728850122
