Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.878,9.656066735568997,0.3782126962315627,0.4,-0.0012936009917779402,1.9497268672578882,0.995234037573762,0.9393564231877711,0.9518263728722098,0.943809410863162
2.88,9.609591947715876,0.37747003422437336,0.4,-0.0012883028299334014,1.949594607415899,0.995236597327178,0.9393298101340609,0.9517894980984172,0.943775099638981
2.882,9.563311000498919,0.3767327484027707,0.4,-0.00128283227958667,1.949464012151178,0.9952389825929748,0.93930324444068,0.9517527753513911,0.9437409040812226
2.884,9.517230076866289,0.37600093683541197,0.4,-0.001277190624421747,1.9493350744157014,0.9952411978120471,0.939276733645631,0.9517162125729044,0.9437068323257002
2.886,9.471355313144844,0.37527469644242617,0.4,-0.0012713791707800355,1.949207786602983,0.9952432474763984,0.9392502852937522,0.9516798176870153,0.9436728924999038
2.888,9.425692798229424,0.3745541229841913,0.4,-0.0012653992473885662,1.9490821405504746,0.9952451361270739,0.9392239069341851,0.9516435985977872,0.9436390927205133
2.89,9.380248572781833,0.37383931105036583,0.4,-0.0012592522050856364,1.948958127542263,0.9952468683520723,0.9391976061178346,0.9516075631870072,0.9436054410909048
2.892,9.335028628439877,0.3731303540491796,0.4,-0.0012529394165439627,1.9488357383120618,0.9952484487842351,0.9391713903948179,0.9515717193119004,0.9435719456986532
2.894,9.290038907036275,0.3724273441969814,0.4,-0.0012464622759913678,1.9487149630464926,0.9952498820991181,0.9391452673119078,0.9515360748028452,0.9435386146130292
2.896,9.245285299827811,0.37173037250804447,0.4,-0.0012398221989291035,1.9485957913886542,0.9952511730128467,0.9391192444099683,0.9515006374610864,0.9435054558824946
2.898,9.200773646734524,0.37103952878462865,0.4,-0.0012330206218478263,1.9484782124419786,0.9952523262799524,0.9390933292213868,0.9514654150564529,0.9434724775321975
2.9,9.156509735589303,0.370354901607301,0.4,-0.0012260590019413326,1.9483622147743662,0.9952533466911953,0.9390675292675027,0.951430415325076,0.9434396875614666
2.902,9.112499301397694,0.3696765783255138,0.4,-0.0012189388168180647,1.9482477864226024,0.9952542390713733,0.9390418520560337,0.9513956459671105,0.9434070939413064
2.904,9.068748025608272,0.36900464504843866,0.4,-0.0012116615642104986,1.9481349148970475,0.9952550082771195,0.9390163050785016,0.9513611146444627,0.9433747046118972
2.906,9.025261535393353,0.368339186636056,0.4,-0.0012042287616824225,1.948023587186599,0.9952556591946861,0.9389908958076597,0.9513268289785234,0.9433425274800967
2.908,8.982045402940454,0.3676802866905053,0.4,-0.0011966419463342178,1.9479137897639216,0.9952561967377207,0.9389656316949205,0.9512927965479068,0.9433105704169483
2.91,8.939105144754226,0.3670280275476842,0.4,-0.0011889026745061494,1.9478055085909414,0.9952566258450342,0.9389405201677894,0.9512590248861993,0.943278841255196
2.912,8.896446220969274,0.3663824902691096,0.4,-0.0011810125214797807,1.9476987291245988,0.9952569514783608,0.9389155686273016,0.9512255214797167,0.943247347786806
2.914,8.854074034673578,0.3657437546340268,0.4,-0.0011729730811775156,1.9475934363228593,0.9952571786201114,0.9388907844454659,0.9511922937652717,0.9432160977604988
2.916,8.811993931242956,0.36511189913177783,0.4,-0.0011647859658603852,1.9474896146509735,0.9952573122711257,0.9388661749627155,0.9511593491279529,0.9431850988792901
2.918,8.770211197686244,0.3644870009544176,0.4,-0.00115645280582408,1.9473872480879857,0.9952573574484163,0.9388417474853683,0.9511266948989154,0.9431543587980445
2.92,8.728731062001634,0.36386913598958653,0.4,-0.0011479752490933454,1.9472863201334842,0.9952573191829164,0.9388175092830974,0.9510943383531879,0.9431238851210412
2.922,8.68755869254387,0.3632583788136287,0.4,-0.00113935496111474,1.9471868138145894,0.995257202517222,0.9387934675864127,0.9510622867074903,0.9430936853995536
