Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.586,13.52835524510088,0.4757365439941138,0.4,-0.0002818244042726392,1.9572604367008613,1.0049240435325926,0.9487802922724208,0.9605306258085113,0.9532058818443019
2.588,13.517892019370366,0.4753864895728979,0.4,-0.000299452008226181,1.9568386021254465,1.004938527311111,0.9487790072219572,0.9605219024057803,0.9531998395827063
2.59,13.506795717160813,0.4750254372869427,0.4,-0.00031699489282499955,1.9564188435113938,1.0049528987768677,0.9487773139049915,0.960512653257502,0.9531932964239224
2.592,13.49506943435892,0.4746534729466737,0.4,-0.00033445050645391285,1.9560011353944466,1.0049671560563467,0.9487752127648658,0.9605028802685461,0.9531862537554034
2.594,13.482716358342232,0.47427068387812576,0.4,-0.00035181631796280503,1.9555854523564107,1.0049812972096483,0.9487727042295135,0.9604925853606109,0.9531787129688406
2.596,13.46973976723606,0.47387715890538173,0.4,-0.00036908981701682276,1.9551717691268509,1.0049953202323734,0.9487697887130669,0.9604817704732329,0.9531706754614645
2.598,13.456143029157907,0.47347298833282436,0.4,-0.0003862685144423507,1.9547600608344793,1.0050092230575711,0.9487664666175093,0.9604704375648286,0.9531621426373846
2.6,13.44192960144948,0.4730582639271891,0.4,-0.0004033499425688466,1.9543503028086715,1.0050230035577348,0.9487627383343582,0.9604585886137541,0.9531531159089544
2.602,13.427103029896509,0.47263307889940676,0.4,-0.0004203316555663643,1.9539424705300543,1.0050366595468276,0.9487586042463744,0.9604462256193801,0.9531435966981548
2.604,13.411666947936459,0.4721975278862478,0.4,-0.00043721122977883996,1.953536539657461,1.005050188782352,0.9487540647292936,0.9604333506031825,0.9531335864379996
2.606,13.395625075854353,0.4717517069317777,0.4,-0.0004539862640529748,1.9531324860544927,1.005063588967459,0.9487491201535923,0.9604199656098525,0.9531230865739647
2.608,13.378981219966795,0.47129571346861776,0.4,-0.00047065438006279144,1.9527302858156639,1.0050768577530997,0.9487437708862745,0.9604060727084212,0.9531120985654362
2.61,13.361739271794438,0.4708296462990218,0.4,-0.00048721322262969925,1.9523299152921196,1.005089992740213,0.9487380172926857,0.9603916739933978,0.9531006238871789
2.612,13.343903207222956,0.470353605575767,0.4,-0.0005036604600381456,1.9519313511169032,1.0051029914819527,0.9487318597383497,0.9603767715859232,0.9530886640308229
2.614,13.325477085652794,0.46986769278286106,0.4,-0.0005199937843466915,1.9515345702297624,1.0051158514859466,0.9487252985908244,0.9603613676349342,0.953076220506366
2.616,13.306465049137726,0.4693720107160713,0.4,-0.0005362109116945883,1.9511395499014752,1.0051285702165926,0.9487183342215807,0.9603454643183391,0.9530632948436916
2.618,13.28687132151255,0.46886666346327693,0.4,-0.0005523095826036955,1.9507462677576837,1.0051411450973835,0.9487109670078945,0.9603290638442018,0.9530498885940982
2.62,13.266700207509896,0.4683517563846435,0.4,-0.0005682875622758175,1.9503547018022165,1.005153573513263,0.9487031973347604,0.9603121684519359,0.953036003331844
2.622,13.24595609186652,0.46782739609263124,0.4,-0.0005841426408853019,1.9499648304398918,1.0051658528130099,0.948695025596814,0.9602947804135025,0.9530216406556977
2.624,13.224643438419047,0.46729369043182933,0.4,-0.0005998726338669759,1.94957663249878,1.0051779803116472,0.9486864522002716,0.9602769020346177,0.9530068021905016
2.626,13.202766789189525,0.4667507484586279,0.4,-0.0006154753821992678,1.9491900872519188,1.0051899532928787,0.9486774775648786,0.9602585356559602,0.9529914895887399
2.628,13.180330763460795,0.4661986804207256,0.4,-0.0006309487526825883,1.9488051744384636,1.005201769011544,0.9486681021258668,0.9602396836543846,0.9529757045321134
2.63,13.15734005684199,0.46563759773647684,0.4,-0.0006462906382128238,1.9484218742842632,1.0052134246960995,0.948658326335921,0.9602203484441358,0.9529594487331182
2.632,13.133799440324223,0.4650676129740827,0.4,-0.0006614989580500132,1.9480401675218468,1.0052249175511137,0.9486481506671494,0.9602005324780621,0.9529427239366272
2.634,13.109713759326743,0.46448883983062755,0.4,-0.0006765716580820656,1.947660035409814,1.0052362447597833,0.9486375756130604,0.9601802382488296,0.9529255319214726
2.636,13.085087932733625,0.4639013931109658,0.4,-0.0006915067110835907,1.947281459751611,1.0052474034864625,0.9486266016905391,0.9601594682901323,0.9529078745020277
2.638,13.059926951921303,0.4633053887064584,0.4,-0.0007063021169697002,1.9469044229136903,1.0052583908792068,0.9486152294418273,0.9601382251779005,0.9528897535297872
2.64,13.034235879776976,0.46270094357356734,0.4,-0.000720955903044853,1.946528907843035,1.0052692040723283,0.9486034594364994,0.9601165115315022,0.952871170894944
2.642,13.008019849708228,0.46208817571231026,0.4,-0.0007354661242466061,1.9461548980840473,1.0052798401889622,0.9485912922734393,0.9600943300149406,0.9528521285279602
2.644,12.981284064643894,0.46146720414457265,0.4,-0.0007498308633843438,1.9457823777947834,1.0052902963436388,0.9485787285828091,0.9600716833380422,0.9528326284011334
2.646,12.954033796026481,0.46083814889229013,0.4,-0.0007640482313728493,1.9454113317625332,1.0053005696448623,0.9485657690280138,0.9600485742576362,0.9528126725301517
