Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.358,28.792263512289022,0.397820169976458,0.399999529123306,-0.00013284885282719615,1.32202142408502,1.0001682186691923,0.9921079109966635,1.0000725166632782,0.9960770521877433
7.36,28.787491131310663,0.3977324761250244,0.399999529123306,-0.00013227977937196265,1.3220660646329991,1.0001671246189876,0.9921078178512082,1.0000723059191055,0.9960768776242175
7.362,28.782739629578384,0.3976454409238855,0.399999529123306,-0.00013168892251816709,1.3221113907161561,1.0001660131290884,0.992107709652797,1.000072086116609,0.9960766911573092
7.364,28.77800978827137,0.3975590777431465,0.399999529123306,-0.00013107645077336334,1.3221573927326524,1.0001648844411974,0.9921075864709175,1.0000718573282328,0.9960764928618718
7.366,28.773302382442917,0.3974733997947785,0.399999529123306,-0.00013044253595087597,1.3222040609679364,1.0001637387998792,0.9921074483779615,1.0000716196281494,0.9960762828150423
7.368,28.76861818090213,0.3973884201307386,0.399999529123306,-0.00012978735312970147,1.3222513855969258,1.0001625764524888,0.992107295449184,1.000071373092228,0.9960760610962037
7.37,28.76395794609711,0.39730415164112765,0.399999529123306,-0.00012911108061395017,1.3222993566862131,1.0001613976491017,0.9921071277626645,1.0000711177980008,0.9960758277869479
7.372,28.759322433999564,0.39722060705238,0.399999529123306,-0.0001284138998918327,1.322347964196303,1.0001602026424392,0.9921069453992635,1.0000708538246292,0.9960755829710362
7.374,28.754712393990925,0.39713779892549,0.399999529123306,-0.00012769599559420567,1.3223971979838711,1.0001589916877978,0.9921067484425827,1.0000705812528696,0.9960753267343617
7.376,28.75012856874998,0.3970557396542732,0.399999529123306,-0.00012695755545268038,1.32244704780405,1.000157765042977,0.9921065369789226,1.00007030016504,0.9960750591649106
7.378,28.745571694142008,0.39697444146366284,0.399999529123306,-0.00012619877025730754,1.3224975033127395,1.0001565229682041,0.9921063110972391,1.0000700106449845,0.9960747803527211
7.38,28.74104249910942,0.39689391640804,0.399999529123306,-0.00012541983381384147,1.3225485540689415,1.0001552657260624,0.992106070889102,1.00006971277804,0.996074490389846
7.382,28.736541705563997,0.3968141763696043,0.399999529123306,-0.00012462094290059916,1.322600189537116,1.0001539935814174,0.9921058164486496,1.0000694066509999,0.996074189370311
7.384,28.73207002828063,0.39673523305677405,0.399999529123306,-0.00012380229722491846,1.3226523990895622,1.0001527068013412,0.9921055478725465,1.0000690923520787,0.9960738773900748
7.386,28.727628174792706,0.3966570980026284,0.399999529123306,-0.00012296409937922754,1.3227051720088183,1.00015140565504,0.9921052652599387,1.0000687699708792,0.9960735545469888
7.388,28.72321684528899,0.3965797825633814,0.399999529123306,-0.00012210655479673026,1.3227584974900846,1.0001500904137774,0.9921049687124087,1.0000684395983532,0.9960732209407556
7.39,28.718836732512205,0.3965032979168967,0.399999529123306,-0.00012122987170672266,1.3228123646436654,1.000148761350802,0.9921046583339312,1.0000681013267685,0.9960728766728886
7.392,28.714488521659153,0.3964276550612336,0.399999529123306,-0.00012033426108954478,1.3228667624974313,1.0001474187412709,0.9921043342308278,1.0000677552496724,0.9960725218466705
7.394,28.71017289028253,0.3963528648132354,0.399999529123306,-0.0001194199366311807,1.3229216799992987,1.000146062862174,0.99210399651172,1.0000674014618551,0.9960721565671107
7.396,28.70589050819429,0.39627893780715,0.399999529123306,-0.00011848711467751091,1.3229771060197288,1.0001446939922614,0.9921036452874862,1.000067040059315,0.9960717809409059
7.398,28.701642037370767,0.396205884493291,0.399999529123306,-0.00011753601418823282,1.323033029354243,1.000143312411965,0.9921032806712128,1.0000666711392208,0.9960713950763954
7.4,28.697428131859382,0.3961337151367335,0.399999529123306,-0.00011656685669045352,1.3230894387259529,1.0001419184033251,0.9921029027781496,1.0000662947998766,0.9960709990835218
7.402,28.693249437687076,0.3960624398160485,0.399999529123306,-0.00011557986623196838,1.3231463227881093,1.0001405122499145,0.9921025117256629,1.0000659111406849,0.9960705930737868
7.404,28.6891065927704,0.3959920684220748,0.399999529123306,-0.00011457526933422846,1.3232036701266625,1.000139094236763,0.9921021076331887,1.0000655202621105,0.9960701771602101
7.406,28.68500022682731,0.39592261065672735,0.399999529123306,-0.00011355329494501417,1.3232614692628384,1.0001376646502818,0.9921016906221866,1.0000651222656447,0.9960697514572874
7.408,28.680930961290684,0.39585407603184525,0.399999529123306,-0.0001125141743908184,1.3233197086557271,1.0001362237781894,0.992101260816091,1.0000647172537684,0.9960693160809466
7.41,28.676899409223562,0.39578647386807303,0.399999529123306,-0.00011145814132895329,1.3233783767048832,1.0001347719094342,0.9921008183402663,1.0000643053299154,0.9960688711485073
7.412,28.67290617523607,0.39571981329378625,0.399999529123306,-0.00011038543169938316,1.323437461752939,1.0001333093341214,0.9921003633219585,1.0000638865984368,0.9960684167786367
7.414,28.668951855404135,0.395654103244049,0.399999529123306,-0.00010929628367630184,1.323496952088226,1.0001318363434373,0.9920998958902484,1.0000634611645645,0.9960679530913087
7.416,28.665037037189936,0.3955893524596129,0.399999529123306,-0.00010819093761945715,1.3235568359474086,1.0001303532295742,0.9920994161760038,1.0000630291343757,0.9960674802077608
7.418,28.661162299364094,0.39552556948595236,0.399999529123306,-0.00010706963602523724,1.3236171015181248,1.000128860285656,0.9920989243118332,1.0000625906147556,0.9960669982504515
7.42,28.657328211929627,0.3954627626723389,0.399999529123306,-0.00010593262347752052,1.323677736941636,1.0001273578056638,0.9920984204320374,1.0000621457133618,0.9960665073430188
7.422,28.653535336047703,0.39540094017095256,0.399999529123306,-0.00010478014659830887,1.3237387303154842,1.000125846084362,0.9920979046725634,1.0000616945385898,0.9960660076102379
7.424,28.64978422396516,0.3953401099360316,0.399999529123306,-0.00010361245399814539,1.323800069696154,1.0001243254172238,0.9920973771709559,1.0000612371995345,0.9960654991779785
7.426,28.64607541894381,0.3952802797230627,0.399999529123306,-0.00010242979622633273,1.3238617431017428,1.0001227961003583,0.9920968380663115,1.000060773805958,0.9960649821731635
7.428,28.64240945519153,0.3952214570880043,0.399999529123306,-0.00010123242572095272,1.3239237385146334,1.0001212584304362,0.99209628749923,1.0000603044682506,0.9960644567237269
