Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,iEEET1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.1,34.403699645885396,0.4000000197874682,0.4,-2.720179553136134e-10,1.4314197081332103,0.999999991464677,0.9919935379550872,0.9999999955704126,0.9959841727500099
0.102,34.40369963601027,0.40000001958793857,0.4,-2.765923032752969e-10,1.4314197080865207,0.9999999914705621,0.9919935379598968,0.9999999955732863,0.9959841727538007
0.104,34.40369962597132,0.40000001938567786,0.4,-2.8111928685301824e-10,1.4314197080382465,0.9999999914765275,0.9919935379647722,0.9999999955761993,0.9959841727576434
0.106,34.40369961577026,0.4000000191807323,0.4,-2.855982778953006e-10,1.4314197079883841,0.9999999914825719,0.9919935379697122,0.9999999955791509,0.9959841727615371
0.108,34.403699605408825,0.40000001897314885,0.4,-2.900286590610748e-10,1.431419707936932,0.9999999914886935,0.9919935379747155,0.9999999955821401,0.9959841727654803
0.11,34.403699594888785,0.4000000187629734,0.4,-2.944098239645096e-10,1.4314197078838888,0.9999999914948906,0.9919935379797807,0.9999999955851666,0.9959841727694727
0.112,34.403699584211914,0.4000000185502536,0.4,-2.9874117718582023e-10,1.4314197078292548,0.9999999915011617,0.9919935379849066,0.9999999955882289,0.9959841727735127
0.114,34.403699573380024,0.4000000183350351,0.4,-3.030221342539751e-10,1.4314197077730308,0.9999999915075046,0.9919935379900916,0.9999999955913267,0.9959841727775991
0.116,34.403699562394934,0.4000000181173648,0.4,-3.072521215688764e-10,1.4314197077152189,0.9999999915139178,0.9919935379953345,0.999999995594459,0.9959841727817312
0.118,34.40369955125849,0.40000001789728934,0.4,-3.11430576518089e-10,1.431419707655822,0.9999999915203996,0.9919935380006342,0.999999995597625,0.995984172785908
0.12,34.40369953997256,0.40000001767485566,0.4,-3.155569474595477e-10,1.4314197075948438,0.9999999915269482,0.9919935380059887,0.9999999956008238,0.9959841727901281
0.122,34.40369952853902,0.4000000174501102,0.4,-3.196306937777596e-10,1.4314197075322892,0.9999999915335617,0.9919935380113972,0.9999999956040546,0.9959841727943906
0.124,34.40369951695979,0.4000000172230996,0.4,-3.2365128571735734e-10,1.4314197074681634,0.9999999915402382,0.9919935380168581,0.9999999956073166,0.995984172798694
0.126,34.40369950523677,0.4000000169938711,0.4,-3.276182045517079e-10,1.4314197074024726,0.9999999915469764,0.99199353802237,0.9999999956106088,0.9959841728030377
0.128,34.403699493371924,0.40000001676247116,0.4,-3.315309424986079e-10,1.4314197073352242,0.999999991553774,0.9919935380279317,0.9999999956139307,0.9959841728074206
0.13,34.4036994813672,0.4000000165289471,0.4,-3.3538900288024606e-10,1.4314197072664259,0.9999999915606294,0.9919935380335415,0.9999999956172813,0.9959841728118413
0.132,34.40369946922458,0.40000001629334575,0.4,-3.3919189993513935e-10,1.4314197071960864,0.9999999915675409,0.9919935380391984,0.9999999956206596,0.9959841728162989
0.134,34.40369945694605,0.4000000160557137,0.4,-3.4293915899755014e-10,1.431419707124215,0.9999999915745066,0.9919935380449008,0.9999999956240648,0.9959841728207922
0.136,34.403699444533636,0.40000001581609806,0.4,-3.46630316344009e-10,1.4314197070508217,0.9999999915815244,0.9919935380506474,0.9999999956274963,0.9959841728253201
0.138,34.403699431989345,0.40000001557454584,0.4,-3.50264919227901e-10,1.4314197069759171,0.9999999915885929,0.9919935380564366,0.999999995630953,0.9959841728298815
0.14,34.403699419315245,0.40000001533110435,0.4,-3.538425260221348e-10,1.431419706899513,0.9999999915957101,0.9919935380622673,0.9999999956344342,0.9959841728344755
0.142,34.403699406513375,0.4000000150858203,0.4,-3.5736270615213117e-10,1.431419706821621,0.9999999916028742,0.991993538068138,0.9999999956379388,0.9959841728391008
0.144,34.403699393585825,0.4000000148387407,0.4,-3.6082503996612454e-10,1.4314197067422538,0.9999999916100832,0.9919935380740471,0.9999999956414662,0.9959841728437561
0.146,34.40369938053467,0.4000000145899129,0.4,-3.642291189059327e-10,1.4314197066614247,0.9999999916173357,0.9919935380799935,0.9999999956450155,0.9959841728484405
0.148,34.40369936736203,0.40000001433938387,0.4,-3.675745454248146e-10,1.4314197065791474,0.9999999916246294,0.9919935380859757,0.9999999956485859,0.995984172853153
0.15,34.403699354070014,0.4000000140872007,0.4,-3.708609330523195e-10,1.4314197064954364,0.9999999916319626,0.991993538091992,0.9999999956521762,0.9959841728578921
0.152,34.40369934066076,0.4000000138334107,0.4,-3.7408790640077223e-10,1.4314197064103062,0.9999999916393335,0.9919935380980414,0.999999995655786,0.9959841728626571
0.154,34.4036993271364,0.40000001357806064,0.4,-3.772551010247657e-10,1.4314197063237726,0.9999999916467404,0.9919935381041224,0.9999999956594141,0.9959841728674464
0.156,34.40369931349911,0.4000000133211979,0.4,-3.8036216360490127e-10,1.4314197062358516,0.9999999916541811,0.9919935381102335,0.9999999956630599,0.9959841728722596
0.158,34.403699299751054,0.40000001306286936,0.4,-3.8340875183538286e-10,1.4314197061465594,0.9999999916616539,0.9919935381163734,0.9999999956667223,0.995984172877095
0.16,34.40369928589442,0.40000001280312253,0.4,-3.863945344758967e-10,1.431419706055913,0.9999999916691573,0.9919935381225404,0.9999999956704007,0.9959841728819514
0.162,34.40369927193139,0.40000001254200446,0.4,-3.893191912348821e-10,1.4314197059639298,0.9999999916766892,0.9919935381287336,0.9999999956740939,0.9959841728868282
0.164,34.403699257864176,0.40000001227956183,0.4,-3.921824129424635e-10,1.4314197058706273,0.9999999916842477,0.9919935381349513,0.9999999956778015,0.9959841728917239
0.166,34.403699243694994,0.40000001201584146,0.4,-3.94983901472631e-10,1.4314197057760238,0.9999999916918308,0.9919935381411918,0.9999999956815222,0.9959841728966374
0.168,34.40369922942608,0.4000000117508915,0.4,-3.977233695508537e-10,1.431419705680138,0.9999999916994373,0.9919935381474545,0.9999999956852553,0.9959841729015678
0.17,34.40369921505966,0.40000001148475756,0.4,-4.0040054107832703e-10,1.4314197055829891,0.9999999917070648,0.9919935381537374,0.9999999956890002,0.995984172906514
0.172,34.40369920059799,0.4000000112174878,0.4,-4.0301515094823247e-10,1.4314197054845963,0.9999999917147117,0.9919935381600391,0.9999999956927558,0.9959841729114745
0.174,34.403699186043326,0.4000000109491289,0.4,-4.0556694502628296e-10,1.4314197053849793,0.9999999917223761,0.9919935381663585,0.9999999956965212,0.9959841729164486
0.176,34.403699171397925,0.40000001067972757,0.4,-4.080556801593691e-10,1.4314197052841582,0.999999991730056,0.991993538172694,0.9999999957002957,0.9959841729214349
0.178,34.40369915666408,0.4000000104093306,0.4,-4.1048112419933767e-10,1.4314197051821536,0.99999999173775,0.9919935381790441,0.9999999957040784,0.9959841729264325
0.18,34.40369914184406,0.400000010137985,0.4,-4.1284305596408185e-10,1.431419705078986,0.999999991745456,0.9919935381854078,0.9999999957078685,0.9959841729314403
0.182,34.40369912694015,0.40000000986573764,0.4,-4.1514126518133813e-10,1.4314197049746769,0.9999999917531724,0.9919935381917835,0.999999995711665,0.9959841729364569
0.184,34.40369911195465,0.40000000959263465,0.4,-4.173755525556977e-10,1.4314197048692474,0.9999999917608974,0.9919935381981697,0.9999999957154672,0.9959841729414816
0.186,34.40369909688988,0.40000000931872326,0.4,-4.195457296302608e-10,1.4314197047627193,0.9999999917686287,0.9919935382045653,0.9999999957192741,0.9959841729465132
0.188,34.40369908174814,0.4000000090440499,0.4,-4.216516190157714e-10,1.4314197046551147,0.9999999917763652,0.9919935382109686,0.9999999957230852,0.9959841729515504
0.19,34.403699066531736,0.40000000876866115,0.4,-4.2369305408366335e-10,1.4314197045464556,0.9999999917841047,0.9919935382173787,0.9999999957268993,0.9959841729565923
0.192,34.40369905124301,0.4000000084926029,0.4,-4.256698791238604e-10,1.4314197044367647,0.9999999917918453,0.9919935382237938,0.9999999957307159,0.9959841729616379
0.194,34.40369903588428,0.40000000821592224,0.4,-4.2758194924534057e-10,1.4314197043260646,0.9999999917995858,0.9919935382302126,0.9999999957345338,0.9959841729666858
0.196,34.403699020457886,0.4000000079386651,0.4,-4.294291303653278e-10,1.4314197042143784,0.9999999918073241,0.991993538236634,0.9999999957383526,0.9959841729717352
0.198,34.403699004966164,0.40000000766087734,0.4,-4.3121129931737453e-10,1.4314197041017291,0.9999999918150584,0.9919935382430565,0.999999995742171,0.995984172976785
0.2,34.40369898941145,0.4000000073826057,0.4,-4.3292834363303497e-10,1.4314197039881404,0.999999991822787,0.9919935382494788,0.9999999957459887,0.9959841729818342
0.202,34.40369897379611,0.40000000710389555,0.4,-4.34580161691019e-10,1.4314197038736358,0.9999999918305083,0.9919935382558993,0.9999999957498045,0.9959841729868814
0.204,34.40369895812247,0.40000000682479275,0.4,-4.361666624945422e-10,1.4314197037582388,0.9999999918382202,0.9919935382623171,0.9999999957536178,0.9959841729919259
0.206,34.40369894239289,0.4000000065453435,0.4,-4.376877657599536e-10,1.4314197036419736,0.9999999918459213,0.9919935382687306,0.9999999957574276,0.9959841729969663
0.208,34.403698926609735,0.4000000062655929,0.4,-4.391434019556454e-10,1.4314197035248644,0.9999999918536098,0.9919935382751387,0.9999999957612332,0.9959841730020019
0.21,34.40369891077536,0.40000000598558677,0.4,-4.4053351215938394e-10,1.4314197034069354,0.9999999918612841,0.9919935382815397,0.9999999957650338,0.9959841730070315
0.212,34.403698894892116,0.40000000570537037,0.4,-4.4185804807560294e-10,1.4314197032882112,0.9999999918689424,0.9919935382879327,0.9999999957688288,0.9959841730120541
0.214,34.403698878962366,0.4000000054249891,0.4,-4.431169719813624e-10,1.4314197031687164,0.999999991876583,0.9919935382943162,0.9999999957726171,0.9959841730170687
0.216,34.403698862988485,0.40000000514448775,0.4,-4.443102567090552e-10,1.4314197030484757,0.9999999918842043,0.9919935383006889,0.9999999957763981,0.9959841730220742
0.218,34.40369884697282,0.40000000486391146,0.4,-4.454378856572157e-10,1.4314197029275137,0.9999999918918047,0.9919935383070496,0.999999995780171,0.9959841730270694
0.22,34.40369883091774,0.40000000458330415,0.4,-4.464998526629819e-10,1.431419702805856,0.9999999918993822,0.9919935383133971,0.9999999957839348,0.9959841730320537
0.222,34.40369881482562,0.40000000430271204,0.4,-4.474961619437315e-10,1.4314197026835271,0.9999999919069354,0.9919935383197299,0.999999995787689,0.9959841730370258
0.224,34.403698798698805,0.4000000040221788,0.4,-4.4842682826136677e-10,1.4314197025605526,0.9999999919144632,0.991993538326047,0.999999995791433,0.9959841730419848
0.226,34.40369878253968,0.4000000037417484,0.4,-4.4929187664778533e-10,1.4314197024369575,0.999999991921963,0.9919935383323467,0.9999999957951654,0.9959841730469297
0.228,34.40369876635058,0.4000000034614654,0.4,-4.500913425086393e-10,1.4314197023127673,0.9999999919294337,0.9919935383386285,0.9999999957988861,0.9959841730518594
0.23,34.403698750133884,0.40000000318137385,0.4,-4.5082527155200083e-10,1.4314197021880075,0.9999999919368739,0.9919935383448905,0.999999995802594,0.995984173056773
0.232,34.40369873389195,0.4000000029015173,0.4,-4.514937196997345e-10,1.4314197020627035,0.9999999919442816,0.9919935383511317,0.9999999958062884,0.9959841730616696
0.234,34.40369871762713,0.40000000262193924,0.4,-4.5209675308317405e-10,1.431419701936881,0.9999999919516555,0.9919935383573509,0.9999999958099687,0.9959841730665482
0.236,34.403698701341774,0.4000000023426833,0.4,-4.5263444796962614e-10,1.4314197018105657,0.9999999919589941,0.991993538363547,0.999999995813634,0.9959841730714077
0.238,34.40369868503823,0.4000000020637922,0.4,-4.531068907623707e-10,1.431419701683783,0.9999999919662955,0.9919935383697185,0.9999999958172836,0.9959841730762473
0.24,34.40369866871885,0.40000000178530953,0.4,-4.535141778493451e-10,1.4314197015565588,0.9999999919735585,0.9919935383758643,0.9999999958209167,0.995984173081066
0.242,34.40369865238599,0.4000000015072778,0.4,-4.5385641571338856e-10,1.431419701428919,0.9999999919807816,0.9919935383819837,0.999999995824533,0.9959841730858631
0.244,34.40369863604197,0.40000000122973983,0.4,-4.541337207874114e-10,1.4314197013008891,0.9999999919879631,0.9919935383880748,0.9999999958281314,0.9959841730906371
0.246,34.40369861968914,0.4000000009527374,0.4,-4.5434621941116233e-10,1.4314197011724952,0.9999999919951016,0.9919935383941368,0.9999999958317112,0.9959841730953877
0.248,34.40369860332982,0.4000000006763134,0.4,-4.544940476863977e-10,1.4314197010437628,0.9999999920021957,0.9919935384001687,0.9999999958352718,0.9959841731001136
0.25,34.40369858696634,0.40000000040050876,0.4,-4.5457735169953147e-10,1.4314197009147178,0.9999999920092438,0.9919935384061691,0.9999999958388126,0.9959841731048138
0.252,34.40369857060102,0.4000000001253661,0.4,-4.5459628712389185e-10,1.4314197007853862,0.9999999920162447,0.9919935384121369,0.9999999958423326,0.9959841731094876
0.254,34.40369855423618,0.3999999998509261,0.4,-4.545510193775215e-10,1.4314197006557934,0.9999999920231966,0.9919935384180708,0.9999999958458314,0.9959841731141343
0.256,34.40369853787412,0.3999999995772301,0.4,-4.5444172354103503e-10,1.4314197005259655,0.9999999920300984,0.9919935384239702,0.9999999958493083,0.9959841731187528
0.258,34.40369852151714,0.3999999993043194,0.4,-4.542685841565856e-10,1.4314197003959281,0.9999999920369486,0.9919935384298336,0.9999999958527627,0.9959841731233423
0.26,34.40369850516755,0.3999999990322343,0.4,-4.5403179540512e-10,1.4314197002657072,0.9999999920437456,0.9919935384356602,0.9999999958561937,0.9959841731279018
0.262,34.403698488827615,0.3999999987610157,0.4,-4.5373156090534547e-10,1.4314197001353282,0.9999999920504886,0.9919935384414487,0.9999999958596009,0.9959841731324305
0.264,34.403698472499634,0.399999998490703,0.4,-4.533680935970005e-10,1.4314197000048168,0.9999999920571758,0.9919935384471978,0.9999999958629835,0.9959841731369278
0.266,34.40369845618587,0.3999999982213363,0.4,-4.529416158143511e-10,1.4314196998741988,0.9999999920638057,0.9919935384529069,0.9999999958663408,0.9959841731413923
0.268,34.40369843988859,0.39999999795295543,0.4,-4.5245235906137897e-10,1.4314196997434996,0.9999999920703776,0.9919935384585749,0.9999999958696725,0.9959841731458238
