Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXAC2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.464,34.75088620876758,0.40628887678157627,0.4,-5.725756557489974e-05,1.4310925403904293,0.999893456990286,0.991887812623344,0.9999395711645711,0.9959026448110997
7.466,34.74879866558636,0.40623119233588023,0.4,-5.871478666135092e-05,1.43104677086279,0.9998960224187696,0.9918897408727061,0.999940767378735,0.9959041932213542
7.468,34.746658908627474,0.406172698054238,0.4,-6.015829967858658e-05,1.431000910880103,0.9998986014957653,0.9918916826353957,0.9999419712881104,0.9959057520343669
7.47,34.74446743474808,0.40611340540035434,0.4,-6.158791803961792e-05,1.4309549690125098,0.9999011937239352,0.9918936375269254,0.9999431826512803,0.9959073209395732
7.472,34.742224747473784,0.40605332593101723,0.4,-6.300345786413165e-05,1.4309089538315667,0.9999037986051456,0.9918956051617442,0.9999444012262789,0.995908899625625
7.474,34.73993135690086,0.40599247129404387,0.4,-6.440473799974209e-05,1.4308628739084852,0.9999064156405659,0.9918975851533198,0.9999456267706446,0.9959104877804601
7.476,34.73758777959767,0.405930853226211,0.4,-6.579158004276608e-05,1.43081673781237,0.999909044330768,0.9918995771142183,0.9999468590414728,0.9959120850913685
7.478,34.73519453850529,0.4058684835511839,0.4,-6.716380835850585e-05,1.4307705541084597,0.9999116841758254,0.9919015806561857,0.9999480977954696,0.9959136912450584
7.48,34.732752162837535,0.4058053741774323,0.4,-6.852125010104826e-05,1.4307243313563611,0.9999143346754134,0.9919035953902288,0.999949342789004,0.9959153059277237
7.482,34.73026118798017,0.40574153709614047,0.4,-6.986373523257108e-05,1.4306780781082915,0.9999169953289074,0.9919056209266957,0.999950593778162,0.9959169288251107
7.484,34.72772215538949,0.4056769843791075,0.4,-7.119109654216377e-05,1.4306318029073148,0.9999196656354818,0.9919076568753553,0.999951850518797,0.9959185596225827
7.486,34.72513561249024,0.4056117281766435,0.4,-7.250316966414988e-05,1.4305855142855841,0.9999223450942083,0.9919097028454785,0.999953112766584,0.9959201980051876
7.488,34.72250211257283,0.4055457807154553,0.4,-7.379979309591825e-05,1.4305392207625833,0.9999250332041544,0.9919117584459182,0.9999543802770722,0.995921843657724
7.49,34.71982221468998,0.4054791542965286,0.4,-7.508080821525447e-05,1.4304929308433731,0.9999277294644805,0.9919138232851878,0.9999556528057344,0.995923496264805
7.492,34.717096483552695,0.4054118612930009,0.4,-7.634605929718122e-05,1.4304466530168392,0.9999304333745382,0.9919158969715417,0.9999569301080217,0.9959251555109254
7.494,34.7143254894257,0.40534391414803084,0.4,-7.759539353029328e-05,1.4304003957539442,0.9999331444339672,0.991917979113054,0.9999582119394139,0.9959268210805262
7.496,34.71150980802222,0.4052753253726608,0.4,-7.882866103259605e-05,1.4303541675059865,0.9999358621427905,0.9919200693176974,0.9999594980554697,0.9959284926580584
7.498,34.708650020398316,0.4052061075436753,0.4,-8.004571486683947e-05,1.4303079767028595,0.9999385860015133,0.9919221671934213,0.9999607882118801,0.9959301699280495
7.5,34.705746712846526,0.4051362733014511,0.4,-8.124641105535456e-05,1.4302618317513203,0.9999413155112165,0.9919242723482307,0.999962082164517,0.9959318525751659
7.502,34.70280047678911,0.4050658353478089,0.4,-8.243060859438108e-05,1.4302157410332619,0.9999440501736525,0.991926384390263,0.9999633796694848,0.9959335402842773
7.504,34.69981190867072,0.4049948064438531,0.4,-8.359816946789314e-05,1.430169712903994,0.9999467894913403,0.9919285029278659,0.9999646804831703,0.9959352327405208
7.506,34.696781609850596,0.4049231994078154,0.4,-8.474895866091931e-05,1.4301237556905297,0.9999495329676602,0.9919306275696743,0.9999659843622926,0.9959369296293626
7.508,34.69371018649433,0.4048510271128883,0.4,-8.588284417235383e-05,1.4300778776898813,0.999952280106946,0.9919327579246863,0.999967291063952,0.9959386306366621
7.51,34.6905982494651,0.4047783024850602,0.4,-8.699969702726587e-05,1.430032087167362,0.9999550304145789,0.9919348936023396,0.9999686003456797,0.9959403354487335
7.512,34.687446414214534,0.4047050385009442,0.4,-8.809939128869576e-05,1.429986392354899,0.9999577833970802,0.9919370342125868,0.9999699119654866,0.9959420437524072
7.514,34.68425530067314,0.4046312481856072,0.4,-8.918180406894635e-05,1.429940801449355,0.9999605385622028,0.9919391793659708,0.9999712256819111,0.9959437552350922
