Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334238120791895,0.40000002555787106,0.4,0.0,1.4351069202266544,0.9999999917469704,0.9919935380858338,0.9999999956670121,0.995984172865126
1.0058283805847169e-10,34.33423812079189,0.400000025557871,0.4,-3.0028905477221236e-19,1.4351069202266542,0.9999999917469704,0.9919935380858338,0.9999999956670121,0.995984172865126
1.0058283805847169e-10,34.33423812079189,0.400000025557871,0.4,-3.0028905477221236e-19,1.4351069202266542,0.9999999917469704,0.9919935380858338,0.9999999956670121,0.995984172865126
0.002,34.334238120684404,0.4000000255552255,0.4,-5.970979925881527e-12,1.4351069202266495,0.9999999917470421,0.9919935380858936,0.9999999956670477,0.9959841728651729
0.004,34.334238120361995,0.40000002554732983,0.4,-1.1940169318828258e-11,1.4351069202266162,0.9999999917472566,0.9919935380860732,0.9999999956671541,0.9959841728653139
0.006,34.33423811982475,0.40000002553424324,0.4,-1.7906348556911646e-11,1.4351069202265259,0.9999999917476136,0.9919935380863713,0.9999999956673311,0.9959841728655481
0.008,34.334238119072786,0.4000000255160237,0.4,-2.386831202136661e-11,1.4351069202263502,0.999999991748112,0.9919935380867871,0.999999995667578,0.9959841728658749
0.01,34.33423811810629,0.40000002549272945,0.4,-2.982486764913014e-11,1.4351069202260611,0.9999999917487515,0.9919935380873204,0.9999999956678947,0.9959841728662938
0.012,34.334238116925476,0.400000025464417,0.4,-3.577483699120584e-11,1.4351069202256308,0.9999999917495316,0.9919935380879699,0.9999999956682805,0.9959841728668044
0.014,34.334238115530596,0.40000002543114266,0.4,-4.1717054782495726e-11,1.4351069202250317,0.9999999917504506,0.991993538088735,0.9999999956687351,0.9959841728674058
0.016,34.334238113921955,0.40000002539296214,0.4,-4.765036906285259e-11,1.4351069202242361,0.9999999917515091,0.9919935380896151,0.9999999956692581,0.9959841728680976
0.018,34.3342381120999,0.4000000253499297,0.4,-5.35736407555584e-11,1.435106920223217,0.9999999917527055,0.9919935380906089,0.9999999956698489,0.9959841728688787
0.02,34.33423811006479,0.40000002530210027,0.4,-5.948574362409133e-11,1.435106920221947,0.9999999917540391,0.9919935380917159,0.9999999956705071,0.9959841728697494
0.022,34.334238107817065,0.40000002524952677,0.4,-6.538556416188162e-11,1.4351069202203994,0.9999999917555094,0.9919935380929352,0.9999999956712324,0.9959841728707084
0.024,34.33423810535719,0.40000002519226296,0.4,-7.127200145612772e-11,1.4351069202185476,0.9999999917571154,0.991993538094266,0.9999999956720241,0.9959841728717549
0.026,34.33423810268565,0.40000002513036065,0.4,-7.71439669651464e-11,1.435106920216365,0.9999999917588559,0.9919935380957074,0.9999999956728819,0.9959841728728888
0.028,34.33423809980301,0.4000000250638725,0.4,-8.300038450324119e-11,1.4351069202138258,0.9999999917607305,0.9919935380972585,0.9999999956738052,0.9959841728741091
0.03,34.334238096709825,0.4000000249928496,0.4,-8.88401901174884e-11,1.4351069202109037,0.9999999917627379,0.9919935380989184,0.9999999956747934,0.995984172875415
0.032,34.334238093406725,0.40000002491734343,0.4,-9.466233191912849e-11,1.4351069202075732,0.9999999917648774,0.9919935381006864,0.999999995675846,0.9959841728768061
0.034,34.33423808989436,0.40000002483740504,0.4,-1.0046577006194955e-10,1.435106920203809,0.9999999917671478,0.9919935381025613,0.9999999956769627,0.9959841728782814
0.036,34.33423808617342,0.4000000247530845,0.4,-1.0624947667311453e-10,1.4351069201995854,0.9999999917695483,0.9919935381045423,0.9999999956781428,0.9959841728798405
0.038,34.334238082244646,0.4000000246644323,0.4,-1.1201243562186483e-10,1.4351069201948778,0.9999999917720777,0.9919935381066284,0.9999999956793857,0.9959841728814824
0.04,34.33423807810879,0.4000000245714976,0.4,-1.1775364259950125e-10,1.4351069201896616,0.9999999917747351,0.9919935381088185,0.9999999956806908,0.9959841728832065
0.042,34.334238073766656,0.4000000244743305,0.4,-1.23472104952937e-10,1.435106920183912,0.9999999917775194,0.9919935381111121,0.9999999956820579,0.9959841728850121
0.044,34.33423806921908,0.40000002437297977,0.4,-1.2916684169334435e-10,1.435106920177605,0.9999999917804294,0.9919935381135081,0.9999999956834861,0.9959841728868983
0.046,34.33423806446694,0.4000000242674947,0.4,-1.3483688333403095e-10,1.4351069201707167,0.999999991783464,0.9919935381160051,0.999999995684975,0.9959841728888644
0.048,34.33423805951114,0.40000002415792363,0.4,-1.404812719271878e-10,1.4351069201632236,0.9999999917866222,0.9919935381186025,0.9999999956865238,0.9959841728909096
0.05,34.3342380543526,0.4000000240443155,0.4,-1.4609906094932184e-10,1.435106920155102,0.9999999917899028,0.9919935381212992,0.9999999956881322,0.9959841728930332
0.052,34.334238048992326,0.40000002392671824,0.4,-1.5168931532503418e-10,1.4351069201463293,0.9999999917933046,0.991993538124094,0.9999999956897994,0.9959841728952342
0.054,34.33423804343131,0.4000000238051802,0.4,-1.5725111124976484e-10,1.4351069201368825,0.9999999917968262,0.9919935381269862,0.9999999956915249,0.9959841728975122
0.056,34.334238037670595,0.40000002367974896,0.4,-1.6278353628922851e-10,1.4351069201267388,0.9999999918004664,0.9919935381299743,0.9999999956933077,0.9959841728998657
0.058,34.33423803171126,0.40000002355047326,0.4,-1.6828568924755407e-10,1.4351069201158764,0.9999999918042244,0.9919935381330578,0.9999999956951477,0.9959841729022946
0.06,34.3342380255544,0.4000000234173998,0.4,-1.737566802537505e-10,1.4351069201042732,0.9999999918080982,0.9919935381362351,0.9999999956970441,0.9959841729047976
0.062,34.33423801920116,0.4000000232805769,0.4,-1.7919563053473373e-10,1.4351069200919078,0.9999999918120872,0.9919935381395055,0.9999999956989961,0.9959841729073737
0.064,34.33423801265271,0.4000000231400515,0.4,-1.8460167260771344e-10,1.4351069200787585,0.9999999918161896,0.9919935381428676,0.9999999957010033,0.9959841729100227
0.066,34.334238005910244,0.4000000229958707,0.4,-1.8997395006835137e-10,1.4351069200648048,0.9999999918204041,0.9919935381463205,0.9999999957030647,0.9959841729127432
0.068,34.334237998975,0.4000000228480829,0.4,-1.953116176620958e-10,1.4351069200500257,0.9999999918247299,0.9919935381498631,0.99999999570518,0.9959841729155344
0.07,34.334237991848234,0.4000000226967344,0.4,-2.0061384126256507e-10,1.4351069200344009,0.9999999918291649,0.9919935381534943,0.9999999957073483,0.9959841729183956
0.072,34.33423798453124,0.4000000225418724,0.4,-2.0587979784776937e-10,1.4351069200179103,0.999999991833708,0.9919935381572126,0.999999995709569,0.9959841729213256
0.074,34.33423797702534,0.40000002238354426,0.4,-2.1110867548497933e-10,1.4351069200005342,0.9999999918383579,0.9919935381610172,0.9999999957118414,0.9959841729243238
0.076,34.33423796933187,0.40000002222179715,0.4,-2.1629967329613945e-10,1.4351069199822533,0.999999991843113,0.991993538164907,0.9999999957141648,0.9959841729273892
0.078,34.33423796145223,0.40000002205667756,0.4,-2.214520015119095e-10,1.4351069199630484,0.9999999918479718,0.9919935381688805,0.9999999957165383,0.9959841729305207
0.08,34.334237953387806,0.40000002188823286,0.4,-2.2656488134412705e-10,1.435106919942901,0.9999999918529331,0.9919935381729368,0.9999999957189617,0.9959841729337177
0.082,34.33423794514004,0.4000000217165104,0.4,-2.316375451198299e-10,1.4351069199217923,0.9999999918579954,0.9919935381770747,0.9999999957214338,0.9959841729369788
0.084,34.334237936710394,0.4000000215415563,0.4,-2.3666923620127493e-10,1.4351069198997044,0.9999999918631568,0.9919935381812928,0.9999999957239541,0.9959841729403035
0.086,34.33423792810035,0.40000002136341795,0.4,-2.4165920896216e-10,1.4351069198766195,0.9999999918684164,0.9919935381855901,0.9999999957265219,0.9959841729436906
0.088,34.334237919311434,0.4000000211821425,0.4,-2.466067288438268e-10,1.4351069198525204,0.9999999918737722,0.9919935381899652,0.9999999957291363,0.9959841729471391
0.09,34.33423791034519,0.40000002099777676,0.4,-2.5151107234012947e-10,1.4351069198273898,0.9999999918792228,0.991993538194417,0.9999999957317968,0.9959841729506484
0.092,34.33423790120317,0.4000000208103671,0.4,-2.5637152693474643e-10,1.435106919801211,0.9999999918847666,0.9919935381989442,0.9999999957345024,0.995984172954217
0.094,34.33423789188697,0.4000000206199617,0.4,-2.6118739114873706e-10,1.4351069197739676,0.9999999918904021,0.9919935382035456,0.9999999957372524,0.9959841729578444
0.096,34.33423788239822,0.40000002042660643,0.4,-2.659579745945826e-10,1.4351069197456439,0.9999999918961278,0.9919935382082201,0.9999999957400462,0.9959841729615291
0.098,34.33423787273855,0.4000000202303492,0.4,-2.706825979718631e-10,1.4351069197162236,0.999999991901942,0.9919935382129663,0.999999995742883,0.9959841729652708
0.1,34.33423786290963,0.4000000200312362,0.4,-2.7536059290297186e-10,1.4351069196856918,0.9999999919078427,0.9919935382177828,0.9999999957457619,0.9959841729690676
0.102,34.334237852913155,0.4000000198293148,0.4,-2.7999130216225047e-10,1.4351069196540336,0.999999991913829,0.9919935382226683,0.9999999957486823,0.9959841729729192
0.104,34.33423784275083,0.4000000196246327,0.4,-2.8457407955277463e-10,1.435106919621234,0.999999991919899,0.9919935382276219,0.9999999957516432,0.9959841729768243
0.106,34.3342378324244,0.4000000194172363,0.4,-2.891082899301324e-10,1.4351069195872792,0.9999999919260506,0.991993538232642,0.999999995754644,0.9959841729807819
0.108,34.33423782193562,0.4000000192071729,0.4,-2.9359330927592014e-10,1.435106919552155,0.9999999919322826,0.9919935382377272,0.9999999957576837,0.9959841729847908
0.11,34.334237811286286,0.4000000189944901,0.4,-2.9802852462856995e-10,1.435106919515848,0.9999999919385932,0.9919935382428765,0.9999999957607618,0.9959841729888502
0.112,34.33423780047818,0.4000000187792343,0.4,-3.024133340941577e-10,1.4351069194783448,0.9999999919449807,0.9919935382480883,0.9999999957638774,0.9959841729929593
0.114,34.33423778951313,0.4000000185614534,0.4,-3.067471468247866e-10,1.4351069194396329,0.9999999919514436,0.9919935382533615,0.9999999957670296,0.9959841729971164
0.116,34.334237778392996,0.40000001834119464,0.4,-3.11029383180711e-10,1.4351069193996995,0.9999999919579802,0.9919935382586949,0.9999999957702178,0.995984173001321
0.118,34.334237767119646,0.4000000181185053,0.4,-3.1525947455740434e-10,1.4351069193585329,0.9999999919645883,0.9919935382640866,0.999999995773441,0.9959841730055718
0.12,34.33423775569495,0.4000000178934326,0.4,-3.194368634698635e-10,1.435106919316121,0.9999999919712665,0.9919935382695357,0.9999999957766984,0.9959841730098679
0.122,34.33423774412083,0.4000000176660241,0.4,-3.2356100357206364e-10,1.4351069192724528,0.999999991978013,0.991993538275041,0.9999999957799892,0.9959841730142078
0.124,34.33423773239921,0.4000000174363272,0.4,-3.2763135967208973e-10,1.4351069192275172,0.9999999919848264,0.9919935382806009,0.9999999957833128,0.9959841730185911
0.126,34.33423772053202,0.4000000172043891,0.4,-3.3164740766512543e-10,1.4351069191813035,0.9999999919917043,0.991993538286214,0.9999999957866679,0.9959841730230161
0.128,34.33423770852125,0.40000001697025755,0.4,-3.356086345723629e-10,1.4351069191338017,0.9999999919986455,0.991993538291879,0.9999999957900542,0.9959841730274821
0.13,34.33423769636887,0.40000001673398045,0.4,-3.3951453864043835e-10,1.4351069190850019,0.9999999920056482,0.9919935382975946,0.9999999957934705,0.9959841730319879
0.132,34.334237684076875,0.4000000164956046,0.4,-3.4336462922686503e-10,1.4351069190348944,0.9999999920127101,0.9919935383033593,0.9999999957969161,0.9959841730365323
0.134,34.334237671647294,0.4000000162551782,0.4,-3.471584268346193e-10,1.4351069189834702,0.9999999920198299,0.9919935383091718,0.9999999958003901,0.9959841730411143
0.136,34.33423765908215,0.4000000160127485,0.4,-3.5089546318779856e-10,1.4351069189307206,0.9999999920270057,0.991993538315031,0.9999999958038918,0.9959841730457331
0.138,34.33423764638351,0.4000000157683632,0.4,-3.545752810846289e-10,1.4351069188766372,0.999999992034236,0.9919935383209351,0.9999999958074204,0.9959841730503871
0.14,34.33423763355342,0.4000000155220699,0.4,-3.581974346179535e-10,1.435106918821212,0.9999999920415183,0.9919935383268829,0.9999999958109748,0.9959841730550755
0.142,34.33423762059398,0.4000000152739166,0.4,-3.617614889115114e-10,1.4351069187644374,0.9999999920488514,0.9919935383328731,0.9999999958145543,0.995984173059797
0.144,34.33423760750729,0.40000001502395016,0.4,-3.6526702037933534e-10,1.4351069187063061,0.9999999920562331,0.991993538338904,0.999999995818158,0.9959841730645508
0.146,34.334237594295466,0.4000000147722196,0.4,-3.687136165917295e-10,1.4351069186468115,0.9999999920636622,0.9919935383449743,0.9999999958217851,0.9959841730693353
0.148,34.334237580960625,0.4000000145187714,0.4,-3.7210087630553265e-10,1.4351069185859469,0.9999999920711358,0.9919935383510831,0.999999995825435,0.9959841730741501
0.15,34.33423756750492,0.40000001426365395,0.4,-3.754284094749264e-10,1.4351069185237062,0.9999999920786533,0.9919935383572284,0.9999999958291063,0.9959841730789933
0.152,34.33423755393051,0.4000000140069148,0.4,-3.7869583720604044e-10,1.4351069184600838,0.999999992086212,0.9919935383634092,0.9999999958327987,0.9959841730838647
0.154,34.33423754023955,0.40000001374860156,0.4,-3.8190279176776103e-10,1.4351069183950742,0.9999999920938105,0.9919935383696236,0.9999999958365109,0.9959841730887621
0.156,34.33423752643424,0.40000001348876224,0.4,-3.850489166954899e-10,1.4351069183286724,0.9999999921014469,0.9919935383758708,0.9999999958402422,0.9959841730936853
0.158,34.334237512516765,0.40000001322744383,0.4,-3.881338666203741e-10,1.435106918260874,0.9999999921091193,0.991993538382149,0.999999995843992,0.9959841730986326
0.16,34.33423749848934,0.4000000129646948,0.4,-3.9115730737522686e-10,1.4351069181916747,0.9999999921168258,0.991993538388457,0.9999999958477592,0.9959841731036033
0.162,34.334237484354176,0.40000001270056257,0.4,-3.94118915959941e-10,1.4351069181210705,0.9999999921245648,0.9919935383947932,0.9999999958515428,0.9959841731085959
0.164,34.334237470113514,0.4000000124350949,0.4,-3.9701838054148914e-10,1.435106918049058,0.9999999921323343,0.9919935384011563,0.9999999958553422,0.9959841731136095
0.166,34.334237455769596,0.4000000121683388,0.4,-3.998554004777018e-10,1.4351069179756344,0.9999999921401321,0.9919935384075449,0.9999999958591563,0.995984173118643
0.168,34.334237441324674,0.4000000119003428,0.4,-4.026296862589028e-10,1.4351069179007967,0.9999999921479572,0.9919935384139577,0.9999999958629845,0.9959841731236952
0.17,34.334237426781016,0.4000000116311538,0.4,-4.053409595122326e-10,1.4351069178245426,0.999999992155807,0.991993538420393,0.9999999958668259,0.9959841731287649
0.172,34.33423741214089,0.40000001136081964,0.4,-4.079889530102948e-10,1.43510691774687,0.9999999921636801,0.9919935384268498,0.9999999958706796,0.9959841731338512
0.174,34.334237397406575,0.40000001108938793,0.4,-4.1057341065602485e-10,1.4351069176677773,0.9999999921715745,0.9919935384333263,0.9999999958745447,0.9959841731389529
0.176,34.33423738258037,0.40000001081690567,0.4,-4.130940874351335e-10,1.4351069175872635,0.9999999921794885,0.9919935384398213,0.9999999958784203,0.9959841731440688
0.178,34.33423736766457,0.4000000105434209,0.4,-4.1555074950905787e-10,1.4351069175053275,0.9999999921874201,0.9919935384463333,0.9999999958823057,0.9959841731491978
0.18,34.33423735266149,0.40000001026897997,0.4,-4.1794317406580753e-10,1.4351069174219688,0.9999999921953673,0.9919935384528611,0.9999999958861999,0.9959841731543388
0.182,34.33423733757344,0.4000000099936311,0.4,-4.2027114931780294e-10,1.4351069173371875,0.9999999922033286,0.991993538459403,0.9999999958901019,0.9959841731594908
0.184,34.33423732240274,0.4000000097174211,0.4,-4.225344746726458e-10,1.4351069172509836,0.9999999922113019,0.9919935384659578,0.9999999958940112,0.9959841731646525
0.186,34.33423730715174,0.40000000944039704,0.4,-4.2473296048020595e-10,1.435106917163358,0.9999999922192858,0.9919935384725239,0.9999999958979269,0.9959841731698229
0.188,34.33423729182275,0.4000000091626063,0.4,-4.268664281342189e-10,1.4351069170743112,0.999999992227278,0.9919935384791003,0.9999999959018477,0.9959841731750007
0.19,34.334237276418136,0.4000000088840953,0.4,-4.2893471002256815e-10,1.4351069169838448,0.9999999922352768,0.9919935384856853,0.9999999959057734,0.9959841731801852
0.192,34.33423726094024,0.400000008604912,0.4,-4.3093764953160804e-10,1.4351069168919606,0.9999999922432806,0.9919935384922776,0.9999999959097028,0.9959841731853748
