Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.244,49.04486158062875,0.6773495622225912,0.4,0.002928355118512306,2.283471206934946,0.9190133695059922,0.9383701078477241,0.9637922988839133,0.9510201102405977
2.246,49.14910895694923,0.678842916181731,0.4,0.0028631086438019294,2.2904360709783878,0.9203147609636191,0.939124338086478,0.9642904281699155,0.9516457537852184
2.248,49.251001351536964,0.6802916621187045,0.4,0.0027975245425247734,2.297390730905431,0.9215760643593373,0.9398553025227548,0.9647731707374616,0.9522520855714742
2.25,49.35052679815812,0.6816957009161829,0.4,0.0027316132807454754,2.3043350754443965,0.9227989353655173,0.9405640184598631,0.9652412099398489,0.9528399565826488
2.252,49.44767370773104,0.6830549515370942,0.4,0.00266538534459048,2.3112689940502884,0.9239849704713218,0.9412514665504221,0.9656952045062744,0.9534101871408047
2.254,49.54243086897395,0.6843693498904189,0.4,0.0025988512361553107,2.3181923769108783,0.9251357090193683,0.9419185920566236,0.9661357893827498,0.9539635679574474
2.2555080469436937,49.612069898025254,0.6853258145626505,0.4,0.0025484600236073667,2.3234047436491343,0.9259777937654193,0.9424069417991555,0.9664583276022136,0.9543686675722036
2.2555080469436937,49.612069898025254,0.685325814563243,0.4,0.0025484600236073667,2.3234047436491343,0.9259777937659397,0.9424069417994575,0.9664583276024129,0.9543686675724541
2.256,49.63456401878369,0.685633924470653,0.4,0.002531994905785484,2.325104122287763,0.9262495079777672,0.9425645326842437,0.9665624123953998,0.9544993945135904
2.258,49.724508627509955,0.6868585255117865,0.4,0.0024648811524087613,2.332006108735052,0.9273341866903267,0.9431937944081565,0.9669780458489144,0.9550214022676093
2.26,49.8120321664365,0.688038172814838,0.4,0.002397492783009635,2.3388972344717027,0.9283878584151524,0.9438053659342599,0.9673820377115464,0.955528762202086
2.262,49.897124938926865,0.6891728599034279,0.4,0.002329840327692465,2.345777392675259,0.9294118530889117,0.944400062800163,0.9677749356960067,0.9560221564553107
2.264,49.97977762742071,0.6902625924339639,0.4,0.0022619343156719414,2.3526464772848934,0.9304074526754895,0.9449786708093714,0.9681572675067812,0.9565022422710138
2.266,50.059981293352145,0.6913073873862875,0.4,0.0021937852725333927,2.3595043830068727,0.9313758928158095,0.9455419470454091,0.9685295415171318,0.9569696528440028
2.268,50.13772737697233,0.692307272300175,0.4,0.0021254037176772736,2.3663510053198875,0.9323183644200754,0.9460906208497656,0.9688922474220178,0.9574249981356762
2.27,50.21300769708361,0.6932622845555959,0.4,0.002056800161936874,2.373186240480301,0.9332360152043071,0.9466253947649436,0.9692458568677911,0.9578688656604762
2.272,50.28581445069053,0.694172470694732,0.4,0.001987985105359729,2.3800099855272623,0.9341299511730043,0.9471469454438449,0.969590824059488,0.9583018212443168
