Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.192,35.17137943418997,0.4405658517725912,0.4,0.0012334009506093221,1.5315226842766445,1.0031226328561038,0.9935454011329726,1.0010846169338055,0.9973104662141391
4.194,35.21560816928247,0.44129710651232756,0.4,0.0012237226739978677,1.5315140361566124,1.0031116286829471,0.9935323214589874,1.0010765254040157,0.9972999913839863
4.196,35.25948543948115,0.442019709864546,0.4,0.0012138754626896716,1.5315055504653918,1.0031008561110062,0.9935194248568486,1.001068537938865,0.9972896574696136
4.198,35.303005199922545,0.44273357764028676,0.4,0.0012038613635756684,1.5314972245394463,1.0030903207787503,0.9935067166082345,1.0010606583651163,0.9972794690604259
4.2,35.34616147977962,0.4434386272401004,0.4,0.0011936824428407402,1.5314890556499978,1.0030800282953782,0.9934942019643865,1.0010528904908986,0.9972694307215733
4.202,35.38894838294972,0.44413477765998094,0.4,0.0011833407855898303,1.5314810410037079,1.0030699842383772,0.9934818861437837,1.0010452381039037,0.9972595469918543
4.204,35.4313600887289,0.44482194949703835,0.4,0.0011728384954727787,1.5314731777434043,1.0030601941510862,0.9934697743298251,1.0010377049695816,0.997249822381623
4.206,35.4733908524728,0.4455000649549285,0.4,0.0011621776943078683,1.5314654629488262,1.003050663540265,0.9934578716685284,1.0010302948293583,0.9972402613707145
4.208,35.51503500624379,0.44616904784903205,0.4,0.0011513605217041939,1.531457893637426,1.0030413978736705,0.9934461832662383,1.001023011398854,0.9972308684063788
4.21,35.55628695944484,0.446828823611393,0.4,0.0011403891346828366,1.531450466765192,1.0030324025776454,0.9934347141873545,1.001015858366123,0.9972216479012295
4.212,35.59714119943933,0.4474793192954077,0.4,0.0011292657072969957,1.5314431792275096,1.0030236830347126,0.993423469452072,1.0010088393898997,0.9972126042312103
4.214,35.63759229215745,0.44812046358027613,0.4,0.0011179924302510587,1.531436027860062,1.0030152445811835,0.9934124540341411,1.0010019580978637,0.9972037417335743
4.216,35.6776348826887,0.4487521867752091,0.4,0.0011065715105187239,1.5314290094397585,1.003007092504781,0.9934016728586462,1.0009952180849189,0.9971950647048832
4.218,35.71726369586079,0.44937442082340234,0.4,0.001095005170960153,1.5314221206856988,1.0029992320422725,0.9933911307998041,1.0009886229114875,0.9971865773990237
4.22,35.75647353680457,0.44998709930576697,0.4,0.0010832956499383076,1.5314153582601715,1.002991668377124,0.9933808326787833,1.0009821761018243,0.9971782840252444
4.222,35.795259291505275,0.4505901574444311,0.4,0.0010714452009344465,1.5314087187696803,1.0029844066371663,0.9933707832615453,1.0009758811423446,0.997170188746212
4.224,35.83361592733974,0.45118353210600454,0.4,0.0010594560921628985,1.5314021987660071,1.0029774518922818,0.9933609872567113,1.0009697414799754,0.99716229567609
4.226,35.8715384936,0.45176716180461396,0.4,0.0010473306061850823,1.5313957947473025,1.0029708091521115,0.9933514493134505,1.0009637605205237,0.9971546088786399
