Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.042,34.40369983359665,0.40000002377653104,0.4,-1.185409049175756e-10,-1.800454080337319e-08,0.9999999913460264,0.9919935378583362,0.9999999955125654,0.995984172673727
0.044,34.403699827140265,0.40000002364149545,0.4,-1.237081588844467e-10,-1.7773263307708624e-08,0.9999999913499579,0.9919935378615606,0.9999999955144897,0.995984172676267
0.046,34.40369982068388,0.4000000235064596,0.4,-1.2887541285131783e-10,-1.754198581204408e-08,0.9999999913538894,0.9919935378647852,0.9999999955164143,0.995984172678807
0.048,34.403699814227494,0.4000000233714237,0.4,-1.34042666818189e-10,-1.7310708316379553e-08,0.999999991357821,0.9919935378680097,0.9999999955183387,0.9959841726813472
0.05,34.40369980777111,0.40000002323638767,0.4,-1.392099207850601e-10,-1.7079430820714967e-08,0.9999999913617523,0.991993537871234,0.9999999955202631,0.9959841726838872
0.052,34.40369980131473,0.40000002310135174,0.4,-1.4437717475193122e-10,-1.6848153325050447e-08,0.9999999913656837,0.9919935378744584,0.9999999955221875,0.9959841726864272
0.054,34.40369979485835,0.40000002296631615,0.4,-1.4954442871880235e-10,-1.6616875829385888e-08,0.9999999913696157,0.9919935378776832,0.9999999955241122,0.9959841726889676
0.056,34.403699788401966,0.40000002283128006,0.4,-1.5471168268567348e-10,-1.638559833372133e-08,0.9999999913735469,0.9919935378809074,0.9999999955260365,0.9959841726915074
0.058,34.40369978194558,0.40000002269624446,0.4,-1.5987893665254461e-10,-1.6154320838056803e-08,0.9999999913774786,0.991993537884132,0.999999995527961,0.9959841726940477
0.06,34.403699775489194,0.40000002256120865,0.4,-1.6504619061941572e-10,-1.592304334239223e-08,0.99999999138141,0.9919935378873566,0.9999999955298855,0.9959841726965877
0.062,34.40369976903281,0.4000000224261727,0.4,-1.7021344458628687e-10,-1.569176584672771e-08,0.9999999913853415,0.991993537890581,0.99999999553181,0.9959841726991278
0.064,34.40369976257643,0.400000022291137,0.4,-1.75380698553158e-10,-1.5460488351063165e-08,0.999999991389273,0.9919935378938054,0.9999999955337344,0.9959841727016677
