Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.40003676141094724,0.4,0.0,0.4,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
0.002,28.849679399501447,0.40003675733793087,0.4000000000000021,-9.189553543162422e-09,0.4000000000000021,0.9999942020206907,0.9919898459602398,0.9999975974578625,0.99598113733263
0.004,28.84967890330679,0.400036745173148,0.40000000000003233,-1.8376156841889517e-08,0.40000000000003233,0.9999942023472719,0.991989846234294,0.9999975976203,0.9959811375477802
0.006,28.849678076477733,0.4000367249974146,0.40000000000016245,-2.7557797453156564e-08,0.40000000000016245,0.9999942028866184,0.9919898466874513,0.9999975978887952,0.9959811379034721
0.008,28.849676919228855,0.40003669689081445,0.40000000000051,-3.673248322174962e-08,0.40000000000051,0.9999942036346209,0.9919898473167386,0.9999975982614999,0.995981138397316
0.01,28.849675431846084,0.4000366609327532,0.4000000000012372,-4.589824209081753e-08,0.4000000000012372,0.9999942045871272,0.9919898481191625,0.9999975987365519,0.995981139026904
0.012,28.849673614685994,0.40003661720200956,0.4000000000025493,-5.505312192578132e-08,0.4000000000025493,0.9999942057399506,0.9919898490917122,0.999997599312076,0.9959811397898133
0.014,28.849671468175064,0.40003656577678387,0.40000000000469316,-6.419519035105968e-08,0.40000000000469316,0.9999942070888725,0.9919898502313627,0.9999975999861869,0.995981140683609
0.016,28.849668992808997,0.40003650673474406,0.400000000007956,-7.332253459911565e-08,0.400000000007956,0.9999942086296505,0.9919898515350771,0.99999760075699,0.9959811417058453
0.018,28.849666189152003,0.40003644015307094,0.40000000001266367,-8.243326137132254e-08,0.40000000001266367,0.999994210358021,0.9919898529998099,0.9999976016225843,0.9959811428540685
0.02,28.8496630578361,0.40003636610850124,0.40000000001917957,-9.152549671000387e-08,0.40000000001917957,0.9999942122697052,0.9919898546225092,0.9999976025810642,0.9959811441258193
0.022,28.849659599560415,0.40003628467736624,0.4000000000279035,-1.0059738588119363e-07,0.4000000000279035,0.9999942143604127,0.9919898564001183,0.9999976036305199,0.9959811455186345
0.024,28.849655815090514,0.40003619593563233,0.4000000000392695,-1.0964709326753698e-07,0.4000000000392695,0.9999942166258453,0.9919898583295791,0.9999976047690402,0.9959811470300487
0.026,28.849651705257703,0.4000360999589367,0.4000000000537456,-1.1867280227125197e-07,0.4000000000537456,0.9999942190617017,0.9919898604078333,0.9999976059947128,0.9959811486575959
0.028,28.849647270958325,0.4000359968226221,0.4000000000718317,-1.2767271522607972e-07,0.4000000000718317,0.9999942216636799,0.9919898626318238,0.9999976073056264,0.9959811503988113
0.03,28.849642513153125,0.40003588660177136,0.4000000000940589,-1.3664505331812543e-07,0.4000000000940589,0.9999942244274801,0.9919898649984972,0.9999976086998713,0.9959811522512325
0.032,28.84963743286653,0.40003576937123764,0.40000000012098763,-1.455880565154009e-07,0.40000000012098763,0.9999942273488096,0.9919898675048051,0.9999976101755409,0.9959811542124012
0.034,28.849632031185987,0.400035645205676,0.400000000153207,-1.5449998350510613e-07,0.400000000153207,0.9999942304233836,0.9919898701477059,0.9999976117307328,0.9959811562798646
0.036,28.84962630926132,0.400035514179571,0.4000000001913334,-1.633791116388399e-07,0.4000000001913334,0.9999942336469287,0.9919898729241651,0.9999976133635484,0.9959811584511753
0.038,28.849620268304,0.4000353763672633,0.4000000002360089,-1.7222373688476066e-07,0.4000000002360089,0.9999942370151857,0.9919898758311578,0.9999976150720967,0.9959811607238942
0.04,28.849613909586537,0.40003523184297707,0.40000000028790084,-1.8103217378696857e-07,0.40000000028790084,0.9999942405239107,0.9919898788656695,0.999997616854492,0.9959811630955903
0.042,28.84960723444177,0.4000350806808429,0.4000000003477,-1.898027554312065e-07,0.4000000003477,0.9999942441688778,0.9919898820246967,0.9999976187088566,0.9959811655638419
0.044,28.849600244262206,0.4000349229549209,0.4000000004161198,-1.9853383341678537e-07,0.4000000004161198,0.999994247945882,0.9919898853052487,0.9999976206333205,0.9959811681262379
0.046,28.849592940499377,0.40003475873922306,0.40000000049389517,-2.072237778344421e-07,0.40000000049389517,0.9999942518507395,0.9919898887043476,0.9999976226260232,0.9959811707803777
0.048,28.84958532466316,0.4000345881077332,0.4000000005817812,-2.1587097724976485e-07,0.4000000005817812,0.9999942558792901,0.9919898922190302,0.9999976246851131,0.9959811735238732
0.05,28.84957739832109,0.40003441113442584,0.4000000006805525,-2.24473838691767e-07,0.4000000006805525,0.9999942600273983,0.9919898958463478,0.9999976268087484,0.9959811763543478
0.052,28.849569163097744,0.4000342278932861,0.40000000079100173,-2.3303078764648486e-07,0.40000000079100173,0.999994264290956,0.9919898995833683,0.9999976289950983,0.9959811792694391
0.054,28.849560620674023,0.40003403845832447,0.4000000009139387,-2.4154026805522686e-07,0.4000000009139387,0.9999942686658821,0.991989903427175,0.9999976312423426,0.9959811822667977
0.056,28.849551772786533,0.40003384290359434,0.4000000010501894,-2.500007423171385e-07,0.4000000010501894,0.9999942731481253,0.9919899073748688,0.9999976335486728,0.9959811853440887
0.058,28.849542621226895,0.4000336413032057,0.400000001200595,-2.5841069129598165e-07,0.400000001200595,0.9999942777336633,0.9919899114235682,0.9999976359122921,0.9959811884989918
0.06,28.849533167841088,0.40003343373134054,0.4000000013660106,-2.6676861433066785e-07,0.4000000013660106,0.9999942824185066,0.9919899155704099,0.9999976383314158,0.9959811917292021
0.062,28.84952341452878,0.4000332202622648,0.40000000154730464,-2.7507302924940214e-07,0.40000000154730464,0.9999942871986968,0.991989919812549,0.999997640804272,0.9959811950324303
0.064,28.849513363242664,0.4000330009703401,0.40000000174535777,-2.8332247238736086e-07,0.40000000174535777,0.999994292070309,0.9919899241471601,0.9999976433291016,0.995981198406403
0.066,28.84950301598779,0.40003277593003567,0.4000000019610617,-2.9151549860718935e-07,0.4000000019610617,0.9999942970294523,0.9919899285714371,0.9999976459041586,0.9959812018488631
0.068,28.8494923748209,0.40003254521593834,0.4000000021953187,-2.996506813225686e-07,0.4000000021953187,0.9999943020722702,0.9919899330825939,0.9999976485277107,0.9959812053575707
0.07,28.84948144184977,0.40003230890276165,0.4000000024490403,-3.0772661252470346e-07,0.4000000024490403,0.9999943071949423,0.9919899376778646,0.9999976511980387,0.9959812089303026
0.072,28.849470219232508,0.40003206706535477,0.4000000027231466,-3.1574190281068625e-07,0.4000000027231466,0.9999943123936832,0.9919899423545038,0.9999976539134385,0.9959812125648526
0.074,28.849458709176922,0.40003181977871,0.40000000301856553,-3.2369518141473614e-07,0.40000000301856553,0.9999943176647446,0.9919899471097872,0.9999976566722187,0.9959812162590326
0.076,28.849446913939826,0.4000315671179704,0.40000000333623154,-3.315850962411608e-07,0.40000000333623154,0.9999943230044153,0.9919899519410114,0.9999976594727032,0.9959812200106717
