Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778805,0.4,0.0,0.4,0.9999999913060577,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.4000000252451747,0.4000000000001228,-5.8985269615196175e-12,0.4000000000001228,0.9999999913061284,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.403699900213645,0.40000002523737466,0.4000000000004902,-1.1795227761802469e-11,0.4000000000004902,0.9999999913063402,0.9919935378251503,0.9999999954928763,0.9959841726476614
0.006,34.40369989968292,0.40000002522444666,0.40000000000110103,-1.76888407067418e-11,0.40000000000110103,0.9999999913066928,0.9919935378254449,0.9999999954930511,0.9959841726478927
0.008,34.4036998989401,0.4000000252064487,0.40000000000195424,-2.357811795624052e-11,0.40000000000195424,0.9999999913071853,0.9919935378258556,0.9999999954932949,0.9959841726482154
0.01,34.40369989798536,0.40000002518343714,0.40000000000304853,-2.946182564526357e-11,0.40000000000304853,0.9999999913078169,0.9919935378263823,0.9999999954936077,0.9959841726486294
0.012,34.40369989681893,0.4000000251554696,0.40000000000438257,-3.5338743440699815e-11,0.40000000000438257,0.9999999913085873,0.9919935378270239,0.9999999954939889,0.9959841726491336
0.014,34.403699895441065,0.40000002512260086,0.40000000000595504,-4.120766467322266e-11,0.40000000000595504,0.9999999913094956,0.9919935378277799,0.999999995494438,0.9959841726497278
0.016,34.403699893852085,0.4000000250848865,0.4000000000077646,-4.70673959698097e-11,0.4000000000077646,0.9999999913105411,0.991993537828649,0.9999999954949546,0.9959841726504111
0.018,34.40369989205234,0.400000025042381,0.4000000000098097,-5.2916757216994644e-11,0.4000000000098097,0.9999999913117228,0.9919935378296307,0.9999999954955382,0.9959841726511829
0.02,34.40369989004222,0.4000000249951381,0.40000000001208896,-5.875458143981503e-11,0.40000000001208896,0.9999999913130403,0.9919935378307242,0.9999999954961885,0.9959841726520428
0.022,34.40369988782216,0.40000002494321113,0.4000000000146008,-6.457971460942533e-11,0.4000000000146008,0.9999999913144925,0.9919935378319287,0.9999999954969048,0.9959841726529899
0.024,34.40369988539264,0.4000000248866539,0.4000000000173438,-7.039101566687523e-11,0.4000000000173438,0.9999999913160789,0.9919935378332433,0.999999995497687,0.995984172654024
