Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.32674794209209,0.4000519541608123,0.3999995,0.0,0.3999995,0.9999956484056018,0.9919906094543625,0.999998130995232,0.9959817896052154
0.002,20.326747728003546,0.40005194893906154,0.3999995000000003,-1.1893432261621926e-08,0.3999995000000003,0.9999956485429189,0.9919906095702947,0.999998131063824,0.995981789696149
0.004,20.326747085806154,0.400051933530796,0.3999995000000039,-2.378343976965194e-08,0.3999995000000039,0.9999956489337208,0.9919906099038035,0.9999981312605087,0.9959817899573267
0.006,20.326746015664277,0.40005190829517806,0.3999995000000189,-3.5667754431672124e-08,0.3999995000000189,0.9999956495489638,0.9919906104352272,0.9999981315727846,0.9959817903727589
0.008,20.326744517822505,0.4000518735591634,0.3999995000000572,-4.754418608365854e-08,0.3999995000000572,0.9999956503628552,0.9919906111470521,0.9999981319895275,0.9959817909282116
0.01,20.326742592602972,0.4000518296206472,0.39999950000013423,-5.941061554210819e-08,0.39999950000013423,0.9999956513525081,0.9919906120236875,0.9999981325008461,0.99598179161102
0.012,20.326740240402927,0.40005177675131093,0.3999995000002677,-7.126498833565523e-08,0.3999995000002677,0.9999956524976281,0.9919906130512597,0.9999981330979492,0.9959817924099216
0.014,20.326737461692495,0.40005171519919497,0.3999995000004773,-8.310530905136089e-08,0.3999995000004773,0.999995653780238,0.9919906142174303,0.9999981337730286,0.995981793314907
0.016,20.32673425701265,0.40005164519102576,0.3999995000007845,-9.492963623678837e-08,0.3999995000007845,0.9999956551844252,0.9919906155112319,0.999998134519155,0.995981794317086
0.018,20.32673062697336,0.40005156693432165,0.3999995000012114,-1.0673607780456695e-07,0.3999995000012114,0.9999956566961209,0.9919906169229215,0.9999981353301818,0.995981795408567
0.02,20.326726572251886,0.40005148061929435,0.3999995000017814,-1.1852278689166714e-07,0.3999995000017814,0.9999956583028993,0.9919906184438483,0.999998136200662,0.9959817965823502
0.022,20.3267220935912,0.400051386420572,0.39999950000251816,-1.3028795812942046e-07,0.39999950000251816,0.9999956599937982,0.9919906200663368,0.9999981371257716,0.9959817978322306
0.024,20.326717191798597,0.4000512844987537,0.39999950000344575,-1.420298242853928e-07,0.39999950000344575,0.9999956617591605,0.9919906217835804,0.9999981381012429,0.9959817991527123
0.026,20.32671186774433,0.40005117500181875,0.39999950000458845,-1.537466532412385e-07,0.39999950000458845,0.9999956635904902,0.9919906235895481,0.9999981391233033,0.9959818005389309
0.028,20.326706122360434,0.4000510580663975,0.3999995000059705,-1.6543674527448137e-07,0.3999995000059705,0.999995665480324,0.9919906254788977,0.9999981401886205,0.9959818019865848
0.03,20.326699956639576,0.4000509338189235,0.3999995000076162,-1.7709843061515115e-07,0.3999995000076162,0.9999956674221181,0.9919906274469026,0.9999981412942555,0.9959818034918732
0.032,20.32669337163404,0.40005080237667345,0.39999950000954954,-1.8873006725077287e-07,0.39999950000954954,0.9999956694101451,0.9919906294893827,0.9999981424376175,0.9959818050514406
0.034,20.32668636845474,0.40005066384870813,0.3999995000117944,-2.003300389561656e-07,0.3999995000117944,0.9999956714394036,0.9919906316026437,0.9999981436164266,0.9959818066623279
0.036,20.326678948270345,0.40005051833672395,0.3999995000143743,-2.1189675352630817e-07,0.3999995000143743,0.9999956735055359,0.9919906337834242,0.9999981448286782,0.9959818083219282
0.038,20.326671112306432,0.4000503659358208,0.39999950001731244,-2.2342864119293926e-07,0.39999950001731244,0.999995675604756,0.9919906360288459,0.9999981460726123,0.9959818100279463
0.04,20.326662861844706,0.40005020673519764,0.39999950002063167,-2.349241532070907e-07,0.39999950002063167,0.9999956777337841,0.9919906383363716,0.9999981473466865,0.9959818117783653
0.042,20.326654198222275,0.40005004081878226,0.39999950002435436,-2.463817605718347e-07,0.39999950002435436,0.9999956798897889,0.991990640703765,0.9999981486495496,0.9959818135714128
0.044,20.326645122830943,0.40004986826579825,0.39999950002850243,-2.5779995291069746e-07,0.39999950002850243,0.9999956820703364,0.9919906431290582,0.9999981499800221,0.9959818154055353
0.046,20.326635637116574,0.4000496891512793,0.3999995000330976,-2.691772374587035e-07,0.3999995000330976,0.9999956842733434,0.9919906456105191,0.999998151337074,0.9959818172793709
0.048,20.326625742578468,0.40004950354653296,0.39999950003816076,-2.8051213816435334e-07,0.39999950003816076,0.9999956864970369,0.9919906481466256,0.9999981527198092,0.9959818191917283
0.05,20.32661544076877,0.40004931151956086,0.39999950004371254,-2.9180319489167073e-07,0.39999950004371254,0.9999956887399172,0.9919906507360401,0.9999981541274486,0.995981821141567
