Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXAC1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.564,7.724367208374762,0.40198563764484035,0.4,-6.4020420477195515e-06,1.980696381493176,1.0179663923086646,0.9546107413581322,0.9627537621925711,0.9570221474437064
7.566,7.72412840898075,0.40197564834570165,0.4,-6.864194770620572e-06,1.9806968406274479,1.0179660478189183,0.9546101707696759,0.9627531343207388,0.9570215151043169
7.568,7.723873015278855,0.40196537221752654,0.4,-7.323936909516098e-06,1.9806975819201351,1.0179656985477168,0.9546095870161809,0.9627524905968863,0.9570208673142274
7.57,7.723601115248885,0.40195481170564884,0.4,-7.781201961555947e-06,1.9806986044671862,1.0179653445579295,0.9546089902230537,0.9627518311647889,0.9570202042160597
7.572,7.723312799254302,0.40194396929389437,0.4,-8.235924005924283e-06,1.9806999073241083,1.0179649859129583,0.9546083805173861,0.9627511561702902,0.9570195259544372
7.574,7.723008160021104,0.4019328475040766,0.4,-8.688037712720768e-06,1.9807014895062325,1.0179646226767263,0.9546077580279314,0.9627504657612729,0.9570188326759581
7.576,7.722687292616403,0.40192144889548637,0.4,-9.137478351720164e-06,1.9807033499889826,1.0179642549136672,0.9546071228850797,0.9627497600876308,0.9570181245291669
7.578,7.722350294426669,0.4019097760643782,0.4,-9.58418180101274e-06,1.9807054877081467,1.0179638826887158,0.9546064752208346,0.962749039301241,0.9570174016645271
7.58,7.7219972651356885,0.40189783164344955,0.4,-1.0028084555521992e-05,1.980707901560156,1.0179635060672974,0.9546058151687901,0.962748303555935,0.9570166642343936
7.582,7.721628306702197,0.4018856183013204,0.4,-1.0469123735401819e-05,1.9807105904023639,1.017963125115317,0.9546051428641044,0.9627475530074695,0.9570159123929832
7.584,7.721243523337227,0.40187313874200425,0.4,-1.0907237094308104e-05,1.980713553053335,1.0179627398991489,0.9546044584434759,0.9627467878134978,0.9570151462963473
7.586,7.720843021481159,0.4018603957043764,0.4,-1.1342363027547184e-05,1.9807167882931325,1.017962350485628,0.9546037620451207,0.9627460081335406,0.9570143661023435
7.588,7.720426909780467,0.40184739196163877,0.4,-1.1774440580097519e-05,1.9807202948636138,1.017961956942037,0.9546030538087448,0.9627452141289565,0.9570135719706053
7.59,7.719995299064191,0.4018341303207801,0.4,-1.2203409454507145e-05,1.9807240714687282,1.0179615593360969,0.9546023338755216,0.9627444059629127,0.9570127640625149
7.592,7.719548302320134,0.40182061362203303,0.4,-1.262921001866172e-05,1.9807281167748203,1.017961157735957,0.9546016023880654,0.962743583800354,0.9570119425411725
7.594,7.719086034670757,0.40180684473832623,0.4,-1.305178331342573e-05,1.9807324294109339,1.0179607522101848,0.9546008594904069,0.962742747807974,0.957011107571368
7.596,7.718608613348827,0.40179282657473236,0.4,-1.3471071060153498e-05,1.9807370079691262,1.0179603428277528,0.9546001053279669,0.9627418981541845,0.9570102593195505
7.598,7.718116157672783,0.4017785620679169,0.4,-1.3887015668072103e-05,1.9807418510047785,1.0179599296580322,0.9545993400475333,0.9627410350090855,0.9570093979538002
7.6,7.717608789021838,0.40176405418557587,0.4,-1.4299560241532075e-05,1.980746957036917,1.0179595127707783,0.954598563797232,0.9627401585444333,0.9570085236437961
7.602,7.717086630810833,0.4017493059258781,0.4,-1.4708648587127404e-05,1.9807523245485334,1.0179590922361221,0.9545977767265035,0.9627392689336113,0.9570076365607879
7.604,7.716549808464822,0.40173432031689804,0.4,-1.5114225220682583e-05,1.9807579519869118,1.0179586681245598,0.9545969789860764,0.9627383663515983,0.9570067368775651
7.606,7.715998449393425,0.4017191004160495,0.4,-1.551623537410811e-05,1.9807638377639574,1.017958240506941,0.9545961707279418,0.9627374509749378,0.957005824768427
7.608,7.715432682964917,0.40170364930951363,0.4,-1.5914625002121042e-05,1.9807699802565302,1.0179578094544588,0.9545953521053256,0.9627365229817063,0.9570049004091508
7.61,7.7148526404801,0.40168797011166585,0.4,-1.6309340788831714e-05,1.9807763778067826,1.0179573750386393,0.9545945232726644,0.9627355825514822,0.9570039639769631
7.612,7.714258455145917,0.40167206596449845,0.4,-1.6700330154194723e-05,1.9807830287224992,1.0179569373313304,0.9545936843855778,0.9627346298653146,0.9570030156505074
7.614,7.713650262048854,0.40165594003704114,0.4,-1.7087541260325806e-05,1.980789931277442,1.0179564964046917,0.9545928356008417,0.9627336651056907,0.9570020556098137
7.616,7.713028198128111,0.40163959552477957,0.4,-1.7470923017680717e-05,1.9807970837116962,1.0179560523311828,0.9545919770763629,0.962732688456505,0.9570010840362673
7.618,7.712392402148547,0.4016230356490697,0.4,-1.7850425091098376e-05,1.980804484232023,1.017955605183554,0.9545911089711512,0.9627317001030268,0.9570001011125783
7.62,7.711743014673421,0.40160626365654967,0.4,-1.822599790570515e-05,1.9808121310122146,1.017955155034835,0.9545902314452933,0.9627307002318677,0.9569991070227489
