Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.098,6.607257959938174,0.3870333222470985,0.4,0.00011655885713705825,1.9812324259498422,1.0201870271235645,0.9554764913487613,0.9629760549033934,0.9575211107997335
5.1,6.611508263144106,0.38714123632744946,0.4,0.00011956484974596424,1.981275081699956,1.0201841442169703,0.9554786062984086,0.9629801359971506,0.9575245600198132
5.102,6.615866320721924,0.38725091148390706,0.4,0.00012254514295415548,1.9813173063690885,1.0201813114839504,0.9554808162408412,0.9629843243437287,0.9575281162256518
5.104,6.620331200161184,0.3873623256213167,0.4,0.00012549933029412376,1.9813590941982562,1.0201785285815108,0.9554831201071216,0.9629886186600696,0.957531778165352
5.106,6.624901954412524,0.38747545642795017,0.4,0.00012842701052385487,1.9814004395410318,1.0201757951590036,0.9554855168156263,0.9629930176492167,0.957535544572996
5.108,6.629577622076672,0.38759028137957036,0.4,0.00013132778767645914,1.9814413368647492,1.0201731108582754,0.9554880052723296,0.9629975200006224,0.9575394141689562
5.11,6.634357227595236,0.387706777743519,0.4,0.0001342012711088529,1.9814817807516671,1.0201704753138165,0.9554905843710885,0.9630021243904551,0.957543385660208
5.112,6.6392397814432105,0.38782492258282664,0.4,0.0001370470755494701,1.981521765900093,1.0201678881529137,0.9554932529939298,0.9630068294819107,0.9575474577406442
5.114,6.644224280323211,0.3879446927603449,0.4,0.00013986482114501962,1.981561287125465,1.0201653489958031,0.955496010011338,0.9630116339255235,0.9575516290913906
5.116,6.649309707361348,0.38806606494289536,0.4,0.0001426541335062575,1.9816003393613943,1.0201628574558235,0.9554988542825442,0.9630165363594779,0.9575558983811231
5.118,6.654495032304751,0.3881890156054455,0.4,0.00014541464375279073,1.9816389176606628,1.0201604131395716,0.9555017846558167,0.9630215354099236,0.9575602642663852
5.12,6.659779211720663,0.3883135210352977,0.4,0.00014814598855689202,1.9816770171961817,1.0201580156470578,0.9555047999687523,0.9630266296912885,0.9575647253919081
5.122,6.665161189197129,0.3884395573363002,0.4,0.00015084781018634134,1.9817146332619067,1.020155664571863,0.9555078990485676,0.9630318178065955,0.9575692803909295
5.124,6.670639895545181,0.38856710043307646,0.4,0.00015351975654626546,1.9817517612737103,1.020153359501297,0.9555110807123937,0.9630370983477787,0.9575739278855162
5.126,6.676214249002524,0.3886961260752698,0.4,0.00015616148121999098,1.9817883967702128,1.0201511000165553,0.9555143437675676,0.9630424698960003,0.9575786664868836
5.128,6.681883155438662,0.38882660984180645,0.4,0.00015877264350889244,1.9818245354135686,1.020148885692879,0.9555176870119286,0.9630479310219688,0.9575834947957206
5.13,6.687645508561464,0.38895852714517537,0.4,0.0001613529084712509,1.9818601729902117,1.0201467160997155,0.9555211092341114,0.9630534802862575,0.9575884114025104
5.132,6.693500190125091,0.38909185323572043,0.4,0.00016390194696009526,1.981895305411556,1.0201445908008762,0.9555246092138419,0.9630591162396225,0.9575934148878553
5.134,6.699446070139272,0.3892265632059513,0.4,0.00016641943566004264,1.9819299287146541,1.0201425093546985,0.9555281857222325,0.9630648374233233,0.9575985038227997
5.136,6.705482007079884,0.389362631994865,0.4,0.00016890505712311975,1.9819640390628113,1.020140471314207,0.9555318375220783,0.9630706423694413,0.9576036767691539
5.138,6.711606848100821,0.38950003439228265,0.4,0.00017135849980358085,1.9819976327461568,1.0201384762272723,0.9555355633681514,0.9630765296012002,0.9576089322798196
5.14,6.717819429247076,0.3896387450431985,0.4,0.00017377945809169665,1.9820307061821723,1.020136523636776,0.9555393620074982,0.963082497633286,0.9576142688991133
5.142,6.724118575669037,0.3897787384521414,0.4,0.0001761676323465291,1.982063255916175,1.0201346130807694,0.9555432321797345,0.963088544972166,0.9576196851630897
5.144,6.7305031018379236,0.38991998898754626,0.4,0.00017852272892767676,1.9820952786217587,1.0201327440926353,0.9555471726173413,0.9630946701164105,0.9576251795998684
