Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.37,7.922951655487999,0.40097468937074654,0.4,6.460672410489921e-05,1.9547738842230262,1.0140893789732328,0.9521258586220746,0.9610464373755094,0.9549159083715171
7.372,7.925273235970635,0.4010130590866547,0.4,6.436847895503215e-05,1.9547759967214733,1.0140888100013186,0.9521268623299886,0.9610480488436298,0.9549173406497836
7.374,7.927586079026483,0.40105117007731766,0.4,6.412132171923989e-05,1.954778075423241,1.0140882430369043,0.9521278579974215,0.9610496485428396,0.9549187621737059
7.376,7.929889864930965,0.40108901703633393,0.4,6.386531429825787e-05,1.9547801208889715,1.0140876779822627,0.9521288453765194,0.9610512361772774,0.9549201726539872
7.378,7.932184276210055,0.40112659471301726,0.4,6.360051982029918e-05,1.9547821336822782,1.01408711474011,0.9521298242217351,0.9610528114540147,0.9549215718041356
7.38,7.934468997684245,0.4011638979130755,0.4,6.332700262784286e-05,1.9547841143696425,1.0140865532136139,0.9521307942898565,0.9610543740830892,0.9549229593404982
7.382,7.936743716512011,0.40120092149927716,0.4,6.304482826426715e-05,1.954786063520313,1.0140859933064055,0.9521317553400352,0.9610559237775418,0.9549243349822951
7.384,7.939008122232808,0.40123766039211034,0.4,6.275406346032872e-05,1.9547879817062026,1.0140854349225903,0.9521327071338154,0.9610574602534488,0.9549256984516526
7.386,7.941261906809559,0.4012741095704263,0.4,6.245477612049148e-05,1.9547898695017893,1.0140848779667575,0.9521336494351593,0.961058983229957,0.9549270494736354
7.388,7.943504764670672,0.40131026407207726,0.4,6.214703530910579e-05,1.9547917274840143,1.0140843223439908,0.9521345820104763,0.9610604924293156,0.9549283877762788
7.39,7.945736392751539,0.4013461189945397,0.4,6.183091123644316e-05,1.9547935562321819,1.0140837679598784,0.9521355046286478,0.9610619875769086,0.9549297130906197
7.392,7.947956490535541,0.40138166949552734,0.4,6.150647524458662e-05,1.9547953563278606,1.0140832147205228,0.9521364170610542,0.9610634684012878,0.9549310251507281
7.394,7.950164760094525,0.4014169107935946,0.4,6.117379979318163e-05,1.954797128354783,1.0140826625325507,0.9521373190816,0.9610649346342021,0.9549323236937364
7.396,7.952360906128793,0.4014518381687257,0.4,6.083295844504705e-05,1.9547988728987467,1.0140821113031222,0.9521382104667381,0.9610663860106291,0.9549336084598697
7.398,7.954544636006545,0.4014864469629167,0.4,6.048402585165252e-05,1.9548005905475172,1.014081560939941,0.9521390909954959,0.9610678222688054,0.9549348791924747
7.4,7.956715659802809,0.40152073258074306,0.4,6.0127077738461897e-05,1.954802281890729,1.014081011351262,0.9521399604494974,0.9610692431502544,0.954936135638047
7.402,7.958873690337841,0.4015546904899161,0.4,5.976219089014752e-05,1.9548039475197876,1.0140804624459034,0.9521408186129886,0.9610706483998172,0.9549373775462616
7.404,7.961018443214989,0.401588316221831,0.4,5.938944313567552e-05,1.9548055880277742,1.0140799141332524,0.952141665272858,0.9610720377656774,0.9549386046699967
7.406,7.963149636858012,0.4016216053720981,0.4,5.900891333326767e-05,1.9548072040093478,1.0140793663232763,0.9521425002186619,0.9610734109993926,0.9549398167653627
7.408,7.96526699254787,0.4016545536010683,0.4,5.8620681355240686e-05,1.9548087960606502,1.0140788189265304,0.952143323242644,0.9610747678559176,0.9549410135917275
7.41,7.967370234458946,0.40168715663434384,0.4,5.822482807272656e-05,1.9548103647792097,1.0140782718541668,0.9521441341397587,0.9610761080936331,0.9549421949117419
7.412,7.969459089694732,0.4017194102632762,0.4,5.78214353402749e-05,1.954811910763847,1.014077725017942,0.9521449327076905,0.9610774314743697,0.9549433604913646
7.414,7.971533288322956,0.4017513103454565,0.4,5.74105859803429e-05,1.954813434614581,1.0140771783302274,0.952145718746876,0.9610787377634342,0.9549445100998866
7.416,7.973592563410141,0.40178285280519027,0.4,5.6992363767673115e-05,1.9548149369325338,1.0140766317040137,0.9521464920605223,0.9610800267296326,0.9549456435099536
7.418,7.975636651055603,0.4018140336339623,0.4,5.656685341356403e-05,1.954816418319839,1.0140760850529231,0.952147252454628,0.9610812981452949,0.9549467604975913
7.42,7.977665290424891,0.40184484889088884,0.4,5.613414055003287e-05,1.9548178793795479,1.0140755382912146,0.9521479997380015,0.9610825517862981,0.9549478608422258
7.422,7.979678223782637,0.4018752947031593,0.4,5.569431171387743e-05,1.9548193207155375,1.014074991333792,0.9521487337222787,0.9610837874320879,0.9549489443267065
7.424,7.9816751965248445,0.40190536726646464,0.4,5.52474543306369e-05,1.9548207429324194,1.0140744440962122,0.9521494542219431,0.9610850048657016,0.9549500107373272
7.426,7.9836559572105905,0.4019350628454139,0.4,5.4793656698456114e-05,1.9548221466354485,1.014073896494692,0.9521501610543412,0.961086203873789,0.9549510598638468
7.428,7.985620257593151,0.4019643777739409,0.4,5.4333007971853764e-05,1.9548235324304326,1.0140733484461169,0.9521508540397007,0.9610873842466323,0.9549520914995087
7.43,7.987567852650534,0.4019933084556952,0.4,5.386559814540055e-05,1.9548249009236425,1.0140727998680457,0.9521515330011467,0.9610885457781676,0.9549531054410615
7.432,7.989498500615426,0.4020218513644245,0.4,5.339151803730727e-05,1.9548262527217228,1.01407225067872,0.9521521977647177,0.9610896882660033,0.9549541014887771
7.434,7.991411963004546,0.40205000304434324,0.4,5.291085927292832e-05,1.9548275884316033,1.0140717007970703,0.9521528481593811,0.9610908115114387,0.9549550794464688
7.436,7.993308004647408,0.4020777601104891,0.4,5.2423714268179456e-05,1.954828908660411,1.014071150142723,0.9521534840170489,0.9610919153194832,0.9549560391215103
7.438,7.995186393714482,0.4021051192490692,0.4,5.1930176212877595e-05,1.954830214015382,1.0140705986360063,0.9521541051725914,0.9610929994988731,0.9549569803248505
7.44,7.997046901744745,0.4021320772177901,0.4,5.143033905400146e-05,1.954831505103776,1.0140700461979584,0.9521547114638516,0.9610940638620884,0.9549579028710329
7.442,7.998889303672644,0.40215863084618136,0.4,5.0924297478879145e-05,1.954832782532788,1.0140694927503326,0.9521553027316589,0.9610951082253696,0.9549588065782086
7.444,8.000713377854442,0.4021847770359014,0.4,5.041214689830119e-05,1.954834046909465,1.0140689382156043,0.9521558788198429,0.9610961324087338,0.9549596912681545
7.446,8.002518906093965,0.40221051276103525,0.4,4.989398342956717e-05,1.9548352988406188,1.0140683825169765,0.9521564395752442,0.9610971362359885,0.9549605567662858
7.448,8.004305673667714,0.4022358350683783,0.4,4.9369903879464576e-05,1.954836538932743,1.0140678255783881,0.9521569848477288,0.961098119534747,0.9549614029016712
7.45,8.006073469349397,0.4022607410777062,0.4,4.884000572718577e-05,1.954837767791928,1.0140672673245168,0.9521575144901983,0.9610990821364425,0.9549622295070466
7.452,8.007822085433814,0.40228522798203664,0.4,4.830438710718221e-05,1.9548389860237791,1.0140667076807874,0.9521580283586014,0.9611000238763413,0.9549630364188278
7.454,8.009551317760144,0.4023092930478767,0.4,4.776314679196341e-05,1.954840194233333,1.0140661465733771,0.952158526311945,0.9611009445935541,0.9549638234771229
7.456,8.011260965734602,0.40233293361545497,0.4,4.721638417483968e-05,1.9548413930249757,1.0140655839292207,0.9521590082123045,0.9611018441310503,0.9549645905257447
7.458,8.012950832352477,0.40235614709894724,0.4,4.666419925261459e-05,1.9548425830023617,1.0140650196760157,0.9521594739248326,0.9611027223356677,0.9549653374122208
7.46,8.014620724219546,0.4023789309866864,0.4,4.6106692608225847e-05,1.9548437647683328,1.0140644537422296,0.9521599233177704,0.9611035790581243,0.9549660639878059
7.462,8.016270451572863,0.4024012828413599,0.4,4.554396539334259e-05,1.954844938924838,1.014063886057104,0.9521603562624541,0.9611044141530274,0.9549667701074902
7.464,8.017899828300914,0.40242320030019585,0.4,4.4976119310917846e-05,1.954846106072854,1.0140633165506598,0.9521607726333254,0.9611052274788854,0.9549674556300111
7.466,8.019508671963154,0.4024446810751377,0.4,4.4403256597702255e-05,1.9548472668123065,1.014062745153703,0.9521611723079386,0.9611060188981143,0.9549681204178597
7.468,8.021096803808907,0.4024657229530042,0.4,4.3825480006717575e-05,1.954848421741992,1.0140621717978289,0.9521615551669669,0.9611067882770474,0.9549687643372906
7.47,8.022664048795635,0.4024863237956409,0.4,4.3242892789698165e-05,1.9548495714594993,1.0140615964154285,0.9521619210942115,0.9611075354859436,0.9549693872583305
7.472,8.024210235606576,0.4025064815400538,0.4,4.2655598679499087e-05,1.9548507165611333,1.014061018939692,0.9521622699766069,0.9611082603989941,0.9549699890547837
7.474,8.025735196667743,0.402526194198539,0.4,4.206370187247686e-05,1.9548518576418379,1.0140604393046144,0.9521626017042273,0.9611089628943286,0.9549705696042401
7.476,8.0272387681643,0.40254545985878964,0.4,4.146730701084144e-05,1.9548529952951206,1.0140598574449995,0.9521629161702916,0.961109642854022,0.9549711287880805
7.478,8.028720790056294,0.40256427668400113,0.4,4.0866519164987664e-05,1.9548541301129772,1.0140592732964662,0.9521632132711698,0.9611103001640997,0.9549716664914835
7.48,8.03018110609374,0.4025826429129562,0.4,4.026144381580469e-05,1.954855262685817,1.01405868679545,0.9521634929063868,0.9611109347145429,0.9549721826034286
7.482,8.031619563831093,0.4026005568601022,0.4,3.9652186836969635e-05,1.9548563936023893,1.0140580978792109,0.9521637549786266,0.9611115463992919,0.9549726770167026
7.484,8.033036014641066,0.4026180169156159,0.4,3.9038854477223564e-05,1.9548575234497085,1.0140575064858346,0.9521639993937367,0.9611121351162504,0.9549731496279024
7.486,8.034430313727807,0.40263502154545233,0.4,3.842155334263855e-05,1.9548586528129834,1.0140569125542391,0.952164226060731,0.9611127007672889,0.954973600337438
7.488,8.035802320139455,0.40265156929138846,0.4,3.780039037887408e-05,1.9548597822755436,1.0140563160241776,0.9521644348917931,0.9611132432582471,0.954974029049537
7.49,8.037151896780033,0.4026676587710467,0.4,3.717547285342873e-05,1.954860912418768,1.014055716836243,0.9521646258022786,0.9611137624989354,0.9549744356722452
7.492,8.038478910420725,0.4026832886779137,0.4,3.654690833788592e-05,1.9548620438220143,1.0140551149318713,0.9521647987107165,0.9611142584031367,0.9549748201174291
7.494,8.039783231710496,0.40269845778134217,0.4,3.591480469016161e-05,1.9548631770625489,1.014054510253347,0.9521649535388126,0.9611147308886075,0.9549751823007773
7.496,8.041064735186088,0.4027131649265435,0.4,3.527927003675289e-05,1.9548643127154757,1.014053902743805,0.9521650902114486,0.9611151798770776,0.9549755221418
7.498,8.04232329928136,0.40272740903456583,0.4,3.464041275499291e-05,1.9548654513536683,1.014053292347235,0.9521652086566839,0.9611156052942497,0.9549758395638305
7.5,8.043558806336009,0.40274118910226286,0.4,3.399834145531108e-05,1.9548665935477008,1.0140526790084867,0.952165308805756,0.9611160070697992,0.9549761344940244
7.502,8.044771142603631,0.4027545042022494,0.4,3.3353164963506685e-05,1.9548677398657794,1.014052062673271,0.95216539059308,0.9611163851373724,0.9549764068633575
7.504,8.045960198259166,0.4027673534828457,0.4,3.2704992303034335e-05,1.9548688908736758,1.0140514432881647,0.9521654539562484,0.9611167394345845,0.9549766566066263
7.506,8.047125867405693,0.4027797361680083,0.4,3.205393267730556e-05,1.9548700471346598,1.0140508208006136,0.9521654988360299,0.9611170699030168,0.9549768836624443
7.508,8.048268048080585,0.4027916515572522,0.4,3.1400095452010815e-05,1.9548712092094331,1.0140501951589371,0.9521655251763674,0.9611173764882139,0.9549770879732401
7.51,8.049386642261032,0.4028030990255578,0.4,3.074359013746015e-05,1.954872377656064,1.0140495663123288,0.9521655329243776,0.9611176591396802,0.9549772694852541
7.512,8.05048155586894,0.4028140780232689,0.4,3.008452637095126e-05,1.9548735530299213,1.0140489342108614,0.9521655220303473,0.9611179178108743,0.9549774281485351
7.514,8.051552698775177,0.402824588075978,0.4,2.9423013899162545e-05,1.954874735883611,1.014048298805491,0.952165492447732,0.961118152459207,0.954977563916937
7.516,8.052599984803196,0.40283462878439935,0.4,2.875916256057818e-05,1.9548759267669114,1.0140476600480577,0.9521654441331517,0.961118363046033,0.9549776767481123
7.518,8.053623331732025,0.4028441998242321,0.4,2.8093082267942384e-05,1.95487712622671,1.014047017891289,0.9521653770463882,0.9611185495366468,0.9549777666035082
7.52,8.054622661298625,0.4028533009460098,0.4,2.74248829907519e-05,1.9548783348069407,1.0140463722888051,0.9521652911503813,0.9611187119002759,0.9549778334483615
7.522,8.05559789919962,0.402861931974942,0.4,2.6754674737784598e-05,1.954879553048522,1.0140457231951179,0.9521651864112234,0.9611188501100733,0.9549778772516905
7.524,8.056548975092392,0.40287009281073927,0.4,2.6082567539670244e-05,1.9548807814892941,1.014045070565637,0.9521650627981562,0.9611189641431112,0.9549778979862906
7.526,8.057475822595558,0.4028777834274318,0.4,2.5408671431501582e-05,1.954882020663959,1.0140444143566705,0.9521649202835646,0.961119053980372,0.9549778956287255
7.528,8.058378379288827,0.4028850038731746,0.4,2.473309643549407e-05,1.954883271104019,1.0140437545254282,0.9521647588429716,0.9611191196067398,0.9549778701593201
7.53,8.059256586712204,0.402891754270041,0.4,2.4055952543692238e-05,1.9548845333377172,1.0140430910300238,0.9521645784550323,0.9611191610109917,0.9549778215621524
7.532,8.060110390364613,0.4028980348138065,0.4,2.33773497007289e-05,1.9548858078899778,1.0140424238294783,0.952164379101528,0.9611191781857888,0.9549777498250449
7.534,8.060939739701876,0.4029038457737201,0.4,2.2697397786634882e-05,1.9548870952823474,1.014041752883721,0.9521641607673585,0.9611191711276645,0.9549776549395551
7.536,8.061744588134069,0.4029091874922657,0.4,2.2016206599707862e-05,1.9548883960329364,1.0140410781535918,0.9521639234405359,0.9611191398370151,0.9549775369009661
7.538,8.062524893022283,0.40291406038491195,0.4,2.133388583943836e-05,1.954889710656361,1.0140403996008456,0.9521636671121769,0.9611190843180883,0.9549773957082767
7.54,8.063280615674758,0.40291846493985195,0.4,2.0650545089498533e-05,1.954891039663686,1.0140397171881521,0.9521633917764953,0.9611190045789723,0.9549772313641904
7.542,8.064011721342403,0.4029224017177301,0.4,1.9966293800791823e-05,1.9548923835623688,1.014039030879098,0.9521630974307924,0.9611189006315818,0.9549770438751044
7.544,8.064718179213722,0.4029258713513629,0.4,1.9281241274572035e-05,1.9548937428562019,1.0140383406381905,0.9521627840754497,0.9611187724916471,0.954976833251098
7.546,8.065399962409113,0.40292887454544274,0.4,1.859549664562914e-05,1.954895118045258,1.014037646430858,0.9521624517139202,0.9611186201787005,0.9549765995059211
7.548,8.066057047974585,0.4029314120762359,0.4,1.7909168865548342e-05,1.9548965096258348,1.0140369482234526,0.9521621003527172,0.9611184437160623,0.9549763426569808
