Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSAC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.506,10.084893329149097,0.4049867073654248,0.4,0.00018278847628412425,1.8704954291650011,0.9925151739528526,0.9386214444921465,0.9519968765943935,0.9436133935080445
5.508,10.091452272960046,0.40510229682690513,0.4,0.00018159280850865955,1.8703660426563813,0.9925223153152551,0.9386301050996573,0.9520055905712296,0.9436224825444421
5.51,10.097967690187494,0.4052167736930073,0.4,0.00018037037649773214,1.870237141170144,0.9925294218499077,0.9386387026637902,0.9520142340124275,0.9436315009234079
5.512,10.104438622063366,0.4053301234677739,0.4,0.00017912144438964465,1.8701088258577938,0.9925364933687356,0.9386472365802465,0.9520228061638693,0.9436404479184415
5.514,10.110864119388783,0.4054423318752175,0.4,0.0001778462796591252,1.86998119345046,0.9925435296980382,0.9386557062619328,0.9520313062885941,0.9436493228210019
5.516,10.11724324265322,0.4055533848609293,0.4,0.00017654515306543564,1.8698543355551949,0.9925505306784104,0.9386641111389453,0.9520397336668163,0.9436581249405116
5.518,10.12357506215184,0.4056632685935777,0.4,0.00017521833860011595,1.8697283380909533,0.9925574961645791,0.9386724506584937,0.9520480875959021,0.9436668536043124
5.52,10.129858658100883,0.4057719694662975,0.4,0.00017386611343440193,1.869603280858586,0.9925644260251613,0.9386807242847734,0.95205636739031,0.9436755081575722
5.522,10.136093120751202,0.4058794740979854,0.4,0.00017248875786633096,1.8694792372377498,0.9925713201423525,0.9386889314987911,0.952064572381493,0.9436840879631532
5.524,10.142277550499857,0.40598576933450303,0.4,0.00017108655526756458,1.8693562740025294,0.9925781784115579,0.9386970717981481,0.9520727019177744,0.9436925924014428
5.526,10.148411057999818,0.4060908422497999,0.4,0.00016965979202993823,1.8692344512466201,0.9925850007409731,0.9387051446967921,0.9520807553641986,0.9437010208701567
5.528,10.154492764267717,0.40619468014696075,0.4,0.0001682087575117689,1.869113822408258,0.9925917870511236,0.9387131497247386,0.9520887321023583,0.9437093727841148
5.53,10.160521800789676,0.4062972705591864,0.4,0.00016673374398392724,1.868994434384587,0.9925985372743744,0.9387210864277711,0.9520966315302084,0.9437176475749992
5.532,10.166497309625177,0.4063986012507159,0.4,0.00016523504657569614,1.8688763277248932,0.9926052513544159,0.9387289543671253,0.9521044530618645,0.9437258446910963
5.534,10.172418443508995,0.40649866021769515,0.4,0.00016371296322041903,1.8687595368920293,0.9926119292457348,0.9387367531191624,0.9521121961273965,0.9437339635970318
5.536,10.178284365951164,0.406597435688999,0.4,0.0001621677946009624,1.8686440905814243,0.992618570913078,0.9387444822750334,0.9521198601726117,0.9437420037734937
5.538,10.184094251334972,0.40669491612701303,0.4,0.00016059984409499202,1.8685300120873027,0.9926251763309166,0.9387521414403476,0.9521274446588416,0.9437499647169623
5.54,10.189847285012979,0.4067910902283792,0.4,0.00015900941772008017,1.8684173197060705,0.9926317454829118,0.9387597302348364,0.9521349490627243,0.9437578459394311
5.542,10.195542663401072,0.406885946924712,0.4,0.00015739682407864026,1.868306027167293,0.9926382783613971,0.9387672482920291,0.9521423728759948,0.9437656469681424
5.544,10.201179594070535,0.4069794753832868,0.4,0.00015576237430270956,1.8681961440832493,0.9926447749668716,0.938774695258935,0.9521497156052781,0.943773367345324
5.546,10.206757295838097,0.4070716650077051,0.4,0.0001541063819985749,1.868087676408669,0.9926512353075172,0.938782070795738,0.9521569767718915,0.9437810066279385
5.548,10.212274998854015,0.40716250543854166,0.4,0.00015242916319125458,1.8679806269029504,0.9926576593987342,0.9387893745755066,0.952164155911655,0.9437885643874427
5.55,10.217731944688161,0.4072519865539714,0.4,0.0001507310362688292,1.8678749955878988,0.9926640472627077,0.9387966062839173,0.952171252574714,0.9437960402095623
5.552,10.223127386414067,0.40734009847038194,0.4,0.00014901232192664044,1.8677707801947774,0.992670398928,0.9388037656190004,0.9521782663253724,0.9438034336940802
5.554,10.228460588690991,0.40742683154297205,0.4,0.00014727334311134908,1.8676679765952464,0.9926767144291707,0.9388108522908982,0.9521851967419372,0.9438107444546391
5.556,10.233730827843955,0.4075121763663351,0.4,0.00014551442496486467,1.8675665792115412,0.9926829938064318,0.9388178660216476,0.9521920434165785,0.9438179721185626
5.558,10.238937391941759,0.40759612377503135,0.4,0.000143735894768138,1.8674665814020117,0.9926892371053293,0.9388248065449797,0.9521988059551998,0.943825116326691
5.56,10.244079580872977,0.40767866484414544,0.4,0.00014193808188483413,1.8673679758188872,0.9926954443764582,0.9388316736061381,0.9522054839773226,0.9438321767332322
5.562,10.249156706419921,0.4077597908898317,0.4,0.00014012131770487748,1.867270754735861,0.9927016156752075,0.938838466961719,0.9522120771159843,0.9438391530056316
5.564,10.254168092330556,0.407839493469844,0.4,0.0001382859355878813,1.8671749103437607,0.9927077510615339,0.9388451863795272,0.9522185850176463,0.9438460448244552
5.566,10.2591130743884,0.40791776438405225,0.4,0.0001364322708064519,1.8670804350132182,0.9927138505997647,0.9388518316384511,0.952225007342116,0.9438528518832873
5.568,10.263991000480374,0.4079945956749411,0.4,0.00013456066048938802,1.8669873215238366,0.9927199143584268,0.9388584025283546,0.9522313437624793,0.9438595738886437
5.57,10.268801230662586,0.4080699796280919,0.4,0.0001326714435647655,1.8668955632599022,0.9927259424101014,0.9388648988499835,0.9522375939650426,0.9438662105598966
5.572,10.273543137224088,0.40814390877264517,0.4,0.0001307649607029224,1.866805154373163,0.9927319348313015,0.9388713204148882,0.9522437576492853,0.943872761629212
5.574,10.27821610474857,0.40821637588174153,0.4,0.0001288415542593351,1.8667160899136317,0.9927378917023713,0.9388776670453572,0.95224983452782,0.9438792268414978
5.576,10.282819530173992,0.4082873739729419,0.4,0.0001269015682174078,1.8666283659297422,0.9927438131074036,0.9388839385743651,0.9522558243263616,0.9438856059543619
5.578,10.28735282285016,0.40835689630862015,0.4,0.0001249453481311669,1.8665419795395002,0.9927496991341752,0.9388901348455275,0.9522617267836998,0.9438918987380769
5.58,10.291815404594237,0.4084249363963323,0.4,0.00012297324106787748,1.8664569289745307,0.9927555498740971,0.9388962557130679,0.9522675416516811,0.9438981049755545
5.582,10.296206709744181,0.408491487989157,0.4,0.00012098559555057273,1.866373213599135,0.9927613654221759,0.9389023010417895,0.9522732686951926,0.9439042244623238
5.584,10.300526185210126,0.4085565450860038,0.4,0.00011898276150052222,1.866290833906616,0.9927671458769879,0.9389082707070561,0.9522789076921503,0.9439102570065159
5.586,10.304773290523668,0.40862010193189396,0.4,0.00011696509017963117,1.8662097914952438,0.9927728913406598,0.9389141645947734,0.9522844584334886,0.94391620242885
5.588,10.308947497885104,0.4086821530182045,0.4,0.00011493293413278931,1.8661300890262917,0.992778601918858,0.9389199826013778,0.9522899207231544,0.9439220605626243
5.59,10.313048292208572,0.40874269308287886,0.4,0.0001128866471301626,1.866051730166588,0.9927842777207803,0.9389257246338253,0.9522952943780989,0.9439278312537063
5.592,10.31707517116513,0.4088017171106028,0.4,0.00011082658410945456,1.8659747195180216,0.9927899188591521,0.9389313906095818,0.9523005792282713,0.9439335143605253
5.594,10.321027645223735,0.40885922033293953,0.4,0.0001087531011181309,1.865899062536371,0.9927955254502248,0.9389369804566139,0.9523057751166105,0.9439391097540635
5.596,10.324905237690167,0.408915198228431,0.4,0.00010666655525562762,1.8658247654417577,0.992801097613773,0.938942494113379,0.9523108818990373,0.9439446173178457
5.598,10.328707484743854,0.40896964652265455,0.4,0.0001045673046155367,1.865751835122915,0.9928066354730913,0.9389479315288131,0.9523158994444433,0.9439500369479282
5.6,10.332433935472615,0.40902256118824387,0.4,0.00010245570822779727,1.865680279037324,0.9928121391549889,0.9389532926623168,0.9523208276346772,0.9439553685528848
5.602,10.336084151905345,0.40907393844486567,0.4,0.00010033212600088715,1.865610105109143,0.9928176087897811,0.9389585774837378,0.9523256663645289,0.9439606120537883
5.604,10.339657709042578,0.40912377475915523,0.4,9.819691866403526e-05,1.8655413216266745,0.9928230445112767,0.9389637859733516,0.9523304155417114,0.943965767384192
5.606,10.343154194885017,0.4091720668446114,0.4,9.605044770944997e-05,1.8654739371409648,0.9928284464567624,0.9389689181218362,0.952335075086837,0.9439708344901034
5.608,10.346573210459947,0.40921881166144713,0.4,9.389307533459219e-05,1.8654079603669396,0.9928338147669804,0.9389739739302446,0.9523396449333916,0.9439758133299573
5.61,10.349914369845596,0.4092640064163988,0.4,9.172516438448752e-05,1.8653434000883153,0.9928391495861016,0.9389789534099706,0.9523441250277046,0.9439807038745824
5.612,10.353177300193396,0.4093076485624924,0.4,8.954707829409945e-05,1.865280265067334,0.9928444510616942,0.9389838565827135,0.9523485153289145,0.943985506107165
5.614,10.3563616417482,0.4093497357987662,0.4,8.735918103075789e-05,1.8652185639602012,0.992849719344685,0.9389886834804355,0.9523528158089323,0.9439902200232074
5.616,10.359467047866403,0.409390266069952,0.4,8.51618370366722e-05,1.865158305238936,0.9928549545893179,0.9389934341453158,0.9523570264523984,0.9439948456304831
5.618,10.362493185032006,0.4094292375661138,0.4,8.295541117152345e-05,1.8650994971201709,0.9928601569531044,0.9389981086296993,0.9523611472566373,0.9439993829489866
5.62,10.365439732870614,0.409466648722245,0.4,8.074026865515716e-05,1.8650421475012886,0.9928653265967705,0.9390027069960446,0.9523651782316098,0.9440038320108798
5.622,10.36830638416137,0.40950249821782225,0.4,7.851677501037068e-05,1.8649862639041364,0.9928704636841992,0.9390072293168619,0.9523691193998577,0.9440081928604346
5.624,10.371092844846833,0.40953678497631973,0.4,7.628529600582444e-05,1.8649318534264205,0.9928755683823666,0.9390116756746527,0.9523729707964499,0.9440124655539712
5.626,10.37379883404081,0.40956950816468296,0.4,7.404619759907117e-05,1.8648789227007634,0.992880640861276,0.9390160461618433,0.9523767324689212,0.944016650159793
5.628,10.37642408403412,0.40960066719276134,0.4,7.1799845879724e-05,1.864827477861295,0.9928856812938875,0.9390203408807155,0.9523804044772111,0.9440207467581192
5.63,10.37896834029834,0.4096302617127018,0.4,6.954660701275689e-05,1.8647775245175509,0.9928906898560449,0.9390245599433343,0.9523839868935978,0.9440247554410137
5.632,10.381431361487488,0.4096582916183039,0.4,6.728684718196695e-05,1.8647290677353643,0.9928956667263986,0.9390287034714738,0.9523874798026315,0.9440286763123106
5.634,10.383812919437702,0.4096847570443358,0.4,6.502093253359063e-05,1.8646821120243768,0.9929006120863282,0.9390327715965398,0.9523908833010631,0.9440325094875391
5.636,10.386112799164854,0.40970965836581275,0.4,6.2749229120096e-05,1.8646366613317156,0.9929055261198619,0.9390367644594914,0.9523941974977735,0.9440362550938454
5.638,10.388330798860183,0.4097329961972397,0.4,6.047210284414273e-05,1.8645927190413583,0.9929104090135967,0.9390406822107596,0.9523974225136984,0.9440399132699114
5.64,10.390466729883887,0.4097547713918149,0.4,5.8189919402738825e-05,1.8645502879786595,0.992915260956614,0.9390445250101673,0.9524005584817542,0.9440434841658755
5.642,10.392520416756721,0.4097749850406019,0.4,5.5903044231586536e-05,1.8645093704194948,0.9929200821404007,0.9390482930268458,0.952403605546761,0.944046967943248
5.644,10.394491697149585,0.40979363847166067,0.4,5.361184244963755e-05,1.864469968103461,0.9929248727587654,0.9390519864391512,0.9524065638653642,0.9440503647748293
5.646,10.396380421871134,0.40981073324914935,0.4,5.131667880384974e-05,1.8644320822505709,0.9929296330077575,0.9390556054345819,0.9524094336059558,0.9440536748446234
5.648,10.398186454853395,0.4098262711723888,0.4,4.901791761417348e-05,1.8643957135808837,0.992934363085588,0.9390591502096943,0.9524122149485963,0.9440568983477557
5.65,10.3999096731354,0.40984025427489523,0.4,4.67159227187592e-05,1.8643608623365309,0.9929390631925493,0.93906262097002,0.952414908084933,0.9440600354903858
5.652,10.401549966844868,0.40985268482337855,0.4,4.4411057419406346e-05,1.8643275283056004,0.992943733530939,0.9390660179299816,0.9524175132181203,0.9440630864896232
5.654,10.403107239177908,0.40986356531670937,0.4,4.210368442724476e-05,1.8642957108473908,0.9929483743049854,0.9390693413128113,0.9524200305627392,0.9440660515734425
5.656,10.40458140637679,0.4098728984848527,0.4,3.979416580867665e-05,1.8642654089185533,0.9929529857207718,0.9390725913504681,0.9524224603447158,0.9440689309805973
5.658,10.405972397705762,0.4098806872877731,0.4,3.7482862931570125e-05,1.8642366210996923,0.99295756798617,0.9390757682835578,0.9524248028012414,0.944071724960537
5.66,10.407280155424935,0.40988693491430195,0.4,3.5170136411723826e-05,1.8642093456220186,0.9929621213107684,0.9390788723612521,0.9524270581806912,0.9440744337733218
5.662,10.408504634762256,0.4098916447809831,0.4,3.2856346059593604e-05,1.8641835803936941,0.9929666459058092,0.9390819038412095,0.9524292267425425,0.9440770576895385
5.664,10.409645803883553,0.4098948205308789,0.4,3.054185082730877e-05,1.864159323025549,0.9929711419841242,0.9390848629894987,0.9524313087572969,0.944079596990219
5.666,10.410703643860694,0.4098964660323548,0.4,2.8227008755968843e-05,1.8641365708558877,0.9929756097600764,0.9390877500805201,0.9524333045063968,0.9440820519667564
5.668,10.41167814863784,0.40989658537782536,0.4,2.5912176923239282e-05,1.8641153209741474,0.992980049449502,0.9390905653969319,0.9524352142821478,0.9440844229208234
5.67,10.412569324995822,0.4098951828824785,0.4,2.3597711391238023e-05,1.8640955702432078,0.9929844612696574,0.9390933092295743,0.9524370383876368,0.9440867101642916
