Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,iEEET1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.986,7.431238858269541,0.3980033354661422,0.4,-1.2112560995992738e-05,1.988554046299953,1.018924143006439,0.9550742923317742,0.9629712517514819,0.957351373825017
7.988,7.43081122778329,0.3980002726871607,0.4,-1.164457626147135e-05,1.988560694339025,1.018923926097944,0.9550740461983289,0.9629710107327846,0.9573511198642531
7.99,7.43040045638267,0.3979975365144083,0.4,-1.1175957855670928e-05,1.9885672873706743,1.0189237146026615,0.9550738151213648,0.9629707878360819,0.9573508835687422
7.992,7.430006565505858,0.39799512649944907,0.4,-1.0706782092672018e-05,1.9885738246316524,1.0189235085366433,0.9550735990952629,0.9629705830467692,0.9573506649269483
7.994,7.429629573845806,0.3979930421432765,0.4,-1.023712516874165e-05,1.9885803053695754,1.0189233079150075,0.9550733981119861,0.9629703963473687,0.9573504639245216
7.996,7.429269497354703,0.39799128289653074,0.4,-9.767063150554328e-06,1.988586728843035,1.0189231127519376,0.9550732121610862,0.9629702277175374,0.9573502805443073
7.998,7.428926349248844,0.3979898481597228,0.4,-9.2966719634665e-06,1.9885930943217065,1.0189229230606833,0.9550730412297133,0.96297007713408,0.9573501147663561
8.0,7.428600140013932,0.39798873728346246,0.4,-8.826027379843465e-06,1.9885994010864547,1.0189227388535602,0.9550728853026226,0.9629699445709597,0.9573499665679354
8.002,7.42829087741079,0.39798794956869865,0.4,-8.355205007443442e-06,1.988605648429437,1.0189225601419494,0.955072744362184,0.9629698299993091,0.957349835923539
8.004,7.427998566481501,0.3979874842669643,0.4,-7.884280277859918e-06,1.988611835654204,1.0189223869362996,0.9550726183883919,0.9629697333874436,0.9573497228048997
8.006,7.4277232095559516,0.3979873405806266,0.4,-7.413328435019602e-06,1.988617962075798,1.0189222192461251,0.9550725073588728,0.9629696547008734,0.9573496271810011
8.008,7.427464806258797,0.39798751766314966,0.4,-6.9424245237469195e-06,1.9886240270208493,1.01892205708001,0.9550724112488972,0.9629695939023158,0.9573495490180898
8.01,7.427223353516835,0.3979880146193568,0.4,-6.471643378384457e-06,1.988630029827669,1.018921900445606,0.9550723300313892,0.9629695509517114,0.9573494882796879
8.012,7.426998845566784,0.3979888305057091,0.4,-6.001059611483709e-06,1.9886359698463396,1.0189217493496356,0.9550722636769374,0.9629695258062352,0.9573494449266068
8.014,7.426791273963473,0.39798996433058054,0.4,-5.530747602557685e-06,1.9886418464388045,1.0189216037978928,0.9550722121538051,0.962969518420312,0.9573494189169609
8.016,7.42660062758843,0.39799141505454877,0.4,-5.060781486900377e-06,1.9886476589789526,1.0189214637952446,0.9550721754279433,0.9629695287456321,0.9573494102061814
8.018,7.426426892658876,0.3979931815906878,0.4,-4.591235144479438e-06,1.988653406852702,1.018921329345633,0.9550721534630017,0.9629695567311657,0.9573494187470307
8.02,7.426270052737113,0.3979952628048685,0.4,-4.122182188895241e-06,1.98865908945808,1.018921200452077,0.9550721462203409,0.9629696023231786,0.9573494444896182
8.022,7.426130088740314,0.3979976575160671,0.4,-3.6536959564121794e-06,1.9886647062053022,1.018921077116674,0.9550721536590453,0.9629696654652486,0.9573494873814147
8.024,7.426006978950703,0.39800036449667686,0.4,-3.185849495067774e-06,1.9886702565168466,1.0189209593406026,0.9550721757359354,0.9629697460982819,0.9573495473672685
8.026,7.425900699026124,0.3980033824728314,0.4,-2.718715553850532e-06,1.9886757398275272,1.0189208471241258,0.9550722124055825,0.9629698441605301,0.9573496243894223
8.028,7.425811222010999,0.3980067101247294,0.4,-2.252366571960665e-06,1.9886811555845643,1.0189207404665919,0.9550722636203209,0.9629699595876072,0.9573497183875282
8.03,7.425738518347679,0.3980103460869696,0.4,-1.7868746681450544e-06,1.988686503247651,1.0189206393664385,0.9550723293302628,0.9629700923125083,0.9573498292986669
8.032,7.425682555888167,0.3980142889488889,0.4,-1.3223116301116223e-06,1.9886917822890195,1.018920543821196,0.9550724094833123,0.962970242265626,0.9573499570573629
8.034,7.425643299906222,0.39801853725490977,0.4,-8.587489040284538e-07,1.9886969921935018,1.0189204538274892,0.9550725040251807,0.9629704093747711,0.9573501015956041
8.036,7.425620713109847,0.39802308950489096,0.4,-3.962575841018695e-07,1.9887021324585905,1.0189203693810416,0.9550726128994006,0.9629705935651892,0.9573502628428583
8.038,7.425614755654142,0.39802794415448695,0.4,6.50915977616338e-08,1.9887072025944947,1.0189202904766794,0.9550727360473428,0.9629707947595826,0.9573504407260935
8.04,7.425625385154539,0.3980330996155109,0.4,5.252282822039208e-07,1.988712202124195,1.0189202171083334,0.9550728734082299,0.962971012878127,0.9573506351697951
8.042,7.425652556700384,0.3980385542563055,0.4,9.840824925832837e-07,1.9887171305834943,1.0189201492690445,0.9550730249191548,0.9629712478384944,0.9573508460959869
8.044,7.425696222868911,0.3980443064021201,0.4,1.4415846450480395e-06,1.9887219875210673,1.0189200869509678,0.9550731905150951,0.9629714995558714,0.9573510734242493
8.046,7.425756333739552,0.3980503543354901,0.4,1.8976655585249667e-06,1.9887267724985063,1.0189200301453751,0.9550733701289315,0.962971767942981,0.9573513170717403
8.048,7.425832836908619,0.3980566962966271,0.4,2.352256464616676e-06,1.9887314850903643,1.0189199788426604,0.9550735636914629,0.9629720529101035,0.9573515769532149
