Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334238120791895,0.40000002555787134,0.4,0.0,1.4351069202266544,0.9999999917469706,0.9919935380858338,0.9999999956670121,0.995984172865126
0.002,34.33423812068441,0.4000000255552263,0.4,-5.970980020994092e-12,1.4351069202266709,0.9999999917470422,0.9919935380858937,0.9999999956670477,0.995984172865173
0.004,34.334238120362,0.4000000255473304,0.4,-1.194016949824514e-11,1.435106920226428,0.9999999917472566,0.9919935380860732,0.9999999956671541,0.9959841728653139
0.006,34.334238119824754,0.40000002553424363,0.4,-1.790634886602748e-11,1.4351069202255953,0.9999999917476137,0.9919935380863713,0.999999995667331,0.9959841728655481
0.008,34.33423811907279,0.40000002551602415,0.4,-2.3868312412625115e-11,1.4351069202239433,0.999999991748112,0.9919935380867871,0.999999995667578,0.9959841728658749
0.01,34.3342381181063,0.4000000254927293,0.4,-2.982486808578328e-11,1.4351069202213136,0.9999999917487513,0.9919935380873203,0.9999999956678945,0.9959841728662937
0.012,34.33423811692548,0.4000000254644161,0.4,-3.5774837321938174e-11,1.4351069202175932,0.9999999917495306,0.9919935380879695,0.9999999956682802,0.9959841728668042
0.014,34.3342381155306,0.4000000254311406,0.4,-4.171705482356707e-11,1.4351069202126996,0.9999999917504492,0.9919935380887341,0.9999999956687344,0.995984172867405
0.016,34.33423811392196,0.4000000253929581,0.4,-4.765036842084279e-11,1.4351069202065727,0.9999999917515063,0.9919935380896134,0.999999995669257,0.9959841728680963
0.018,34.334238112099904,0.40000002534992346,0.4,-5.357363889870175e-11,1.4351069201991649,0.999999991752701,0.9919935380906063,0.9999999956698472,0.9959841728688769
0.02,34.334238110064796,0.4000000253020905,0.4,-5.948573992118627e-11,1.4351069201904398,0.9999999917540326,0.9919935380917121,0.9999999956705047,0.9959841728697463
0.022,34.33423810781707,0.40000002524951295,0.4,-6.53855576790957e-11,1.4351069201803683,0.9999999917555001,0.9919935380929296,0.9999999956712287,0.9959841728707036
0.024,34.334238105357194,0.4000000251922429,0.4,-7.127199099590729e-11,1.4351069201689235,0.9999999917571022,0.9919935380942584,0.999999995672019,0.9959841728717487
0.026,34.33423810268566,0.4000000251303337,0.4,-7.714395106837824e-11,1.4351069201560842,0.9999999917588384,0.9919935380956971,0.9999999956728749,0.9959841728728802
0.028,34.33423809980302,0.40000002506383703,0.4,-8.300036133468515e-11,1.43510692014183,0.9999999917607073,0.9919935380972449,0.9999999956737959,0.9959841728740977
0.03,34.33423809670984,0.400000024992804,0.4,-8.8840157467939e-11,1.4351069201261433,0.9999999917627082,0.991993538098901,0.9999999956747816,0.9959841728754003
0.032,34.33423809340674,0.40000002491728553,0.4,-9.466228722703145e-11,1.4351069201090063,0.9999999917648394,0.9919935381006642,0.9999999956758311,0.9959841728767876
0.034,34.33423808989438,0.4000000248373328,0.4,-1.0046571021236838e-10,1.4351069200904047,0.9999999917671007,0.9919935381025337,0.9999999956769442,0.9959841728782584
0.036,34.33423808617344,0.40000002475299606,0.4,-1.0624939805177178e-10,1.4351069200703226,0.9999999917694904,0.9919935381045084,0.99999999567812,0.9959841728798122
0.038,34.33423808224467,0.4000000246643246,0.4,-1.1201233406758581e-10,1.4351069200487465,0.9999999917720077,0.9919935381065873,0.9999999956793582,0.9959841728814481
0.04,34.33423807810882,0.4000000245713683,0.4,-1.1775351338692083e-10,1.4351069200256623,0.999999991774651,0.9919935381087692,0.9999999956806578,0.9959841728831653
0.042,34.33423807376669,0.4000000244741768,0.4,-1.234719426995487e-10,1.435106920001057,0.9999999917774194,0.9919935381110536,0.9999999956820186,0.9959841728849631
0.044,34.33423806921912,0.40000002437279825,0.4,-1.2916664032059063e-10,1.4351069199749191,0.9999999917803115,0.9919935381134389,0.9999999956834398,0.9959841728868405
0.046,34.33423806446699,0.40000002426728243,0.4,-1.3483663602839356e-10,1.435106919947236,0.9999999917833261,0.9919935381159243,0.9999999956849207,0.9959841728887968
0.048,34.33423805951119,0.40000002415767744,0.4,-1.4048097112289457e-10,1.4351069199179967,0.9999999917864622,0.9919935381185087,0.9999999956864609,0.9959841728908313
0.05,34.334238054352674,0.4000000240440314,0.4,-1.460986982699822e-10,1.4351069198871904,0.9999999917897182,0.991993538121191,0.9999999956880595,0.9959841728929427
0.052,34.33423804899242,0.40000002392639267,0.4,-1.5168888147987988e-10,1.4351069198548059,0.9999999917930926,0.9919935381239698,0.9999999956897161,0.9959841728951305
0.054,34.33423804343142,0.40000002380480904,0.4,-1.572505960941762e-10,1.4351069198208346,0.9999999917965845,0.9919935381268444,0.9999999956914298,0.9959841728973936
0.056,34.33423803767073,0.4000000236793285,0.4,-1.6278292876204664e-10,1.435106919785267,0.9999999918001925,0.9919935381298137,0.9999999956932001,0.9959841728997314
0.058,34.334238031711415,0.4000000235499985,0.4,-1.682849772478668e-10,1.4351069197480935,0.999999991803915,0.9919935381328764,0.9999999956950261,0.9959841729021428
0.06,34.33423802555458,0.40000002341686614,0.4,-1.7375585060198268e-10,1.4351069197093056,0.9999999918077505,0.9919935381360313,0.9999999956969075,0.9959841729046272
0.062,34.33423801920137,0.4000000232799795,0.4,-1.7919466897048568e-10,1.4351069196688961,0.9999999918116979,0.9919935381392773,0.9999999956988431,0.9959841729071831
0.064,34.33423801265296,0.40000002313938576,0.4,-1.8460056369248662e-10,1.4351069196268573,0.9999999918157555,0.991993538142613,0.9999999957008326,0.99598417290981
0.066,34.33423800591054,0.40000002299513165,0.4,-1.899726772287814e-10,1.4351069195831823,0.9999999918199219,0.9919935381460377,0.9999999957028751,0.9959841729125067
0.068,34.33423799897535,0.400000022847265,0.4,-1.9531016308619338e-10,1.435106919537864,0.9999999918241959,0.9919935381495499,0.99999999570497,0.9959841729152726
0.07,34.334237991848646,0.40000002269583174,0.4,-2.0061218593430224e-10,1.4351069194908963,0.9999999918285754,0.9919935381531485,0.9999999957071166,0.9959841729181067
