Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.845947596514186,0.3999995954270287,0.399999529123306,0.0,1.3274745449266598,0.9999999710638118,0.9919935285540901,0.9999999886090718,0.9959841644626977
0.002,28.845947596215836,0.3999995954196827,0.399999529123306,-1.657448925560893e-11,1.3274745449268899,0.9999999710640096,0.991993528554256,0.9999999886091702,0.9959841644628279
0.004,28.845947595320887,0.39999959539774155,0.399999529123306,-3.314365736029057e-11,1.3274745449275802,0.9999999710645987,0.9919935285547503,0.9999999886094632,0.9959841644632159
0.006,28.8459475938296,0.39999959536135216,0.399999529123306,-4.9703874611025285e-11,1.3274745449287082,0.9999999710655717,0.9919935285555675,0.9999999886099473,0.9959841644638574
0.007631629943847657,28.845947592126794,0.39999959531999524,0.399999529123306,-6.320371434431609e-11,1.327474544929945,0.9999999710666722,0.9919935285564935,0.9999999886104957,0.9959841644645839
0.007631629943847657,28.845947592126794,0.3999995953199952,0.399999529123306,-6.320371434431609e-11,1.327474544929945,0.9999999710666722,0.9919935285564935,0.9999999886104957,0.9959841644645839
0.008,28.845947591697612,0.39999959530959206,0.399999529123306,-6.625039426492436e-11,1.3274745449302492,0.9999999710669486,0.9919935285567261,0.9999999886106334,0.9959841644647665
0.01,28.84594758901498,0.3999995952447479,0.399999529123306,-8.278170204362059e-11,1.3274745449320748,0.9999999710686662,0.9919935285581729,0.9999999886114899,0.9959841644659018
0.012,28.845947585737562,0.3999995951658849,0.399999529123306,-9.929339130948403e-11,1.3274745449341236,0.9999999710707456,0.9919935285599266,0.9999999886125277,0.9959841644672773
0.014,28.845947581866135,0.39999959507314414,0.399999529123306,-1.157819771557071e-10,1.3274745449362866,0.9999999710731786,0.9919935285619821,0.9999999886137433,0.9959841644688893
0.016,28.845947577401585,0.3999995949666661,0.399999529123306,-1.3224401013323008e-10,1.3274745449384417,0.9999999710759581,0.9919935285643333,0.9999999886151334,0.9959841644707328
0.018,28.84594757234493,0.3999995948465896,0.399999529123306,-1.4867607621142068e-10,1.327474544940456,0.9999999710790762,0.9919935285669754,0.9999999886166947,0.995984164472804
0.02,28.845947566697305,0.39999959471305285,0.399999529123306,-1.6507479614200885e-10,1.3274745449421865,0.9999999710825251,0.9919935285699024,0.9999999886184235,0.995984164475098
0.022,28.845947560459983,0.399999594566194,0.399999529123306,-1.8143682569732199e-10,1.3274745449434848,0.9999999710862976,0.991993528573109,0.9999999886203165,0.9959841644776103
0.024,28.845947553634335,0.39999959440614974,0.399999529123306,-1.977588553233404e-10,1.3274745449441978,0.9999999710903852,0.9919935285765894,0.9999999886223702,0.9959841644803367
0.026,28.84594754622186,0.39999959423305675,0.399999529123306,-2.1403760989914882e-10,1.3274745449441687,0.9999999710947807,0.9919935285803387,0.9999999886245814,0.9959841644832726
0.028,28.845947538224184,0.3999995940470509,0.399999529123306,-2.3026984868836436e-10,1.3274745449432401,0.9999999710994759,0.9919935285843505,0.9999999886269462,0.9959841644864138
0.03,28.84594752964303,0.39999959384826694,0.399999529123306,-2.46452365228114e-10,1.327474544941254,0.9999999711044634,0.9919935285886201,0.9999999886294614,0.9959841644897557
0.032,28.845947520480244,0.3999995936368407,0.399999529123306,-2.6258198703760113e-10,1.327474544938055,0.9999999711097349,0.9919935285931417,0.9999999886321235,0.9959841644932936
0.034,28.8459475107378,0.39999959341290614,0.399999529123306,-2.786555757545705e-10,1.327474544933489,0.9999999711152832,0.9919935285979095,0.999999988634929,0.9959841644970232
0.036,28.845947500417758,0.3999995931765979,0.399999529123306,-2.946700269063247e-10,1.3274745449274066,0.9999999711211001,0.9919935286029182,0.9999999886378745,0.9959841645009403
0.038,28.845947489522306,0.39999959292804943,0.399999529123306,-3.1062226983802226e-10,1.3274745449196628,0.9999999711271778,0.9919935286081623,0.9999999886409565,0.99598416450504
0.04,28.84594747805374,0.3999995926673948,0.399999529123306,-3.265092675738997e-10,1.3274745449101168,0.9999999711335088,0.9919935286136362,0.9999999886441717,0.9959841645093184
0.042,28.84594746601446,0.3999995923947675,0.399999529123306,-3.423280169676142e-10,1.3274745448986356,0.9999999711400852,0.9919935286193345,0.9999999886475165,0.9959841645137706
0.044,28.84594745340698,0.39999959211030073,0.399999529123306,-3.5807554854496226e-10,1.327474544885091,0.9999999711468993,0.9919935286252517,0.9999999886509875,0.9959841645183922
0.046,28.84594744023391,0.3999995918141279,0.399999529123306,-3.7374892629108676e-10,1.3274745448693637,0.9999999711539435,0.9919935286313826,0.9999999886545815,0.9959841645231793
0.048,28.84594742649798,0.3999995915063821,0.399999529123306,-3.8934524792340675e-10,1.3274745448513405,0.9999999711612098,0.9919935286377211,0.9999999886582945,0.9959841645281267
0.05,28.84594741220201,0.3999995911871967,0.399999529123306,-4.048616447204581e-10,1.3274745448309166,0.9999999711686911,0.9919935286442623,0.999999988662124,0.9959841645332309
0.052,28.845947397348933,0.39999959085670483,0.399999529123306,-4.202952815496492e-10,1.3274745448079956,0.9999999711763794,0.9919935286510008,0.999999988666066,0.9959841645384873
0.054,28.84594738194178,0.3999995905150397,0.399999529123306,-4.3564335691352013e-10,1.3274745447824896,0.9999999711842673,0.9919935286579312,0.9999999886701173,0.9959841645438912
0.056,28.845947365983676,0.3999995901623347,0.399999529123306,-4.5090310280171287e-10,1.3274745447543181,0.9999999711923473,0.9919935286650479,0.9999999886742745,0.9959841645494384
0.058,28.84594734947785,0.39999958979872297,0.399999529123306,-4.660717848991383e-10,1.3274745447234113,0.9999999712006122,0.9919935286723461,0.9999999886785347,0.9959841645551251
0.06,28.845947332427635,0.39999958942433833,0.399999529123306,-4.811467024171295e-10,1.3274745446897058,0.9999999712090544,0.99199352867982,0.999999988682894,0.9959841645609464
0.062,28.845947314836444,0.3999995890393138,0.399999529123306,-4.961251883686852e-10,1.3274745446531488,0.9999999712176664,0.9919935286874648,0.9999999886873494,0.9959841645668986
0.064,28.845947296707806,0.39999958864378377,0.399999529123306,-5.110046093047906e-10,1.3274745446136953,0.9999999712264414,0.991993528695275,0.9999999886918978,0.9959841645729773
0.066,28.84594727804533,0.39999958823788206,0.399999529123306,-5.257823656104782e-10,1.3274745445713088,0.9999999712353715,0.9919935287032455,0.9999999886965358,0.9959841645791784
0.068,28.84594725885272,0.3999995878217429,0.399999529123306,-5.404558913868657e-10,1.3274745445259621,0.9999999712444504,0.9919935287113713,0.9999999887012603,0.9959841645854977
0.07,28.845947239133785,0.39999958739550057,0.399999529123306,-5.550226546523842e-10,1.327474544477636,0.9999999712536701,0.9919935287196469,0.9999999887060679,0.995984164591931
0.072,28.845947218892405,0.39999958695929,0.399999529123306,-5.694801572548855e-10,1.327474544426319,0.9999999712630242,0.9919935287280677,0.9999999887109556,0.9959841645984743
0.074,28.845947198132556,0.39999958651324574,0.399999529123306,-5.838259350127333e-10,1.327474544372009,0.9999999712725054,0.9919935287366284,0.9999999887159204,0.9959841646051236
0.076,28.84594717685831,0.3999995860575031,0.399999529123306,-5.980575576870471e-10,1.327474544314711,0.9999999712821073,0.9919935287453241,0.9999999887209591,0.9959841646118749
0.078,28.845947155073812,0.3999995855921975,0.399999529123306,-6.121726291459227e-10,1.3274745442544376,0.9999999712918227,0.9919935287541498,0.9999999887260685,0.9959841646187242
0.08,28.84594713278331,0.3999995851174649,0.399999529123306,-6.261687874338216e-10,1.327474544191209,0.9999999713016448,0.9919935287631007,0.9999999887312458,0.9959841646256675
