Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.484,28.522314736497,0.3933568968022864,0.39957851856499127,-3.833517891814344e-05,0.39957851856499127,0.9999648941840867,0.9920145685859572,1.000002595243216,0.9959942536038683
8.486,28.520962752598816,0.3933478176063977,0.39958065959925826,-3.677459611648228e-05,0.39958065959925826,0.9999630491908995,0.9920135241856348,1.0000018835665343,0.9959933732302552
8.488,28.519666995700128,0.3933398455098866,0.39958279804207864,-3.521150300238285e-05,0.39958279804207864,0.9999611972073764,0.9920124688439471,1.000001166576459,0.9959924850282346
8.49,28.518427551175684,0.3933329791340355,0.3995849335494497,-3.3646177111303816e-05,0.3995849335494497,0.9999593386043542,0.9920114027918363,1.000000444424824,0.9959915891888641
8.492,28.5172444944144,0.393327216911473,0.3995870657787213,-3.207889566855358e-05,0.3995870657787213,0.9999574737523378,0.9920103262609754,0.9999997172635398,0.9959906859035451
8.494,28.516117890831374,0.39332255708694064,0.39958919438865137,-3.0509935541905445e-05,0.39958919438865137,0.9999556030214358,0.9920092394837245,0.9999989852445651,0.9959897753639864
8.496,28.515047795881607,0.39331899771808937,0.39959131903946243,-2.89395731943986e-05,0.39959131903946243,0.9999537267812953,0.9920081426930906,0.9999982485198821,0.9959888577621717
8.498,28.51403425507542,0.3933165366763081,0.39959343939289615,-2.7368084637347396e-05,0.39959343939289615,0.9999518454010371,0.9920070361226833,0.9999975072414692,0.9959879332903254
8.5,28.513077303995562,0.39331517164758084,0.39959555511226885,-2.5795745383530932e-05,0.39959555511226885,0.9999499592491939,0.9920059200066742,0.9999967615612753,0.9959870021408784
8.502,28.512176968315988,0.39331490013337495,0.39959766586252565,-2.4222830400613038e-05,0.39959766586252565,0.9999480686936468,0.9920047945797558,0.999996011631195,0.9959860645064363
8.504,28.511333263822337,0.39331571945155874,0.39959977131029467,-2.2649614064764928e-05,0.39959977131029467,0.9999461741015622,0.9920036600770998,0.9999952576030429,0.9959851205797454
8.506,28.51054619643404,0.3933176267373494,0.39960187112394085,-2.1076370114512402e-05,0.39960187112394085,0.9999442758393322,0.9920025167343177,0.9999944996285294,0.9959841705536612
8.508,28.5098157622281,0.3933206189442899,0.39960396497361916,-1.950337160482856e-05,0.39960396497361916,0.999942374272513,0.9920013647874197,0.999993737859236,0.995983214621117
8.51,28.509141947464546,0.39332469284525307,0.39960605253132697,-1.7930890861444827e-05,0.39960605253132697,0.9999404697657639,0.9920002044727751,0.9999929724465915,0.9959822529750916
8.512,28.508524728613473,0.3933298450334785,0.3996081334709571,-1.635919943542935e-05,0.3996081334709571,0.9999385626827902,0.9919990360270743,0.9999922035418486,0.9959812858085779
8.514,28.50796407238377,0.39333607192363423,0.3996102074683491,-1.478856805800517e-05,0.3996102074683491,0.9999366533862822,0.9919978596872877,0.9999914312960609,0.9959803133145543
8.516,28.50745993575343,0.3933433697529083,0.39961227420134093,-1.3219266595629299e-05,0.39961227420134093,0.9999347422378577,0.991996675690629,0.9999906558600592,0.9959793356859516
8.518,28.507012266001492,0.3933517345821279,0.39961433334982,-1.165156400535242e-05,0.39961433334982,0.9999328295980059,0.9919954842745162,0.9999898773844301,0.9959783531156257
8.52,28.506621000741568,0.3933611622969074,0.3996163845957733,-1.00857282904411e-05,0.3996163845957733,0.9999309158260294,0.9919942856765346,0.9999890960194929,0.9959773657963262
