Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477881,0.4,0.0,0.4,0.9999999913060577,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.9664529118574077e-19,0.4,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.9664529118574077e-19,0.4,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
0.002,34.40369990053213,0.40000002524517475,0.4000000000001228,-5.898526937741478e-12,0.4000000000001228,0.9999999913061284,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.40369990021364,0.4000000252373747,0.4000000000004902,-1.1795227757479172e-11,0.4000000000004902,0.9999999913063404,0.9919935378251503,0.9999999954928763,0.9959841726476615
0.006,34.40369989968291,0.40000002522444644,0.40000000000110103,-1.7688840702418504e-11,0.40000000000110103,0.9999999913066928,0.9919935378254447,0.9999999954930511,0.9959841726478927
0.008,34.40369989894009,0.4000000252064484,0.40000000000195424,-2.357811793678568e-11,0.40000000000195424,0.9999999913071854,0.9919935378258556,0.999999995493295,0.9959841726482156
0.01,34.403699897985355,0.40000002518343725,0.40000000000304853,-2.946182557392915e-11,0.40000000000304853,0.9999999913078171,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.40369989681892,0.4000000251554696,0.40000000000438257,-3.53387433607188e-11,0.40000000000438257,0.9999999913085875,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.403699895441065,0.400000025122601,0.40000000000595504,-4.1207664567301856e-11,0.40000000000595504,0.9999999913094956,0.9919935378277799,0.999999995494438,0.9959841726497277
0.016,34.403699893852085,0.40000002508488663,0.4000000000077646,-4.7067395833625804e-11,0.4000000000077646,0.9999999913105411,0.9919935378286491,0.9999999954949546,0.9959841726504112
0.018,34.40369989205233,0.4000000250423812,0.4000000000098097,-5.291675705270931e-11,0.4000000000098097,0.9999999913117229,0.9919935378296307,0.9999999954955382,0.9959841726511829
0.02,34.40369989004221,0.40000002499513804,0.40000000001208896,-5.875458128201463e-11,0.40000000001208896,0.9999999913130404,0.9919935378307243,0.9999999954961885,0.9959841726520428
