Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.264,17.549625819607247,0.388068005104416,0.3981517283749081,0.003653711536071738,0.3981517283749081,1.0189242726310859,1.0033439498256211,1.0075368309137196,1.0054233808218138
4.266,17.681191917952816,0.3901103262406974,0.39816702818325134,0.0036554395160202633,0.39816702818325134,1.0188975318586773,1.0033170856054432,1.0075229077568728,1.0054035754500208
4.268,17.812811947348887,0.3921524124401451,0.3981822245424665,0.003656707717397754,0.3981822245424665,1.0188703640743764,1.0032897214145466,1.0075085692576065,1.0053833020826053
4.27,17.944469357377123,0.39419400973222357,0.39819730637218376,0.0036575162388411413,0.39819730637218376,1.018842767973675,1.0032618578392478,1.0074938153430801,1.0053625609070078
4.272,18.07614760216206,0.396234864044111,0.39821226280080335,0.0036578652341025955,0.39821226280080335,1.0188147423967358,1.0032334956725513,1.0074786461180092,1.0053413523077772
4.274,18.20783014235614,0.3982747212267525,0.3982270831619242,0.0036577549121116367,0.3982270831619242,1.0187862863310986,1.0032046359157396,1.0074630618657816,1.0053196768679338
4.276,18.339500447127495,0.4003133270813678,0.39824175699093806,0.0036571855370304824,0.39824175699093806,1.0187573989143246,1.0031752797798734,1.0074470630495036,1.005297535370249
4.278,18.47114199614894,0.4023504273863762,0.39825627402177566,0.003656157428302565,0.39825627402177566,1.018728079436589,1.0031454286872041,1.0074306503129644,1.0052749287984382
4.28,18.602738281589033,0.40438576792473924,0.39827062418380316,0.003654670960694165,0.39827062418380316,1.0186983273432078,1.003115084272498,1.0074138244815276,1.005251858338272
4.282,18.734272810104073,0.406419094511697,0.39828479759885965,0.003652726564329099,0.39828479759885965,1.0186681422371098,1.0030842483842664,1.0073965865629426,1.0052283253785947
4.284,18.86572910483185,0.4084501530228984,0.39829878457842677,0.0036503247247164014,0.39829878457842677,1.0186375238812428,1.0030529230859044,1.0073789377480782,1.0052043315122625
4.286,18.99709070738568,0.410478689422896,0.3983125756209276,0.0036474659827709544,0.3983125756209276,1.0186064722009167,1.0030211106567368,1.0073608794115745,1.0051798785369852
4.288,19.128341179849397,0.41250444979400974,0.3983261614091459,0.0036441509348269993,0.3983261614091459,1.0185749872860812,1.0029888135929685,1.007342413112416,1.0051549684560832
4.29,19.259464106772334,0.4145271803655319,0.3983395328077613,0.0036403802326444917,0.3983395328077613,1.0185430693935336,1.0029560346085344,1.0073235405944203,1.005129603479148
4.292,19.390443097165033,0.41654662754328664,0.3983526808609936,0.0036361545834082253,0.3983526808609936,1.0185107189490583,1.0029227766358573,1.007304263786645,1.0051037860226155
4.294,19.52126178649415,0.4185625379395101,0.3983655967903522,0.0036314747497197004,0.3983655967903522,1.0184779365494931,1.0028890428264992,1.007284584803707,1.0050775187102365
4.296,19.651903838677352,0.4205746584030548,0.398378271992484,0.0036263415495816644,0.398378271992484,1.0184447229647182,1.0028548365517145,1.0072645059460212,1.0050508043734596
4.298,19.782352948077104,0.4225827360499036,0.39839069803711497,0.0036207558563752986,0.39839069803711497,1.0184110791395706,1.0028201614028998,1.0072440296999465,1.005023646051711
4.3,19.912592841494153,0.42458651829399446,0.3984028666650829,0.003614718598829966,0.3984028666650829,1.0183770061956758,1.002785021191936,1.0072231587378486,1.0049960469925778
4.302,20.04260728015914,0.4265857528783296,0.3984147697864531,0.0036082307609855173,0.3984147697864531,1.018342505433199,1.0027494199514253,1.0072018959180675,1.004968010651889
4.304,20.17238006172314,0.4285801879063763,0.3984263994787155,0.0036012933821470776,0.3984263994787155,1.0183075783325066,1.00271336193482,1.007180244284802,1.0049395406936983
4.306,20.30189502224602,0.4305695718737385,0.3984377479850589,0.003593907556832293,0.3984377479850589,1.018272226555746,1.0026768516164386,1.007158207067896,1.0049106409901591
4.308,20.43113603818339,0.43255365370010385,0.3984488077127164,0.0035860744347109507,0.3984488077127164,1.0182364519483258,1.0026398936913732,1.0071357876825349,1.004881315621298
4.31,20.560087028370646,0.43453218276144306,0.39845957123138037,0.00357779522053699,0.39845957123138037,1.01820025654031,1.002602493075279,1.0071129897288469,1.0048515688746793
4.312,20.688731956004776,0.4365049089224626,0.39847003127168296,0.00356907117407281,0.39847003127168296,1.0181636425477119,1.0025646549040528,1.0070898169914113,1.004821405244968
4.314,20.817054830622958,0.4384715825692934,0.3984801807237365,0.0035599036100058775,0.3984801807237365,1.0181266123736867,1.002526384533391,1.0070662734386675,1.004790829433375
4.316,20.94503971007857,0.44043195464242235,0.39849001263573447,0.0035502938978575365,0.39849001263573447,1.0180891686096267,1.00248768753823,1.0070423632222278,1.004759846346998
4.318,21.07267070251326,0.4423857766698365,0.398499520212607,0.003540243461884054,0.398499520212607,1.0180513140361478,1.0024485697120684,1.0070180906760948,1.0047284610980523
4.32,21.199931968325583,0.44433280080038623,0.39850869681472667,0.003529753780969808,0.39850869681472667,1.0180130516239696,1.0024090370661625,1.0069934603157744,1.0046966790029819
4.32197449036315,21.325189444933038,0.4462480358080836,0.39851742320846106,0.003518965765419275,0.39851742320846106,1.0179748764299825,1.002369605925217,1.0069687964019698,1.004664916785992
4.32197449036315,21.325189444933038,0.44624803580898703,0.3985174232084653,0.003518965765419275,0.3985174232084653,1.0179748764299645,1.0023696059251983,1.0069687964019582,1.004664916785977
4.322,21.326805228003234,0.4462727344775595,0.3985175337983721,0.0035188236393441014,0.3985175337983721,1.017974380708312,1.002369093938864,1.006968475540962,1.0046645039819677
4.324,21.453279641825677,0.44820541987167944,0.39852602910891544,0.003507460133405051,0.39852602910891544,1.0179353126033694,1.002328750760827,1.0069431439579986,1.004631945128473
4.326,21.57933714376434,0.4501305679377144,0.39853417444722283,0.0034956621462069654,0.39853417444722283,1.0178958466966306,1.0022880120797018,1.0069174691770473,1.0045990065816446
4.328,21.70496212286265,0.4520479336402035,0.39854196378345463,0.0034834313739078087,0.39854196378345463,1.017855986727766,1.00224688476849,1.006891456429566,1.004565694464707
4.33,21.83013903019758,0.4539572727347859,0.3985493912374387,0.0034707695666420873,0.3985493912374387,1.0178157366290723,1.0022053759119658,1.006865111122508,1.004532015098878
4.332,21.95485238082038,0.4558583418025939,0.39855645107763443,0.0034576785283661955,0.39855645107763443,1.0177751005256688,1.0021634928051273,1.0068384388368345,1.0044979750017913
4.334,22.079086755691048,0.45775089828478394,0.3985631377201307,0.0034441601166957823,0.3985631377201307,1.0177340827355619,1.0021212429515107,1.0068114453259147,1.0044635808858
4.336,22.202826803607113,0.45963470051721395,0.39856944572767866,0.003430216242735026,0.39856944572767866,1.0176926877695849,1.0020786340613783,1.0067841365138264,1.0044288396561594
4.338,22.326057243125813,0.4615095077652418,0.39857536980875113,0.003415848870897862,0.39857536980875113,1.0176509203312047,1.0020356740497671,1.0067565184935479,1.0043937584090863
4.34,22.44876286448024,0.4633750802586496,0.398580904816634,0.00340106001872105,0.398580904816634,1.0176087853161968,1.0019923710344094,1.0067285975250437,1.0043583444296993
4.342,22.570928531488047,0.46523117922666146,0.3985860457485421,0.0033858517566691814,0.3985860457485421,1.0175662878121852,1.0019487333335144,1.0067003800332457,1.0043226051898317
4.344,22.69253918345334,0.46707756693306196,0.39859078774476003,0.0033702262079315162,0.39859078774476003,1.0175234330980456,1.0019047694634187,1.0066718726059238,1.004286548345729
4.346,22.813579837060757,0.468914006711388,0.3985951260878078,0.003354185548210712,0.3985951260878078,1.0174802266431706,1.0018604881360984,1.006643081991456,1.0042501817356146
4.348,22.934035588262358,0.4707402630001998,0.3985990562016246,0.003337732005503326,0.3985990562016246,1.0174366741065952,1.0018158982565468,1.0066140150964848,1.004213513377139
4.35,23.053891614155905,0.47255610137839804,0.39860257365077695,0.0033208678598722163,0.39860257365077695,1.017392781335981,1.001771008920016,1.0065846789834718,1.0041765514647023
4.352,23.173133174855163,0.474361288600593,0.39860567413968057,0.00330359544321073,0.39860567413968057,1.017348554366457,1.0017258294091236,1.0065550808681452,1.0041393043666544
4.354,23.291745615351182,0.4761555926325,0.398608353511844,0.003285917138998759,0.398608353511844,1.0173039994193191,1.0016803691908207,1.0065252281168384,1.0041017806223724
4.356,23.409714367365243,0.4779387826863614,0.3986106077491234,0.0032678353820505372,0.3986106077491234,1.0172591229005803,1.0016346379132268,1.0064951282437253,1.004063988939215
4.358,23.52702495119201,0.4797106292563711,0.39861243297099563,0.0032493526582543435,0.39861243297099563,1.0172139313993802,1.0015886454023273,1.00646478890795,1.0040259381893524
4.36,23.643662977533495,0.48147090415409516,0.3986138254338421,0.003230471504303978,0.3986138254338421,1.0171684316862442,1.0015424016585361,1.0064342179106498,1.0039876374064787
4.362,23.759614149322893,0.48321938054387176,0.3986147815302453,0.0032111945074221253,0.3986147815302453,1.017122630711195,1.0014959168531246,1.006403423191873,1.0039490957823975
4.364,23.87486426353883,0.48495583297818873,0.3986152977882961,0.0031915243050754756,0.3986152977882961,1.0170765356017208,1.0014492013245133,1.0063724128273999,1.0039103226634916
4.366,23.98939921300869,0.4866800374330078,0.3986153708709112,0.0031714635846817802,0.3986153708709112,1.0170301536605884,1.0014022655744343,1.0063411950254502,1.0038713275470685
4.368,24.10320498820156,0.4883917713430404,0.39861499757515956,0.0031510150833087293,0.39861499757515956,1.0169834923635135,1.0013551202639577,1.006309778123298,1.0038321200775906
4.37,24.216267679009892,0.4900908136369481,0.39861417483159484,0.0031301815873647637,0.39861417483159484,1.0169365593566808,1.0013077762093885,1.0062781705837807,1.0037927100427857
4.372,24.328573476520372,0.4917769447724669,0.39861289970359665,0.0031089659322817045,0.39861289970359665,1.0168893624541124,1.001260244378031,1.0062463809917084,1.0037531073696389
4.374,24.440108674772734,0.49344994677143617,0.3986111693867171,0.003087371002189398,0.3986111693867171,1.0168419096348926,1.0012125358838273,1.006214418050178,1.003713322120274
4.376,24.550859672507016,0.49510960325471703,0.39860898120803134,0.003065399729582261,0.39860898120803134,1.0167942090402424,1.001164661982864,1.006182290576786,1.003673364487716
4.378,24.660812974898352,0.4967556994769904,0.3986063326254946,0.003043055094977858,0.3986063326254946,1.0167462689704458,1.0011166340687572,1.0061500074997476,1.0036332447915426
4.38,24.76995519527985,0.4983880223614304,0.39860322122729974,0.0030203401265673996,0.39860322122729974,1.0166980978816325,1.0010684636679084,1.0061175778539209,1.0035929734734266
