Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.45,32.80763295673945,0.402537538849912,0.4,-1.753900967518137e-05,-0.0010015397883125013,1.0116226310156626,0.9989079090214991,1.0046089319108609,1.0017457778520054
8.452,32.80698694932842,0.4025143462976757,0.4,-1.8126647561523063e-05,-0.000990390734192808,1.011621745153006,0.9989075278490379,1.0046086398117724,1.0017454354402493
8.454,32.80631992788002,0.4024908187509561,0.4,-1.870877638462295e-05,-0.0009791117350988945,1.0116208665540203,0.9989071530999671,1.0046083514273096,1.0017450980115374
8.456,32.8056320991365,0.40246696106007546,0.4,-1.92853227671197e-05,-0.0009677050219140844,1.011619995038632,0.9989067846347917,1.0046080666721149,1.0017447654546143
8.458,32.804923672915194,0.4024427781161921,0.4,-1.9856214712867844e-05,-0.0009561728396866743,1.0116191304257576,0.9989064223131631,1.00460778546033,1.0017444376575595
8.46,32.80419486208533,0.40241827485063825,0.4,-2.042138162515594e-05,-0.0009445174473035802,1.0116182725333327,0.9989060659939021,1.004607507705615,1.0017441145078054
8.462,32.803445882544835,0.402393456234249,0.4,-2.0980754324929318e-05,-0.000932741117163868,1.011617421178338,0.9989057155350206,1.004607233321158,1.0017437958921558
8.464,32.80267695319704,0.40236832727669647,0.4,-2.15342650690128e-05,-0.0009208461348523874,1.0116165761768265,0.9989053707937414,1.0046069622196907,1.0017434816968005
8.466,32.80188829592759,0.4023428930258238,0.4,-2.2081847568328406e-05,-0.0009088347988133027,1.0116157373439516,0.9989050316265224,1.0046066943135024,1.0017431718073375
8.468,32.80108013558114,0.4023171585669762,0.4,-2.26234370061205e-05,-0.0008967094200237145,1.0116149044939917,0.9989046978890757,1.0046064295144521,1.0017428661087857
8.47,32.80025269993817,0.4022911290223335,0.4,-2.31589700561736e-05,-0.0008844723216672266,1.0116140774403795,0.9989043694363898,1.0046061677339824,1.0017425644856042
8.472,32.79940621969176,0.4022648095502442,0.4,-2.368838490103507e-05,-0.0008721258388075456,1.0116132559957265,0.9989040461227524,1.004605908883135,1.0017422668217113
8.474,32.79854092842444,0.4022382053445582,0.4,-2.4211621250237698e-05,-0.00085967231806202,1.0116124399718525,0.9989037278017697,1.0046056528725615,1.0017419730004988
8.476,32.79765706258484,0.4022113216339549,0.4,-2.47286203585181e-05,-0.0008471141172752775,1.011611629179808,0.9989034143263884,1.0046053996125381,1.0017416829048513
8.478,32.79675486146465,0.4021841636812835,0.4,-2.5239325044039356e-05,-0.0008344536051927871,1.011610823429907,0.9989031055489179,1.00460514901298,1.001741396417163
8.48,32.79583456717528,0.40215673678288766,0.4,-2.574367970661359e-05,-0.0008216931611344201,1.0116100225317468,0.99890280132105,1.0046049009834528,1.0017411134193546
8.482,32.79489642462467,0.40212904626794305,0.4,-2.6241630345919933e-05,-0.0008088351746680673,1.0116092262942407,0.9989025014938817,1.0046046554331878,1.0017408337928901
8.484,32.79394068149411,0.4021010974977861,0.4,-2.6733124579729446e-05,-0.000795882045283202,1.0116084345256384,0.9989022059179347,1.0046044122710933,1.0017405574187952
8.486,32.79296737982204,0.40207289376978045,0.4,-2.721796502573573e-05,-0.0007828356693490076,1.0116076470845268,0.9989019144867965,1.0046041714313447,1.001740284211738
