Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.054,36.64079569704264,0.400000025461189,0.4,-1.6713043206653178e-10,0.9999999922897369,0.9919935384101451,0.9999999958828334,0.9959841731351355
0.056,36.640795690919305,0.4000000253489374,0.4,-1.730503583909492e-10,0.9999999922860936,0.991993538408704,0.9999999958816883,0.9959841731338143
0.058,36.64079568458334,0.40000002523360734,0.4,-1.789431451557293e-10,0.9999999922822049,0.9919935384071366,0.999999995880454,0.9959841731323844
0.06,36.64079567803574,0.4000000251152444,0.4,-1.848080810334576e-10,0.9999999922780701,0.9919935384054419,0.99999999587913,0.9959841731308454
0.062,36.6407956712775,0.40000002499389237,0.4,-1.9064446519152655e-10,0.9999999922736891,0.9919935384036198,0.9999999958777163,0.9959841731291972
0.064,36.640795664309685,0.40000002486959363,0.4,-1.9645160688574532e-10,0.9999999922690613,0.99199353840167,0.9999999958762125,0.995984173127439
0.066,36.640795657133346,0.4000000247423905,0.4,-2.022288254084603e-10,0.9999999922641872,0.9919935383995923,0.9999999958746189,0.9959841731255714
0.068,36.64079564974957,0.4000000246123232,0.4,-2.0797544970161986e-10,0.9999999922590677,0.9919935383973867,0.9999999958729352,0.9959841731235943
0.07,36.64079564215949,0.40000002447943167,0.4,-2.1369081808656818e-10,0.999999992253703,0.9919935383950533,0.999999995871162,0.9959841731215077
0.072,36.64079563436422,0.4000000243437543,0.4,-2.19374278216489e-10,0.999999992248094,0.9919935383925926,0.9999999958692992,0.995984173119312
0.074,36.640795626364934,0.40000002420532926,0.4,-2.2502518668298555e-10,0.9999999922422426,0.991993538390005,0.9999999958673473,0.9959841731170075
0.076,36.640795618162805,0.40000002406419366,0.4,-2.306429088885431e-10,0.9999999922361497,0.9919935383872911,0.999999995865307,0.9959841731145951
0.078,36.640795609759046,0.4000000239203845,0.4,-2.3622681899897277e-10,0.999999992229817,0.9919935383844517,0.9999999958631786,0.9959841731120752
0.08,36.64079560115489,0.4000000237739369,0.4,-2.417762996429422e-10,0.9999999922232461,0.9919935383814874,0.9999999958609627,0.9959841731094484
0.082,36.64079559235158,0.40000002362488635,0.4,-2.4729074180389317e-10,0.9999999922164389,0.9919935383783991,0.99999999585866,0.9959841731067155
0.084,36.64079558335039,0.40000002347326774,0.4,-2.5276954470115095e-10,0.9999999922093976,0.9919935383751879,0.9999999958562711,0.9959841731038775
0.086,36.640795574152605,0.40000002331911494,0.4,-2.5821211559321407e-10,0.9999999922021238,0.9919935383718547,0.9999999958537968,0.9959841731009353
0.088,36.64079556475956,0.40000002316246214,0.4,-2.636178698685437e-10,0.9999999921946203,0.9919935383684007,0.9999999958512379,0.9959841730978897
0.09,36.640795555172566,0.40000002300334275,0.4,-2.689862307407712e-10,0.9999999921868891,0.991993538364827,0.9999999958485952,0.9959841730947416
0.092,36.640795545393004,0.40000002284178915,0.4,-2.743166292033031e-10,0.9999999921789324,0.9919935383611347,0.9999999958458696,0.9959841730914923
0.094,36.640795535422235,0.40000002267783447,0.4,-2.796085040422915e-10,0.9999999921707532,0.9919935383573252,0.9999999958430619,0.9959841730881427
0.096,36.64079552526166,0.4000000225115112,0.4,-2.848613016139839e-10,0.9999999921623536,0.9919935383533999,0.9999999958401732,0.9959841730846941
0.098,36.640795514912696,0.40000002234285037,0.4,-2.9007447582094506e-10,0.9999999921537361,0.9919935383493599,0.9999999958372042,0.9959841730811475
0.1,36.640795504376776,0.40000002217188485,0.4,-2.952474881185421e-10,0.9999999921449042,0.9919935383452069,0.9999999958341562,0.9959841730775043
0.102,36.64079549365536,0.4000000219986455,0.4,-3.0037980737443716e-10,0.9999999921358599,0.9919935383409421,0.9999999958310299,0.9959841730737654
0.104,36.64079548274992,0.40000002182316396,0.4,-3.0547090985994095e-10,0.999999992126606,0.9919935383365669,0.9999999958278265,0.9959841730699323
0.106,36.64079547166196,0.40000002164547094,0.4,-3.1052027920461795e-10,0.9999999921171455,0.9919935383320828,0.999999995824547,0.9959841730660062
0.108,36.64079546039297,0.4000000214655976,0.4,-3.155274062341628e-10,0.9999999921074811,0.9919935383274917,0.9999999958211925,0.9959841730619883
0.11,36.640795448944495,0.4000000212835748,0.4,-3.20491789126039e-10,0.999999992097616,0.9919935383227946,0.9999999958177639,0.99598417305788
0.112,36.64079543731808,0.4000000210994327,0.4,-3.254129332387088e-10,0.9999999920875529,0.9919935383179932,0.9999999958142624,0.9959841730536826
0.114,36.64079542551529,0.40000002091320286,0.4,-3.3029035110298627e-10,0.9999999920772946,0.9919935383130891,0.9999999958106889,0.9959841730493973
0.116,36.64079541353771,0.4000000207249144,0.4,-3.35123562426361e-10,0.9999999920668443,0.9919935383080841,0.9999999958070448,0.9959841730450257
0.118,36.64079540138694,0.4000000205345984,0.4,-3.3991209409515937e-10,0.9999999920562049,0.9919935383029793,0.999999995803331,0.995984173040569
0.12,36.64079538906458,0.4000000203422848,0.4,-3.446554800297144e-10,0.9999999920453794,0.9919935382977767,0.9999999957995488,0.9959841730360285
0.122,36.640795376572285,0.4000000201480036,0.4,-3.4935326124705323e-10,0.9999999920343708,0.9919935382924775,0.9999999957956989,0.9959841730314055
0.124,36.6407953639117,0.4000000199517852,0.4,-3.540049858500892e-10,0.9999999920231821,0.9919935382870837,0.9999999957917829,0.9959841730267017
0.126,36.640795351084485,0.4000000197536592,0.4,-3.586102090665313e-10,0.9999999920118164,0.9919935382815966,0.9999999957878016,0.995984173021918
0.128,36.640795338092325,0.40000001955365605,0.4,-3.6316849306082076e-10,0.9999999920002767,0.9919935382760181,0.9999999957837563,0.9959841730170562
0.13,36.640795324936924,0.40000001935180496,0.4,-3.676794071265179e-10,0.9999999919885658,0.9919935382703496,0.999999995779648,0.9959841730121175
0.132,36.64079531161998,0.400000019148137,0.4,-3.7214252749823853e-10,0.9999999919766875,0.9919935382645929,0.999999995775478,0.9959841730071033
0.134,36.64079529814324,0.400000018942681,0.4,-3.765574375462025e-10,0.999999991964644,0.9919935382587495,0.9999999957712473,0.9959841730020149
0.136,36.640795284508435,0.4000000187354669,0.4,-3.8092372756655363e-10,0.9999999919524389,0.9919935382528211,0.9999999957669571,0.9959841729968539
0.138,36.64079527071732,0.400000018526525,0.4,-3.8524099486782573e-10,0.9999999919400749,0.9919935382468094,0.9999999957626085,0.9959841729916216
0.14,36.640795256771675,0.40000001831588455,0.4,-3.895088438012057e-10,0.9999999919275555,0.9919935382407159,0.9999999957582028,0.9959841729863195
0.142,36.64079524267328,0.4000000181035762,0.4,-3.937268857086539e-10,0.9999999919148834,0.9919935382345423,0.9999999957537408,0.9959841729809488
0.144,36.64079522842394,0.40000001788962897,0.4,-3.978947389445206e-10,0.9999999919020616,0.9919935382282902,0.9999999957492238,0.9959841729755108
0.146,36.64079521402547,0.40000001767407334,0.4,-4.020120288733846e-10,0.9999999918890937,0.9919935382219611,0.999999995744653,0.9959841729700072
0.148,36.64079519947968,0.4000000174569384,0.4,-4.0607838785059793e-10,0.999999991875982,0.9919935382155568,0.9999999957400294,0.995984172964439
0.15,36.64079518478843,0.4000000172382547,0.4,-4.100934552093164e-10,0.9999999918627301,0.9919935382090789,0.9999999957353545,0.995984172958808
0.152,36.64079516995357,0.4000000170180515,0.4,-4.140568773123789e-10,0.999999991849341,0.9919935382025289,0.9999999957306288,0.9959841729531153
0.154,36.640795154976956,0.4000000167963592,0.4,-4.1796830752852937e-10,0.9999999918358174,0.9919935381959087,0.999999995725854,0.9959841729473626
0.156,36.64079513986048,0.4000000165732071,0.4,-4.218274062561949e-10,0.9999999918221627,0.9919935381892199,0.999999995721031,0.995984172941551
0.158,36.640795124606015,0.40000001634862553,0.4,-4.2563384084998965e-10,0.99999999180838,0.9919935381824636,0.9999999957161608,0.9959841729356818
0.16,36.640795109215475,0.40000001612264424,0.4,-4.2938728578283867e-10,0.9999999917944717,0.991993538175642,0.9999999957112448,0.9959841729297566
0.162,36.64079509369077,0.40000001589529327,0.4,-4.330874224557526e-10,0.9999999917804415,0.9919935381687564,0.9999999957062838,0.9959841729237766
0.164,36.64079507803382,0.4000000156666023,0.4,-4.367339392778088e-10,0.9999999917662918,0.9919935381618085,0.9999999957012792,0.9959841729177433
0.166,36.640795062246575,0.40000001543660135,0.4,-4.4032653175477885e-10,0.9999999917520263,0.9919935381547997,0.9999999956962319,0.9959841729116581
0.168,36.640795046330965,0.40000001520532086,0.4,-4.4386490240914763e-10,0.9999999917376475,0.991993538147732,0.9999999956911432,0.995984172905522
0.17,36.64079503028895,0.40000001497279053,0.4,-4.4734876082334634e-10,0.9999999917231587,0.9919935381406066,0.999999995686014,0.995984172899337
0.172,36.64079501412251,0.40000001473904007,0.4,-4.5077782352302326e-10,0.9999999917085626,0.9919935381334254,0.9999999956808456,0.9959841728931039
0.174,36.64079499783361,0.40000001450409983,0.4,-4.5415181416078427e-10,0.9999999916938623,0.9919935381261897,0.999999995675639,0.9959841728868242
0.176,36.64079498142424,0.4000000142679994,0.4,-4.574704633886551e-10,0.9999999916790606,0.991993538118901,0.9999999956703953,0.9959841728804991
0.178,36.6407949648964,0.40000001403076973,0.4,-4.607335089402243e-10,0.9999999916641611,0.9919935381115615,0.9999999956651157,0.9959841728741304
0.18,36.6407949482521,0.4000000137924402,0.4,-4.639406955312074e-10,0.9999999916491661,0.9919935381041719,0.999999995659801,0.9959841728677188
0.182,36.640794931493346,0.4000000135530411,0.4,-4.670917750021157e-10,0.9999999916340786,0.9919935380967345,0.9999999956544527,0.9959841728612664
0.184,36.64079491462217,0.4000000133126023,0.4,-4.701865061885568e-10,0.9999999916189017,0.9919935380892504,0.9999999956490716,0.9959841728547738
0.186,36.640794897640596,0.4000000130711542,0.4,-4.732246550639048e-10,0.9999999916036385,0.9919935380817215,0.999999995643659,0.9959841728482429
0.188,36.64079488055067,0.40000001282872694,0.4,-4.762059945404268e-10,0.9999999915882917,0.9919935380741489,0.9999999956382157,0.9959841728416745
0.19,36.64079486335445,0.4000000125853505,0.4,-4.791303046897726e-10,0.9999999915728641,0.9919935380665345,0.9999999956327429,0.9959841728350702
0.192,36.640794846053986,0.4000000123410553,0.4,-4.819973726500231e-10,0.9999999915573589,0.9919935380588798,0.9999999956272418,0.9959841728284314
0.194,36.64079482865133,0.4000000120958712,0.4,-4.848069925673257e-10,0.9999999915417791,0.9919935380511863,0.9999999956217135,0.9959841728217594
0.196,36.640794811148574,0.4000000118498281,0.4,-4.875589656499359e-10,0.9999999915261268,0.9919935380434552,0.9999999956161586,0.9959841728150552
0.198,36.640794793547784,0.40000001160295673,0.4,-4.902531002092884e-10,0.9999999915104059,0.9919935380356887,0.9999999956105787,0.9959841728083203
0.2,36.64079477585105,0.40000001135528684,0.4,-4.928892115756927e-10,0.9999999914946185,0.9919935380278876,0.9999999956049745,0.995984172801556
0.202,36.64079475806046,0.4000000111068489,0.4,-4.954671222107391e-10,0.9999999914787681,0.9919935380200539,0.9999999955993475,0.9959841727947638
0.204,36.640794740178116,0.4000000108576725,0.4,-4.97986661476002e-10,0.9999999914628569,0.9919935380121888,0.9999999955936982,0.9959841727879445
0.206,36.640794722206124,0.4000000106077884,0.4,-5.004476659551261e-10,0.9999999914468882,0.9919935380042941,0.9999999955880281,0.9959841727810999
0.208,36.64079470414659,0.40000001035722604,0.4,-5.028499792571155e-10,0.9999999914308648,0.9919935379963711,0.999999995582338,0.9959841727742308
0.21,36.640794686001634,0.40000001010601643,0.4,-5.051934519601316e-10,0.9999999914147895,0.9919935379884214,0.9999999955766291,0.9959841727673389
0.212,36.64079466777337,0.400000009854189,0.4,-5.074779418211725e-10,0.9999999913986648,0.9919935379804463,0.9999999955709021,0.9959841727604251
0.214,36.64079464946393,0.4000000096017738,0.4,-5.097033134669578e-10,0.9999999913824937,0.9919935379724475,0.9999999955651585,0.9959841727534909
0.216,36.640794631075444,0.4000000093488012,0.4,-5.118694386922356e-10,0.9999999913662794,0.9919935379644264,0.9999999955593991,0.9959841727465376
0.218,36.64079461261005,0.40000000909530103,0.4,-5.139761962911741e-10,0.9999999913500242,0.9919935379563843,0.9999999955536248,0.9959841727395663
0.22,36.640794594069874,0.4000000088413035,0.4,-5.160234720962711e-10,0.9999999913337311,0.9919935379483228,0.9999999955478367,0.9959841727325783
0.222,36.64079457545707,0.40000000858683843,0.4,-5.180111589135049e-10,0.9999999913174028,0.9919935379402434,0.9999999955420361,0.9959841727255748
0.224,36.64079455677379,0.400000008331936,0.4,-5.1993915663474e-10,0.999999991301042,0.9919935379321477,0.9999999955362239,0.9959841727185574
0.226,36.64079453802217,0.4000000080766258,0.4,-5.218073721231592e-10,0.9999999912846517,0.9919935379240368,0.9999999955304006,0.9959841727115267
0.228,36.64079451920438,0.4000000078209379,0.4,-5.236157192262339e-10,0.9999999912682344,0.9919935379159123,0.999999995524568,0.9959841727044845
0.23,36.64079450032256,0.40000000756490245,0.4,-5.253641187519462e-10,0.999999991251793,0.9919935379077758,0.9999999955187266,0.9959841726974317
0.232,36.64079448137888,0.4000000073085492,0.4,-5.270524986028104e-10,0.9999999912353301,0.9919935378996284,0.9999999955128775,0.9959841726903697
0.234,36.6407944623755,0.40000000705190714,0.4,-5.286807935316074e-10,0.9999999912188484,0.9919935378914719,0.9999999955070218,0.9959841726832995
0.236,36.64079444331459,0.4000000067950069,0.4,-5.302489452883764e-10,0.9999999912023508,0.9919935378833075,0.9999999955011605,0.9959841726762226
0.238,36.640794424198305,0.40000000653787804,0.4,-5.317569025642123e-10,0.9999999911858399,0.9919935378751364,0.9999999954952944,0.9959841726691401
0.24,36.640794405028814,0.40000000628055005,0.4,-5.332046210388217e-10,0.9999999911693183,0.9919935378669604,0.9999999954894245,0.995984172662053
0.242,36.64079438580829,0.4000000060230526,0.4,-5.345920632443391e-10,0.9999999911527887,0.9919935378587809,0.9999999954835521,0.9959841726549628
0.244,36.64079436653891,0.4000000057654147,0.4,-5.35919198701511e-10,0.9999999911362539,0.991993537850599,0.9999999954776779,0.9959841726478706
0.246,36.64079434722284,0.4000000055076666,0.4,-5.37186003744602e-10,0.9999999911197163,0.9919935378424163,0.999999995471803,0.9959841726407774
0.248,36.64079432786224,0.4000000052498373,0.4,-5.383924616359624e-10,0.9999999911031788,0.9919935378342342,0.9999999954659283,0.9959841726336849
0.25,36.6407943084593,0.40000000499195615,0.4,-5.395385624709156e-10,0.999999991086644,0.9919935378260539,0.9999999954600548,0.9959841726265938
