Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477882,0.4,0.0,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.40000002524519385,0.4,-5.898537715724345e-12,0.9999999913061228,0.9919935378249695,0.9999999954927687,0.9959841726475193
0.004,34.403699900213645,0.40000002523752143,0.4,-1.1795321640065197e-11,0.999999991306294,0.9919935378251217,0.9999999954928576,0.9959841726476377
0.006,34.40369989968291,0.4000000252249296,0.4,-1.7689184313850645e-11,0.9999999913065399,0.9919935378253503,0.999999995492989,0.9959841726478146
0.008,34.40369989894007,0.4000000252075663,0.4,-2.357899407914268e-11,0.9999999913068306,0.9919935378256367,0.9999999954931511,0.9959841726480344
0.01,34.403699897985284,0.4000000251855708,0.4,-2.946365304728697e-11,0.9999999913071398,0.9919935378259646,0.999999995493333,0.9959841726482836
0.012,34.40369989681876,0.40000002515907357,0.4,-3.5342094827019536e-11,0.999999991307443,0.9919935378263182,0.9999999954935248,0.9959841726485497
0.014,34.40369989544074,0.4000000251281967,0.4,-4.1213282656801866e-11,0.9999999913077188,0.9919935378266836,0.9999999954937172,0.9959841726488209
0.016,34.4036998938515,0.40000002509305554,0.4,-4.707620759552055e-11,0.9999999913079469,0.9919935378270488,0.9999999954939024,0.9959841726490871
0.018,34.403699892051364,0.40000002505375787,0.4,-5.2929886860179016e-11,0.9999999913081099,0.9919935378274021,0.9999999954940728,0.9959841726493389
0.02,34.40369989004068,0.40000002501040566,0.4,-5.87733622046607e-11,0.9999999913081916,0.9919935378277333,0.9999999954942217,0.9959841726495681
0.022,34.40369988781982,0.4000000249630947,0.4,-6.46056986162545e-11,0.9999999913081774,0.991993537828033,0.9999999954943433,0.9959841726497668
0.024,34.40369988538921,0.40000002491191594,0.4,-7.042598300353382e-11,0.9999999913080546,0.9919935378282932,0.9999999954944321,0.9959841726499283
0.026,34.40369988274931,0.40000002485695413,0.4,-7.623332283451746e-11,0.999999991307811,0.9919935378285061,0.999999995494483,0.9959841726500464
0.028,34.40369987990058,0.40000002479829083,0.4,-8.20268451293412e-11,0.9999999913074369,0.9919935378286652,0.9999999954944923,0.9959841726501156
0.03,34.403699876843554,0.4000000247360034,0.4,-8.780569540537292e-11,0.9999999913069227,0.9919935378287646,0.9999999954944556,0.9959841726501314
0.032,34.40369987357876,0.40000002467016316,0.4,-9.35690367433802e-11,0.9999999913062609,0.9919935378287988,0.9999999954943697,0.995984172650089
0.034,34.40369987010677,0.40000002460083994,0.4,-9.931604879533332e-11,0.9999999913054436,0.9919935378287632,0.9999999954942316,0.9959841726499846
0.036,34.403699866428205,0.4000000245280995,0.4,-1.0504592704728286e-10,0.999999991304465,0.9919935378286535,0.9999999954940384,0.9959841726498148
0.038,34.40369986254368,0.4000000244520038,0.4,-1.1075788203468109e-10,0.9999999913033194,0.9919935378284663,0.999999995493788,0.9959841726495768
0.04,34.40369985845386,0.4000000243726132,0.4,-1.1645113862687608e-10,0.9999999913020022,0.9919935378281981,0.9999999954934784,0.9959841726492679
0.042,34.403699854159434,0.4000000242899843,0.4,-1.2212493545859793e-10,0.9999999913005098,0.9919935378278464,0.9999999954931077,0.9959841726488858
0.044,34.40369984966111,0.40000002420417213,0.4,-1.2777852422526113e-10,0.999999991298838,0.9919935378274086,0.9999999954926745,0.9959841726484286
0.046,34.40369984495963,0.4000000241152283,0.4,-1.3341116915119895e-10,0.9999999912969845,0.9919935378268828,0.9999999954921776,0.995984172647895
0.048,34.403699840055765,0.40000002402320345,0.4,-1.3902214653139369e-10,0.9999999912949469,0.9919935378262673,0.9999999954916157,0.9959841726472831
0.05,34.40369983495031,0.4000000239281457,0.4,-1.446107441672863e-10,0.9999999912927233,0.9919935378255607,0.9999999954909882,0.9959841726465922
0.052,34.403699829644076,0.4000000238301016,0.4,-1.501762610684688e-10,0.9999999912903125,0.9919935378247617,0.9999999954902944,0.9959841726458212
0.054,34.4036998241379,0.40000002372911564,0.4,-1.5571800694902e-10,0.9999999912877133,0.9919935378238699,0.9999999954895336,0.9959841726449694
0.056,34.40369981843267,0.4000000236252316,0.4,-1.612353018211155e-10,0.9999999912849249,0.9919935378228839,0.9999999954887054,0.9959841726440363
0.058,34.40369981252926,0.40000002351849145,0.4,-1.667274757572461e-10,0.9999999912819477,0.991993537821804,0.99999999548781,0.9959841726430217
0.06,34.403699806428605,0.4000000234089351,0.4,-1.7219386857461734e-10,0.9999999912787814,0.9919935378206296,0.9999999954868471,0.9959841726419256
0.062,34.403699800131626,0.400000023296603,0.4,-1.7763382942011254e-10,0.9999999912754257,0.9919935378193604,0.9999999954858163,0.9959841726407473
