Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477878,0.4,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.40000002524517453,0.4,-5.898536507362447e-12,0.9999999913061285,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.403699900213645,0.4000000252373746,0.4,-1.1795304115575204e-11,0.9999999913063404,0.9919935378251503,0.9999999954928763,0.9959841726476615
0.006,34.40369989968291,0.40000002522444633,0.4,-1.7689098189423567e-11,0.9999999913066928,0.9919935378254447,0.999999995493051,0.9959841726478927
0.008,34.403699898940076,0.4000000252064478,0.4,-2.3578727511049365e-11,0.9999999913071852,0.9919935378258556,0.999999995493295,0.9959841726482156
0.01,34.403699897985305,0.4000000251834359,0.4,-2.9463014617168233e-11,0.9999999913078169,0.9919935378263823,0.9999999954936077,0.9959841726486294
0.012,34.403699896818814,0.4000000251554666,0.4,-3.534079524568741e-11,0.9999999913085874,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.40369989544086,0.400000025122596,0.4,-4.1210918329220804e-11,0.9999999913094956,0.99199353782778,0.9999999954944381,0.9959841726497278
0.016,34.40369989385173,0.4000000250848778,0.4,-4.7072245813510454e-11,0.9999999913105411,0.9919935378286491,0.9999999954949546,0.9959841726504112
0.018,34.403699892051776,0.40000002504236737,0.4,-5.2923652393705315e-11,0.9999999913117231,0.991993537829631,0.9999999954955383,0.9959841726511831
0.02,34.40369989004136,0.400000024995117,0.4,-5.87640255359778e-11,0.9999999913130406,0.9919935378307246,0.9999999954961887,0.9959841726520431
0.022,34.403699887820906,0.40000002494318104,0.4,-6.459226523325734e-11,0.9999999913144931,0.9919935378319292,0.9999999954969051,0.9959841726529903
0.024,34.40369988539087,0.400000024886611,0.4,-7.040728383229853e-11,0.99999999131608,0.9919935378332441,0.9999999954976874,0.9959841726540245
0.026,34.40369988275175,0.40000002482545916,0.4,-7.620800604881261e-11,0.9999999913177998,0.9919935378346683,0.999999995498535,0.9959841726551448
0.028,34.403699879904075,0.40000002475977664,0.4,-8.199336877508074e-11,0.999999991319652,0.9919935378362008,0.9999999954994471,0.9959841726563505
0.03,34.40369987684842,0.40000002468961515,0.4,-8.776232097403314e-11,0.9999999913216359,0.991993537837841,0.9999999955004236,0.9959841726576409
0.032,34.403699873585396,0.40000002461502454,0.4,-9.351382352361039e-11,0.9999999913237503,0.9919935378395881,0.999999995501464,0.9959841726590156
0.034,34.403699870115645,0.4000000245360557,0.4,-9.924684928377454e-11,0.9999999913259944,0.9919935378414408,0.9999999955025676,0.9959841726604737
0.036,34.40369986643986,0.400000024452758,0.4,-1.0496038280468642e-10,0.9999999913283674,0.9919935378433986,0.9999999955037339,0.9959841726620147
0.038,34.403699862558746,0.4000000243651814,0.4,-1.1065342037210041e-10,0.9999999913308678,0.9919935378454605,0.9999999955049623,0.9959841726636374
0.04,34.40369985847307,0.40000002427337494,0.4,-1.1632496997493952e-10,0.999999991333495,0.9919935378476258,0.9999999955062527,0.9959841726653418
0.042,34.40369985418362,0.40000002417738745,0.4,-1.2197405106102916e-10,0.9999999913362484,0.991993537849893,0.9999999955076041,0.9959841726671267
0.044,34.40369984969122,0.4000000240772677,0.4,-1.2759969458249174e-10,0.9999999913391261,0.9919935378522615,0.9999999955090162,0.9959841726689915
0.046,34.40369984499673,0.4000000239730642,0.4,-1.332009429784535e-10,0.9999999913421277,0.9919935378547305,0.9999999955104886,0.9959841726709358
0.048,34.403699840101055,0.4000000238648252,0.4,-1.3877685012100317e-10,0.9999999913452519,0.991993537857299,0.9999999955120203,0.9959841726729582
0.05,34.40369983500511,0.4000000237525982,0.4,-1.443264810752491e-10,0.9999999913484974,0.9919935378599657,0.999999995513611,0.9959841726750582
0.052,34.40369982970987,0.40000002363643167,0.4,-1.498489122246947e-10,0.9999999913518637,0.9919935378627301,0.9999999955152602,0.9959841726772356
0.054,34.40369982421633,0.4000000235163731,0.4,-1.5534323124746048e-10,0.999999991355349,0.9919935378655909,0.9999999955169672,0.9959841726794888
0.056,34.40369981852551,0.4000000233924702,0.4,-1.6080853700603983e-10,0.9999999913589527,0.9919935378685473,0.9999999955187315,0.9959841726818177
0.058,34.40369981263848,0.40000002326476936,0.4,-1.6624393951487432e-10,0.999999991362673,0.9919935378715982,0.9999999955205525,0.9959841726842211
0.06,34.40369980655632,0.400000023133319,0.4,-1.7164855988415081e-10,0.9999999913665094,0.9919935378747425,0.9999999955224295,0.9959841726866983
0.062,34.403699800280165,0.4000000229981656,0.4,-1.7702153040626747e-10,0.9999999913704605,0.9919935378779793,0.9999999955243619,0.9959841726892484
0.064,34.403699793811164,0.4000000228593561,0.4,-1.8236199435480034e-10,0.9999999913745247,0.9919935378813077,0.9999999955263493,0.995984172691871
0.066,34.4036997871505,0.40000002271693785,0.4,-1.876691061206872e-10,0.9999999913787014,0.9919935378847266,0.9999999955283911,0.995984172694565
0.068,34.4036997802994,0.4000000225709572,0.4,-1.9294203111279184e-10,0.999999991382989,0.9919935378882346,0.9999999955304864,0.9959841726973294
0.07,34.40369977325909,0.40000002242146115,0.4,-1.9817994574925732e-10,0.999999991387386,0.991993537891831,0.9999999955326346,0.9959841727001637
0.072,34.40369976603087,0.40000002226849646,0.4,-2.0338203742075801e-10,0.9999999913918916,0.9919935378955147,0.9999999955348353,0.9959841727030669
0.074,34.40369975861603,0.40000002211211033,0.4,-2.085475045812889e-10,0.9999999913965045,0.9919935378992845,0.9999999955370877,0.9959841727060382
0.076,34.4036997510159,0.4000000219523484,0.4,-2.1367555662927473e-10,0.999999991401223,0.9919935379031395,0.9999999955393913,0.9959841727090768
0.078,34.403699743231854,0.40000002178925814,0.4,-2.1876541392054006e-10,0.9999999914060459,0.9919935379070783,0.9999999955417452,0.9959841727121818
