Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,8.571382931169826,0.40000007965348033,0.0,0.9999999968740182,0.9919935407908828,0.9999999975577938,0.9959841751764217
0.002,8.571382930930866,0.40000007964757717,-1.327525209050674e-11,0.9999999968741777,0.9919935407910163,0.999999997557873,0.9959841751765266
0.004,8.57138293021403,0.4000000796298684,-2.6548536498823458e-11,0.9999999968746562,0.991993540791417,0.9999999975581106,0.9959841751768412
0.006,8.57138292901942,0.40000007960035666,-3.981788582031588e-11,0.9999999968754533,0.9919935407920847,0.9999999975585065,0.9959841751773656
0.008,8.571382927347214,0.4000000795590465,-5.3081333242468687e-11,0.9999999968765694,0.9919935407930194,0.9999999975590608,0.9959841751780996
0.01,8.571382925197657,0.4000000795059438,-6.633691282706719e-11,0.999999996878004,0.991993540794221,0.9999999975597734,0.9959841751790431
0.012,8.571382922571074,0.40000007944105653,-7.958265979392099e-11,0.9999999968797568,0.9919935407956892,0.999999997560644,0.9959841751801959
0.014,8.571382919467847,0.4000000793643943,-9.281661082771729e-11,0.999999996881828,0.9919935407974237,0.9999999975616726,0.995984175181558
0.016,8.571382915888442,0.4000000792759687,-1.0603680436174457e-10,0.9999999968842168,0.9919935407994246,0.9999999975628592,0.9959841751831292
0.018,8.571382911833386,0.40000007917579233,-1.1924128087395202e-10,0.999999996886923,0.9919935408016911,0.9999999975642032,0.995984175184909
0.02,8.571382907303281,0.4000000790638806,-1.3242808315525352e-10,0.9999999968899463,0.9919935408042234,0.9999999975657048,0.9959841751868974
0.022,8.571382902298799,0.4000000789402498,-1.4559525664413637e-10,0.9999999968932864,0.9919935408070208,0.9999999975673637,0.9959841751890941
0.024,8.571382896820682,0.40000007880491817,-1.587408496625839e-10,0.9999999968969423,0.9919935408100828,0.9999999975691796,0.9959841751914986
0.026,8.57138289086974,0.40000007865790577,-1.7186291373834833e-10,0.9999999969009139,0.9919935408134093,0.9999999975711522,0.9959841751941108
0.028,8.571382884446859,0.4000000784992347,-1.8495950388404864e-10,0.9999999969052004,0.9919935408169995,0.9999999975732812,0.9959841751969299
0.03,8.571382877552985,0.40000007832892837,-1.9802867890093985e-10,0.9999999969098012,0.9919935408208531,0.9999999975755663,0.995984175199956
0.032,8.571382870189145,0.40000007814701183,-2.11068501647217e-10,0.9999999969147157,0.9919935408249692,0.9999999975780072,0.995984175203188
0.034,8.571382862356428,0.40000007795351217,-2.2407703932790664e-10,0.9999999969199432,0.9919935408293474,0.9999999975806037,0.9959841752066262
0.036,8.571382854055997,0.4000000777484581,-2.3705236377859045e-10,0.9999999969254828,0.9919935408339872,0.9999999975833549,0.9959841752102695
0.038,8.57138284528908,0.40000007753188,-2.4999255177996867e-10,0.9999999969313338,0.9919935408388877,0.9999999975862609,0.9959841752141175
0.04,8.571382836056976,0.40000007730380976,-2.628956852984081e-10,0.9999999969374951,0.991993540844048,0.9999999975893211,0.9959841752181697
0.042,8.571382826361058,0.40000007706428153,-2.7575985179742153e-10,0.999999996943966,0.9919935408494679,0.999999997592535,0.9959841752224257
0.044,8.571382816202759,0.4000000768133306,-2.8858314452447527e-10,0.9999999969507455,0.991993540855146,0.9999999975959022,0.9959841752268845
0.046,8.571382805583585,0.4000000765509941,-3.013636627885451e-10,0.9999999969578325,0.9919935408610817,0.9999999975994222,0.9959841752315455
