Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.114,4.741515427468496,0.2372177575267589,0.4,0.0019966281950854307,0.07224933663870248,0.9223301396119381,0.8861877573074719,0.9115443880128873,0.8963322984654525
1.116,4.8140731104759915,0.23876079561416658,0.4,0.0020342935235346657,0.07155720256953324,0.9223682705384765,0.8862976280852046,0.9116688965182773,0.8964567672475232
1.118,4.887980168560268,0.24032120482514302,0.4,0.0020715928064102447,0.07085779008553494,0.922407344135957,0.8864087885518167,0.9117947448302554,0.8965826188046931
1.12,4.963223351967721,0.24189875428970276,0.4,0.002108522046487987,0.0701511959954606,0.9224473311924033,0.8865211981175682,0.9119218946195459,0.8967098120149105
1.122,5.039789268024737,0.2434932112981164,0.4,0.0021450773010623266,0.06943751813510113,0.92248820236513,0.8866348161135469,0.9120503074847215,0.8968383056785193
1.124,5.11766438310799,0.24510434131628345,0.4,0.0021812546823692545,0.06871685536105243,0.9225299281959933,0.8867496018088393,0.9121799449668002,0.8969680585346443
1.126,5.19683502462988,0.2467319080017884,0.4,0.0022170503580055496,0.06798930754389043,0.9225724791265975,0.8868655144276049,0.9123107685637574,0.8970990292774806
1.128,5.277287383039048,0.24837567322065154,0.4,0.002252460551344162,0.06725497556076376,0.9226158255134425,0.8869825131660369,0.9124427397449336,0.8972311765724686
1.13,5.359007513835685,0.2500353970647844,0.4,0.002287481541945529,0.06651396128739329,0.9226599376430129,0.8871005572092087,0.9125758199653452,0.8973644590723585
1.132,5.441981339601653,0.2517108378701561,0.4,0.0023221096659647327,0.06576636758948484,0.922704785746798,0.8872196057477962,0.9127099706798822,0.8974988354331498
1.134,5.526194652045148,0.25340175223568046,0.4,0.002356341316554281,0.06501229831355182,0.9227503400162366,0.8873396179946709,0.9128451533573927,0.8976342643299043
1.136,5.611633114059793,0.2551078950428301,0.4,0.0023901729442623565,0.06425185827715663,0.9227965706175806,0.8874605532013538,0.9129813294946484,0.897770704472424
1.138,5.698282261797977,0.2568290194759825,0.4,0.0024236010574263684,0.06348515325855908,0.9228434477066708,0.8875823706743265,0.9131184606301812,0.8979081146207869
1.14,5.7861275067582785,0.25856487704350395,0.4,0.0024566222225616318,0.0627122899857907,0.922890941443618,0.8877050297911921,0.9132565083579919,0.8980464536007371
1.142,5.875154137886793,0.26031521759957654,0.4,0.0024892330647450023,0.06193337612514982,0.9229390220073833,0.8878284900166775,0.9133954343411212,0.8981856803189209
1.144,5.965347323692177,0.26207978936676996,0.4,0.0025214302679932936,0.06114852026912054,0.9229876596102513,0.8879527109184735,0.9135352003250788,0.8983257537779643
1.146,6.0566921143742105,0.2638583389593607,0.4,0.0025532105756363014,0.06035783192371569,0.9230368245121904,0.8880776521829044,0.9136757681511262,0.8984666330913846
