Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
1.8,0.0600989697386173,0.999999997660427,0.994015187429374,0.999999999227478,0.999999998927232,0.9969950505502893
1.82,0.0600989697340849,0.9999999976784444,0.9940151874394488,0.9999999992340646,0.9999999989353177,0.9969950505586257
1.84,0.06009896972955255,0.999999997696462,0.994015187449524,0.9999999992406513,0.9999999989434033,0.9969950505669624
1.86,0.06009896972502013,0.9999999977144793,0.9940151874595988,0.9999999992472379,0.9999999989514889,0.9969950505752988
1.88,0.06009896972048772,0.9999999977324968,0.9940151874696738,0.9999999992538247,0.9999999989595745,0.9969950505836354
1.9,0.060098969715955346,0.9999999977505143,0.9940151874797487,0.9999999992604112,0.9999999989676601,0.9969950505919718
1.92,0.06009896971142296,0.9999999977685317,0.9940151874898238,0.9999999992669979,0.9999999989757455,0.9969950506003084
1.94,0.06009896970689054,0.999999997786549,0.9940151874998986,0.9999999992735845,0.9999999989838312,0.9969950506086448
1.96,0.06009896970235817,0.9999999978045665,0.9940151875099735,0.9999999992801711,0.9999999989919167,0.9969950506169812
1.98,0.06009896969782581,0.9999999978225841,0.9940151875200487,0.9999999992867579,0.9999999990000025,0.9969950506253178
2.0,0.06009896969329345,0.9999999978406015,0.9940151875301234,0.9999999992933445,0.9999999990080879,0.9969950506336542
2.0000000300000194,0.060098969693293404,0.9999999978406015,0.9940151875301234,0.9999999992933445,0.9999999990080879,0.9969950506336542
2.0000000300000194,0.004408830467027429,0.6202876198856685,0.2305081922404092,0.3095726453983499,0.27084959205298076,1e-10
2.02,0.003965233172396546,0.5210293999966319,0.20219778063015129,0.30217462568440284,0.25266951323041,1e-10
2.04,0.0038999428588906765,0.47840224118969793,0.1893404020357218,0.2986283758861781,0.24412546249053413,1e-10
2.06,0.0039937388142539,0.4546141212706635,0.18220908117692655,0.29669492189447244,0.2394402376874547,1e-10
2.08,0.0041672537295785045,0.4393239330253608,0.1776904465618349,0.2955017136521099,0.23652899046413767,1e-10
2.1,0.004384153103881608,0.42871828924846983,0.17452416937394008,0.2946698179362934,0.2345039079150547,1e-10
2.12,0.004623413971853638,0.42083919252062063,0.17205728685835117,0.29400410742665467,0.23290483969103615,1e-10
2.14,0.004872721483803448,0.4146006445388482,0.16994923243411802,0.2934079675184592,0.23149907793987323,1e-10
2.1500000315000283,0.004998592739687477,0.4118861885392126,0.1689662323545635,0.29311854610098026,0.23082606607738698,1e-10
2.1500000315000283,0.06766678354531484,0.7123512671119777,0.812508401314118,0.87842903576454,0.8492757815856952,0.8452919885101042
2.16,0.0754758437461441,0.7745083837736818,0.8561476116299744,0.9085140585810267,0.8865282902461528,0.8822714695657208
2.18,0.08726034879768986,0.8663550582969136,0.915336055303387,0.9486341152961532,0.9366353307341695,0.9319771494504507
2.2,0.09482700636440443,0.9204586990445579,0.9487880576992396,0.9711563053908666,0.9648836934439566,0.9599697851179481
2.22,0.09957069721916093,0.9516799541324082,0.967721863117956,0.9838845935968475,0.9808763074763273,0.9758007087496429
2.24,0.10252066335981365,0.9699112009087415,0.9785766438339435,0.9911698796949133,0.9900464875512189,0.9848689197343604
2.26,0.10432137579353465,0.980563701762333,0.9847650230176742,0.9953083475087624,0.9952702409225427,0.9900293844897289
2.28,0.10541281864859953,0.986926707521721,0.9883477888684643,0.9976895183673224,0.998287544996923,0.9930078631972713
2.3,0.10606741652821462,0.9908207721187152,0.9904651451145969,0.999084978890329,1.0000638938437552,0.9947608622018203
2.32,0.10644704369042855,0.9932121738844872,0.9917223107767303,0.9999057914950109,1.0011134180003045,0.9957969855825266
2.34,0.10664795661990274,0.9946271555603273,0.992448521204228,1.0003761777110807,1.0017165265733972,0.9963932666156825
2.36,0.10672811780059435,0.9953692868644503,0.9928326863949117,1.0006248208683026,1.0020342468886085,0.9967086748832767
2.38,0.10672514501073559,0.9956222326493523,0.9929865925417068,1.000727477887912,1.0021617730823036,0.9968370270806479
2.4,0.10667970214070109,0.9956124586119769,0.9930467163635669,1.0007758166725116,1.00221456659384,0.9968923682055242
2.42,0.10661163737701607,0.9954456867548139,0.9930721534487512,1.0008085454192588,1.0022421172109115,0.9969234607487413
2.44,0.10653016842865316,0.9951691820732431,0.9930837498958809,1.0008379772991174,1.0022611547474436,0.9969466635679014
2.46,0.10643937321226683,0.9948039908284132,0.9930846229135399,1.0008640519236691,1.0022731284441961,0.9969632302185903
2.48,0.10634061536730079,0.9943578505961331,0.9930687610235202,1.000880322970981,1.0022716074209972,0.9969666278372801
2.5,0.10623218966082479,0.9938229075289898,0.9930200051033916,1.000873428073228,1.0022415127786168,0.9969417830604177
2.52,0.10611229658146437,0.9931908506815407,0.9929221268649481,1.0008300868702462,1.0021677842267827,0.996873646298614
2.54,0.10597927566777642,0.9924536818980934,0.9927598627808785,1.0007379549547486,1.0020363502994578,0.9967481554845808
2.56,0.10583099629825214,0.9916001595291678,0.992517018849203,1.0005844665520127,1.0018325951598943,0.9965507252248351
2.58,0.10566596621470399,0.9906246523489627,0.9921824792564112,1.0003609782103913,1.0015464767756153,0.9962713366961817
2.6,0.10548248382978145,0.9895178377146444,0.9917444476576048,1.0000589681216714,1.0011677374797026,0.9958997652455626
2.62,0.10528149040346467,0.9882869507530112,0.9912033758040768,0.999678733030295,1.0006968022038911,0.9954363934958257
2.64,0.1050660562307208,0.9869520658371302,0.990569456619604,0.9992276368422877,1.0001426268093707,0.9948900734994418
2.66,0.10483786794426783,0.9855232319315244,0.9898482217532906,0.9987104277756551,0.999510545377869,0.9942660854010973
2.68,0.10460192911823513,0.9840359727202175,0.9890624973154141,0.9981437273994598,0.9988205970840065,0.9935843252984198
2.7,0.10436202833143535,0.9825131978443078,0.9882283001433687,0.9975399509295216,0.9980873283216384,0.9928592276083629
2.72,0.1041231659031871,0.9809907169032852,0.9873704563778429,0.9969174499146704,0.9973326846127176,0.9921126030561073
2.74,0.10389034703868702,0.9795035549425706,0.9865137318386237,0.9962945700867926,0.9965785839850743,0.9913662333546106
2.76,0.10366809387149958,0.9780836526869913,0.9856812004550722,0.9956884573495269,0.9958454750226411,0.9906404462474452
2.78,0.10346012876179617,0.9767596541570737,0.9848938690491941,0.9951146943903266,0.9951519399624813,0.9899537326427587
2.8,0.10327051334230687,0.9755631007231217,0.9841742247463675,0.9945896183755192,0.9945176591735028,0.9893256695886435
2.82,0.10310128218850652,0.9745106138605555,0.9835353689752131,0.9941231261746601,0.9939543222835131,0.9887679030931608
2.84,0.10295465633060566,0.9736227760358946,0.9829922912136339,0.9937260581120045,0.993474995438899,0.9882934533741268
2.86,0.1028318827881442,0.9729127431688319,0.9825550016338906,0.9934057110440033,0.9930884301760929,0.987911052566655
2.88,0.10273352163308727,0.972388915110939,0.9822301383162436,0.9931669117548548,0.9928004103247844,0.9876264844360935
2.9,0.10265951839681847,0.9720564673689455,0.9820218941148406,0.9930126408261699,0.9926145275182972,0.9874433604221823
2.92,0.10260938418527363,0.9719165296421726,0.981931586530172,0.992943777007133,0.9925318520709369,0.9873627798010456
2.94,0.10258202907156545,0.9719664428544662,0.9819578532880258,0.9929592798878596,0.9925511205208508,0.9873835266186451
