Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334238120791895,0.4000000255578714,0.4,0.0,0.9999999917469705,0.9919935380858339,0.9999999956670121,0.9959841728651261
1.0058283805847169e-10,34.33423812079189,0.4000000255578713,0.4,-3.0028905846843404e-19,0.9999999917469705,0.9919935380858339,0.9999999956670121,0.9959841728651261
1.0058283805847169e-10,34.33423812079189,0.4000000255578715,0.4,-3.0028905846843404e-19,0.9999999917469706,0.9919935380858339,0.9999999956670123,0.9959841728651261
0.002,34.334238120684404,0.40000002555522607,0.4,-5.970980012347494e-12,0.9999999917470422,0.9919935380858939,0.9999999956670477,0.995984172865173
0.004,34.334238120361995,0.40000002554733044,0.4,-1.1940169459335454e-11,0.9999999917472567,0.9919935380860732,0.9999999956671541,0.995984172865314
0.006,34.33423811982475,0.40000002553424346,0.4,-1.7906348805501302e-11,0.9999999917476137,0.9919935380863713,0.999999995667331,0.9959841728655481
0.008,34.334238119072786,0.40000002551602415,0.4,-2.386831236506883e-11,0.999999991748112,0.9919935380867874,0.9999999956675781,0.995984172865875
0.01,34.33423811810629,0.40000002549272984,0.4,-2.9824868129016264e-11,0.9999999917487516,0.9919935380873204,0.9999999956678945,0.9959841728662938
0.012,34.334238116925476,0.4000000254644173,0.4,-3.577483757701278e-11,0.9999999917495316,0.9919935380879701,0.9999999956682806,0.9959841728668045
0.014,34.334238115530596,0.4000000254311436,0.4,-4.1717055526103056e-11,0.9999999917504512,0.9919935380887352,0.9999999956687351,0.9959841728674059
0.016,34.334238113921955,0.400000025392963,0.4,-4.7650369994523404e-11,0.9999999917515096,0.9919935380896153,0.9999999956692582,0.9959841728680978
0.018,34.3342381120999,0.4000000253499311,0.4,-5.3573641931495575e-11,0.9999999917527063,0.9919935380906094,0.9999999956698492,0.9959841728688792
0.02,34.33423811006479,0.400000025302102,0.4,-5.948574516318557e-11,0.9999999917540402,0.9919935380917164,0.9999999956705075,0.9959841728697498
0.022,34.334238107817065,0.4000000252495295,0.4,-6.538556618950857e-11,0.9999999917555109,0.9919935380929361,0.999999995671233,0.9959841728707091
0.024,34.33423810535719,0.4000000251922661,0.4,-7.127200416035087e-11,0.9999999917571173,0.9919935380942673,0.999999995672025,0.9959841728717561
0.026,34.33423810268565,0.4000000251303652,0.4,-7.714397057510055e-11,0.9999999917588587,0.991993538095709,0.999999995672883,0.9959841728728901
0.028,34.33423809980301,0.40000002506387833,0.4,-8.300038933020384e-11,0.9999999917607342,0.9919935380972607,0.9999999956738065,0.9959841728741109
0.03,34.334238096709825,0.40000002499285736,0.4,-8.88401965462331e-11,0.9999999917627429,0.9919935380989214,0.9999999956747953,0.9959841728754174
0.032,34.334238093406725,0.40000002491735354,0.4,-9.466234039063167e-11,0.9999999917648837,0.9919935381006901,0.9999999956758485,0.9959841728768092
0.034,34.33423808989436,0.40000002483741776,0.4,-1.0046578119011958e-10,0.9999999917671559,0.9919935381025661,0.9999999956769658,0.9959841728782854
0.036,34.33423808617342,0.4000000247531007,0.4,-1.0624949111293112e-10,0.9999999917695586,0.9919935381045484,0.9999999956781468,0.9959841728798456
0.038,34.334238082244646,0.4000000246644523,0.4,-1.1201245424231096e-10,0.9999999917720905,0.9919935381066359,0.9999999956793908,0.9959841728814889
0.04,34.33423807810878,0.4000000245715225,0.4,-1.1775366640358214e-10,0.9999999917747511,0.991993538108828,0.9999999956806972,0.9959841728832143
0.042,34.334238073766656,0.4000000244743608,0.4,-1.2347213510361992e-10,0.9999999917775388,0.9919935381111237,0.9999999956820655,0.9959841728850216
0.044,34.334238069219076,0.40000002437301624,0.4,-1.2916687958273136e-10,0.9999999917804527,0.9919935381135219,0.9999999956834954,0.9959841728869098
0.046,34.33423806446693,0.4000000242675382,0.4,-1.3483693053796433e-10,0.9999999917834921,0.9919935381160216,0.999999995684986,0.9959841728888783
