Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477879,0.4,0.0,0.9999999913060577,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778777,0.4,-2.9664577125972246e-19,0.9999999913060575,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.4000000252477877,0.4,-2.9664577125972246e-19,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053213,0.4000000252451748,0.4,-5.8985364922309044e-12,0.9999999913061287,0.9919935378249731,0.9999999954927712,0.9959841726475223
0.004,34.40369990021364,0.40000002523737466,0.4,-1.1795304145838292e-11,0.9999999913063404,0.9919935378251503,0.9999999954928763,0.9959841726476615
0.006,34.403699899682906,0.4000000252244462,0.4,-1.7689098193746866e-11,0.9999999913066928,0.9919935378254446,0.999999995493051,0.9959841726478926
0.008,34.40369989894007,0.4000000252064479,0.4,-2.3578727532665857e-11,0.9999999913071853,0.9919935378258556,0.999999995493295,0.9959841726482156
0.01,34.4036998979853,0.4000000251834358,0.4,-2.946301462149153e-11,0.999999991307817,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.40369989681881,0.40000002515546673,0.4,-3.5340795237040816e-11,0.9999999913085874,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.40369989544085,0.40000002512259575,0.4,-4.121091831408926e-11,0.9999999913094956,0.99199353782778,0.9999999954944381,0.9959841726497278
0.016,34.40369989385172,0.40000002508487803,0.4,-4.707224580054056e-11,0.9999999913105413,0.9919935378286492,0.9999999954949547,0.9959841726504112
0.018,34.40369989205177,0.40000002504236715,0.4,-5.292365240235191e-11,0.9999999913117231,0.991993537829631,0.9999999954955383,0.9959841726511831
0.02,34.40369989004135,0.4000000249951174,0.4,-5.87640255359778e-11,0.9999999913130408,0.9919935378307246,0.9999999954961887,0.9959841726520431
0.022,34.4036998878209,0.40000002494318104,0.4,-6.459226520083259e-11,0.9999999913144934,0.9919935378319292,0.9999999954969052,0.9959841726529903
