Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.746,42.142273424538665,0.460975013447995,0.4,0.00025850830741943253,0.9964590503680004,0.9893649799212566,0.9983119648291092,0.9938366839275121
4.748,42.15132283028879,0.46099429363826433,0.4,0.00024423592785837865,0.9964613341954461,0.9893661470942242,0.9983127507743229,0.99383766227213
4.75,42.15985838350218,0.4610062910644118,0.4,0.00022996122790332082,0.9964630968024459,0.9893670776899901,0.998313375999536,0.9938384412840326
4.752,42.16788003126231,0.4610110162711684,0.4,0.00021568590809753724,0.99646434070661,0.9893677731200563,0.9983138414548283,0.9938390221455876
4.754,42.17538778182358,0.46100848079675133,0.4,0.00020141166624574756,0.9964650684464177,0.9893682347891646,0.9983141480831188,0.9938394060319038
4.756,42.18238170450862,0.4609986971701342,0.4,0.00018714019718254742,0.9964652825805299,0.9893684640949545,0.998314296819952,0.9938395941105548
4.758,42.188861929597174,0.4609816789081197,0.4,0.00017287319254155682,0.9964649856871219,0.9893684624276423,0.9983142885933002,0.9938395875413223
4.76,42.19482864820673,0.4609574405122213,0.4,0.0001586123405252335,0.996464180363238,0.9893682311697221,0.9983141243233818,0.9938393874759572
4.762,42.20028211216484,0.46092599746534557,0.4,0.00014435932567552257,0.9964628692241667,0.9893677716956857,0.9983138049224949,0.9938389950579593
4.764,42.20522263387328,0.46088736622828985,0.4,0.00013011582864528646,0.9964610549028382,0.9893670853717663,0.9983133312948679,0.9938384114223768
4.766,42.209650586163875,0.4608415642360444,0.4,0.00011588352597063571,0.9964587400492447,0.9893661735557002,0.9983127043365246,0.9938376376956227
4.768,42.21356640214627,0.460788609893904,0.4,0.00010166408984410382,0.9964559273298815,0.9893650375965121,0.9983119249351673,0.9938366749953121
4.77,42.216970575047455,0.4607285225733939,0.4,8.745918788883667e-05,0.9964526194272102,0.9893636788343196,0.9983109939700732,0.9938355244301161
4.772,42.21986365804324,0.46066132260800413,0.4,7.32704829337399e-05,0.9964488190391463,0.9893620986001607,0.9983099123120089,0.9938341870996366
4.774,42.22224626408161,0.4605870312887392,0.4,5.909963278970289e-05,0.9964445288785654,0.9893602982158394,0.9983086808231604,0.9938326640942968
4.776,42.22411906569808,0.4605056708594843,0.4,4.4948290026842465e-05,0.996439751672836,0.9893582789937955,0.9983073003570762,0.9938309564952535
4.778,42.22548279482304,0.4604172645121846,0.4,3.081810175293471e-05,0.9964344901633719,0.9893560422369932,0.9983057717586312,0.9938290653743266
4.78,42.2263382425811,0.46032183638184315,0.4,1.6710709392977338e-05,0.9964287471052082,0.9893535892388308,0.9983040958640006,0.9938269917939446
4.782,42.226686259082626,0.46021941154133894,0.4,2.627748470000478e-06,0.9964225252665988,0.9893509212830708,0.998302273500653,0.9938247368071124
4.784,42.226527753207286,0.46011001599606294,0.4,-1.142915161293313e-05,0.9964158274286379,0.989348039643792,0.9983003054873582,0.9938223014573951
4.786,42.22586369237985,0.45999367667837854,0.4,-2.5458367789370756e-05,0.9964086563849024,0.9893449455853599,0.998298192634208,0.9938196867789194
4.788,42.22469510233819,0.45987042144190515,0.4,-3.9458283544814256e-05,0.996401014941118,0.9893416403624193,0.9982959357426564,0.9938168937963945
4.79,42.22302306689354,0.45974027905562537,0.4,-5.3427289130651186e-05,0.996392905914846,0.9893381252199049,0.9982935356055694,0.9938139235251482
4.792,42.22084872768314,0.45960327919781907,0.4,-6.736378177673092e-05,0.9963843321351924,0.9893344013930732,0.9982909930072946,0.9938107769711837
4.794,42.21817328391514,0.45945945244982966,0.4,-8.126616590242139e-05,0.9963752964425417,0.9893304701075544,0.9982883087237416,0.9938074551312509
4.796,42.21499799210606,0.4593088302896552,0.4,-9.513285332620645e-05,0.9963658016883079,0.9893263325794218,0.99828548352248,0.9938039589929365
4.798,42.211324165810645,0.4591514450853747,0.4,-0.00010896226347370985,0.9963558507347104,0.9893219900152829,0.9982825181628483,0.9938002895347696
4.8,42.20715317534427,0.4589873300884097,0.4,-0.00012275282358420586,0.9963454464545715,0.9893174436123864,0.9982794133960792,0.993796447726346
4.802,42.20248644749799,0.458816519426617,0.4,-0.0001365029689154551,0.9963345917311324,0.9893126945587511,0.9982761699654384,0.9937924345284663
4.804,42.1973254652462,0.45863904809722394,0.4,-0.00015021114294692505,0.9963232894578938,0.9893077440333113,0.9982727886063766,0.9937882508932925
4.806,42.191671767447005,0.4584549519595998,0.4,-0.00016387579758128564,0.9963115425384739,0.9893025932060795,0.9982692700466931,0.9937838977645185
4.808,42.18552694853542,0.4582642677278722,0.4,-0.0001774953933442392,0.9962993538864895,0.9892972432383296,0.9982656150067165,0.9937793760775574
4.81,42.17889265820932,0.4580670329633823,0.4,-0.000191068399582527,0.9962867264254553,0.9892916952827945,0.9982618241994943,0.9937746867597442
4.812,42.171770601108385,0.45786328606699106,0.4,-0.00020459329466017317,0.9962736630887055,0.9892859504838832,0.9982578983309968,0.9937698307305523
4.814,42.16416253648596,0.4576530662712312,0.4,-0.00021806856615285826,0.9962601668193318,0.9892800099779131,0.9982538381003336,0.9937648089018254
4.816,42.156070277873965,0.45743641363230614,0.4,-0.0002314927110404831,0.9962462405701432,0.9892738748933595,0.9982496441999805,0.9937596221780238
4.818,42.14749569274091,0.4572133690219476,0.4,-0.0002448642358977685,0.9962318873036446,0.9892675463511205,0.99824531731602,0.9937542714564845
4.82,42.13844070214306,0.45698397411912145,0.4,-0.0002581816570829524,0.9962171099920316,0.9892610254647981,0.9982408581283915,0.9937487576276945
4.822,42.12890728036889,0.4567482714015946,0.4,-0.00027144350092447986,0.9962019116172064,0.9892543133409949,0.9982362673111539,0.9937430815755782
4.824,42.11889745457681,0.45650630413735677,0.4,-0.0002846483039057468,0.9961862951708096,0.9892474110796236,0.9982315455327576,0.993737244177797
4.826,42.10841330442631,0.45625811637590935,0.4,-0.0002977946128477477,0.9961702636542694,0.9892403197742334,0.9982266934563279,0.9937312463060609
4.828,42.09745696170249,0.4560037529394112,0.4,-0.00031088098508968905,0.9961538200788692,0.9892330405123491,0.9982217117399581,0.9937250888264543
4.83,42.08603060993429,0.45574325941369576,0.4,-0.00032390598866746727,0.996136967465829,0.9892255743758233,0.9982166010370126,0.9937187725997705
4.832,42.074136484006125,0.4554766821391546,0.4,-0.00033686820249007277,0.9961197088464061,0.9892179224412029,0.9982113619964388,0.9937122984818604
4.834,42.06177686976337,0.4552040682014924,0.4,-0.0003497662165137749,0.9961020472620076,0.9892100857801072,0.9982059952630881,0.9937056673239892
4.836,42.048954103611536,0.4549254654223537,0.4,-0.00036259863191414953,0.9960839857643217,0.9892020654596179,0.998200501478046,0.993698879973207
4.838,42.035670572109325,0.4546409223498289,0.4,-0.00037536406125585216,0.996065527415461,0.9891938625426829,0.9981948812789706,0.9936919372727259
4.84,42.02192871155558,0.4543504882488373,0.4,-0.00038806112866019923,0.9960466752881204,0.9891854780885283,0.9981891353004382,0.9936848400623093
4.842,42.00773100757028,0.45405421309138927,0.4,-0.0004006884699704152,0.9960274324657492,0.9891769131530828,0.9981832641742971,0.9936775891786686
4.844,41.99307999466959,0.45375214754673593,0.4,-0.00041324473291461,0.9960078020427354,0.9891681687894125,0.9981772685300283,0.99367018545587
4.846,41.97797825583516,0.45344434297140257,0.4,-0.0004257285772663924,0.9959877871246035,0.989159246048164,0.9981711489951121,0.9936626297257491
