Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477883,0.4,0.0,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.4000000252477881,0.4,-2.9664583126897015e-19,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.40000002524778805,0.4,-2.9664583126897015e-19,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053213,0.4000000252451935,0.4,-5.898537661683116e-12,0.9999999913061226,0.9919935378249695,0.9999999954927687,0.9959841726475193
0.004,34.40369990021364,0.40000002523752143,0.4,-1.1795321570892423e-11,0.999999991306294,0.9919935378251217,0.9999999954928576,0.9959841726476377
0.006,34.403699899682906,0.40000002522492945,0.4,-1.768918421657643e-11,0.9999999913065399,0.9919935378253503,0.999999995492989,0.9959841726478146
0.008,34.40369989894006,0.40000002520756617,0.4,-2.3578993953767032e-11,0.9999999913068307,0.9919935378256367,0.999999995493151,0.9959841726480344
0.01,34.40369989798528,0.4000000251855707,0.4,-2.946365290461813e-11,0.9999999913071398,0.9919935378259646,0.999999995493333,0.9959841726482836
0.012,34.40369989681875,0.40000002515907346,0.4,-3.53420946627342e-11,0.9999999913074429,0.9919935378263182,0.9999999954935247,0.9959841726485495
0.014,34.40369989544073,0.40000002512819666,0.4,-4.121328247738499e-11,0.9999999913077188,0.9919935378266836,0.9999999954937172,0.9959841726488209
0.016,34.403699893851496,0.4000000250930555,0.4,-4.707620739232553e-11,0.999999991307947,0.9919935378270488,0.9999999954939024,0.9959841726490871
0.018,34.40369989205136,0.4000000250537577,0.4,-5.292988663320586e-11,0.99999999130811,0.9919935378274021,0.9999999954940728,0.9959841726493389
0.02,34.40369989004067,0.40000002501040555,0.4,-5.87733619539094e-11,0.9999999913081916,0.9919935378277333,0.9999999954942217,0.9959841726495681
0.022,34.40369988781981,0.40000002496309445,0.4,-6.460569836117992e-11,0.9999999913081774,0.9919935378280331,0.9999999954943434,0.9959841726497668
0.024,34.4036998853892,0.40000002491191566,0.4,-7.04259827160345e-11,0.9999999913080545,0.9919935378282931,0.999999995494432,0.9959841726499282
0.026,34.4036998827493,0.40000002485695413,0.4,-7.623332251675505e-11,0.999999991307811,0.9919935378285062,0.9999999954944832,0.9959841726500465
0.028,34.40369987990057,0.40000002479829116,0.4,-8.202684483968023e-11,0.9999999913074369,0.9919935378286653,0.9999999954944923,0.9959841726501156
0.03,34.40369987684355,0.4000000247360033,0.4,-8.78056951135503e-11,0.9999999913069227,0.9919935378287645,0.9999999954944555,0.9959841726501313
0.032,34.40369987357875,0.40000002467016316,0.4,-9.356903646668913e-11,0.9999999913062607,0.9919935378287987,0.9999999954943697,0.9959841726500889
0.034,34.40369987010677,0.4000000246008399,0.4,-9.931604849702576e-11,0.9999999913054436,0.9919935378287632,0.9999999954942315,0.9959841726499845
0.036,34.4036998664282,0.4000000245280994,0.4,-1.0504592674032869e-10,0.999999991304465,0.9919935378286535,0.9999999954940384,0.9959841726498148
0.038,34.403699862543675,0.40000002445200394,0.4,-1.107578816953022e-10,0.9999999913033196,0.9919935378284663,0.999999995493788,0.9959841726495768
0.04,34.403699858453855,0.4000000243726132,0.4,-1.164511383091137e-10,0.9999999913020023,0.991993537828198,0.9999999954934784,0.9959841726492679
0.042,34.40369985415943,0.4000000242899846,0.4,-1.2212493515812873e-10,0.9999999913005098,0.9919935378278464,0.9999999954931077,0.9959841726488858
0.044,34.40369984966111,0.4000000242041721,0.4,-1.2777852393560016e-10,0.999999991298838,0.9919935378274086,0.9999999954926745,0.9959841726484286
0.046,34.403699844959625,0.40000002411522845,0.4,-1.3341116888747777e-10,0.9999999912969844,0.9919935378268828,0.9999999954921776,0.9959841726478951
0.048,34.40369984005576,0.4000000240232035,0.4,-1.3902214626118756e-10,0.9999999912949469,0.9919935378262673,0.9999999954916157,0.9959841726472831
0.05,34.4036998349503,0.4000000239281457,0.4,-1.4461074390356513e-10,0.9999999912927233,0.9919935378255607,0.9999999954909882,0.9959841726465922
