Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.046,34.4036998450011,0.40000002396885476,0.4,-1.3318663372762875e-10,-1.8451251184958804e-08,0.9999999913393444,0.9919935378530982,0.9999999955093944,0.9959841726695715
0.048,34.40369984010596,0.40000002386056027,0.4,-1.3876155211886848e-10,-1.8031776178261055e-08,0.999999991342425,0.9919935378556409,0.9999999955109091,0.9959841726715727
0.05,34.403699835010585,0.4000000237482835,0.4,-1.443101821084865e-10,-1.7611300819354016e-08,0.9999999913456299,0.9919935378582838,0.9999999955124838,0.9959841726736528
0.052,34.40369982971595,0.400000023632072,0.4,-1.4983160136184421e-10,-1.7192569398544836e-08,0.9999999913489583,0.9919935378610258,0.999999995514118,0.9959841726758114
0.054,34.40369982422305,0.4000000235119736,0.4,-1.553248986832814e-10,-1.6777807752337398e-08,0.9999999913524087,0.9919935378638661,0.9999999955158113,0.9959841726780476
0.056,34.40369981853291,0.40000002338803536,0.4,-1.6078917407880384e-10,-1.6368799493695593e-08,0.9999999913559796,0.9919935378668032,0.9999999955175627,0.9959841726803602
0.058,34.403699812646586,0.40000002326030404,0.4,-1.6622353859612142e-10,-1.596695181239382e-08,0.9999999913596699,0.9919935378698362,0.9999999955193717,0.9959841726827489
0.06,34.40369980656518,0.4000000231288268,0.4,-1.7162711440679076e-10,-1.5573352568220938e-08,0.9999999913634782,0.9919935378729642,0.9999999955212378,0.9959841726852122
0.062,34.403699800289814,0.4000000229936507,0.4,-1.7699903469164785e-10,-1.5188819449248934e-08,0.9999999913674034,0.9919935378761856,0.99999999552316,0.9959841726877497
0.064,34.40369979382164,0.4000000228548223,0.4,-1.8233844365810117e-10,-1.4813942498209028e-08,0.9999999913714437,0.9919935378794998,0.999999995525138,0.9959841726903604
0.066,34.40369978716185,0.4000000227123887,0.4,-1.8764449651635359e-10,-1.4449120731642421e-08,0.9999999913755981,0.9919935378829055,0.9999999955271708,0.9959841726930434
0.068,34.40369978031164,0.4000000225663961,0.4,-1.9291635954641345e-10,-1.4094593728379004e-08,0.9999999913798652,0.9919935378864014,0.999999995529258,0.9959841726957976
0.07,34.40369977327229,0.40000002241689175,0.4,-1.9815320992300108e-10,-1.3750468594278591e-08,0.9999999913842437,0.9919935378899868,0.9999999955313988,0.9959841726986227
0.072,34.403699766045044,0.40000002226392173,0.4,-2.033542358495709e-10,-1.3416743333794172e-08,0.9999999913887321,0.9919935378936602,0.9999999955335926,0.9959841727015174
0.074,34.40369975863122,0.40000002210753277,0.4,-2.0851863641131947e-10,-1.309332666002745e-08,0.9999999913933288,0.9919935378974206,0.9999999955358388,0.9959841727044809
0.076,34.40369975103215,0.40000002194777134,0.4,-2.1364562169623767e-10,-1.2780055129063324e-08,0.9999999913980331,0.9919935379012669,0.9999999955381367,0.9959841727075123
0.078,34.40369974324919,0.4000000217846843,0.4,-2.18734412762686e-10,-1.2476707636941919e-08,0.999999991402843,0.9919935379051981,0.9999999955404854,0.9959841727106106
0.08,34.403699735283745,0.4000000216183176,0.4,-2.2378424154428212e-10,-1.2183017702668787e-08,0.9999999914077573,0.9919935379092129,0.9999999955428844,0.9959841727137752
0.082,34.40369972713721,0.4000000214487182,0.4,-2.2879435098176127e-10,-1.1898684069334052e-08,0.9999999914127748,0.9919935379133101,0.9999999955453331,0.9959841727170049
0.084,34.40369971881104,0.4000000212759321,0.4,-2.3376399488246926e-10,-1.1623379450594935e-08,0.9999999914178938,0.9919935379174888,0.9999999955478308,0.9959841727202992
0.086,34.4036997103067,0.40000002110000665,0.4,-2.386924379765652e-10,-1.1356758053892983e-08,0.9999999914231134,0.9919935379217478,0.9999999955503767,0.9959841727236567
0.088,34.40369970162568,0.40000002092098724,0.4,-2.435789560034876e-10,-1.1098461910774045e-08,0.9999999914284313,0.9919935379260857,0.99999999555297,0.9959841727270767
0.09,34.40369969276953,0.4000000207389211,0.4,-2.484228355260524e-10,-1.0848125956906206e-08,0.9999999914338469,0.9919935379305017,0.9999999955556104,0.9959841727305585
0.092,34.40369968373977,0.4000000205538548,0.4,-2.532233741401331e-10,-1.0605382542957229e-08,0.9999999914393582,0.9919935379349943,0.9999999955582968,0.995984172734101
0.094,34.403699674537975,0.40000002036583465,0.4,-2.579798803773864e-10,-1.0369864920162969e-08,0.9999999914449643,0.9919935379395627,0.9999999955610287,0.9959841727377032
0.096,34.40369966516575,0.40000002017490677,0.4,-2.6269167364904926e-10,-1.014121011642242e-08,0.9999999914506632,0.9919935379442054,0.9999999955638054,0.9959841727413642
0.098,34.40369965562472,0.40000001998111867,0.4,-2.6735808430646545e-10,-9.919061353099998e-09,0.9999999914564539,0.9919935379489213,0.9999999955666261,0.9959841727450832
0.1,34.403699645916525,0.40000001978451627,0.4,-2.719784537686224e-10,-9.703070019492061e-09,0.9999999914623345,0.9919935379537093,0.9999999955694903,0.9959841727488592
0.102,34.40369963604283,0.4000000195851469,0.4,-2.765521343254414e-10,-9.492896985068928e-09,0.9999999914683038,0.9919935379585683,0.9999999955723969,0.9959841727526911
0.104,34.40369962600534,0.40000001938305685,0.4,-2.8107848923505177e-10,-9.288213819470378e-09,0.9999999914743601,0.9919935379634968,0.9999999955753456,0.9959841727565782
0.106,34.403699615805756,0.4000000191782928,0.4,-2.855568927432456e-10,-9.088703641281316e-09,0.9999999914805021,0.9919935379684939,0.9999999955783355,0.9959841727605196
0.108,34.40369960544583,0.400000018970902,0.4,-2.899867301159026e-10,-8.894061738958236e-09,0.9999999914867284,0.9919935379735583,0.9999999955813658,0.9959841727645141
0.11,34.4036995949273,0.4000000187609304,0.4,-2.943673975892721e-10,-8.703995913657506e-09,0.999999991493037,0.9919935379786888,0.9999999955844359,0.9959841727685609
0.112,34.403699584251974,0.4000000185484255,0.4,-2.986983023678114e-10,-8.518226700221342e-09,0.999999991499427,0.991993537983884,0.9999999955875449,0.9959841727726589
0.114,34.40369957342163,0.4000000183334341,0.4,-3.029788626695806e-10,-8.336487476388014e-09,0.9999999915058964,0.9919935379891431,0.9999999955906924,0.9959841727768075
0.116,34.403699562438106,0.4000000181160031,0.4,-3.0720850770246397e-10,-8.158524405371143e-09,0.999999991512444,0.9919935379944647,0.9999999955938774,0.9959841727810053
0.118,34.40369955130324,0.4000000178961796,0.4,-3.1138667781980926e-10,-7.984096413498276e-09,0.9999999915190682,0.9919935379998472,0.9999999955970992,0.9959841727852515
0.12,34.40369954001889,0.4000000176740102,0.4,-3.1551282424805963e-10,-7.81297475512838e-09,0.999999991525767,0.9919935380052899,0.9999999956003569,0.995984172789545
0.122,34.40369952858695,0.4000000174495422,0.4,-3.195864093439899e-10,-7.644942950782798e-09,0.9999999915325395,0.9919935380107914,0.9999999956036502,0.9959841727938852
0.124,34.40369951700931,0.4000000172228226,0.4,-3.2360690645636096e-10,-7.479796343124735e-09,0.9999999915393836,0.9919935380163503,0.9999999956069779,0.9959841727982708
0.126,34.403699505287896,0.40000001699389887,0.4,-3.275738000577805e-10,-7.317341842420183e-09,0.9999999915462983,0.9919935380219654,0.9999999956103396,0.995984172802701
