Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.32674794209209,0.4000519541608118,0.3999995,0.0,0.3999995,0.9999956484056015,0.9919906094543623,0.9999981309952319,0.9959817896052152
0.002,20.326747728003546,0.40005194893906126,0.3999995000000003,-1.1893432261512834e-08,0.3999995000000003,0.9999956485429186,0.9919906095702946,0.9999981310638238,0.9959817896961489
0.004,20.326747085806154,0.40005193353079554,0.3999995000000039,-2.3783439769482005e-08,0.3999995000000039,0.9999956489337204,0.9919906099038034,0.9999981312605085,0.9959817899573266
0.006,20.326746015664277,0.4000519082951778,0.3999995000000189,-3.566775443143715e-08,0.3999995000000189,0.9999956495489635,0.991990610435227,0.9999981315727844,0.9959817903727588
0.008,20.326744517822505,0.4000518735591629,0.3999995000000572,-4.7544186083354334e-08,0.3999995000000572,0.9999956503628551,0.991990611147052,0.9999981319895275,0.9959817909282115
0.01,20.326742592602972,0.40005182962064695,0.39999950000013423,-5.941061554173266e-08,0.39999950000013423,0.9999956513525079,0.9919906120236874,0.999998132500846,0.99598179161102
0.012,20.326740240402927,0.40005177675131065,0.3999995000002677,-7.126498833522306e-08,0.3999995000002677,0.999995652497628,0.9919906130512596,0.999998133097949,0.9959817924099215
0.014,20.326737461692495,0.4000517151991947,0.3999995000004773,-8.310530905088256e-08,0.3999995000004773,0.9999956537802378,0.9919906142174302,0.9999981337730285,0.9959817933149069
0.016,20.32673425701265,0.4000516451910255,0.3999995000007845,-9.492963623624921e-08,0.3999995000007845,0.999995655184425,0.9919906155112318,0.9999981345191549,0.9959817943170859
0.018,20.32673062697336,0.4000515669343212,0.3999995000012114,-1.0673607780398792e-07,0.3999995000012114,0.9999956566961208,0.9919906169229213,0.9999981353301818,0.9959817954085669
0.02,20.326726572251886,0.4000514806192942,0.3999995000017814,-1.1852278689102727e-07,0.3999995000017814,0.999995658302899,0.9919906184438482,0.9999981362006619,0.9959817965823502
