Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.302,3.2572684912078214,0.4601865787492991,0.3964338043904738,0.0006680811978972119,0.3964338043904738,1.0162777177221871,0.9554688059083896,0.9646960949637772,0.9586026080866912
9.304,3.281057641775396,0.4605270549318334,0.39642015688078114,0.0006535251129960331,0.39642015688078114,1.0162802598026004,0.955480882067716,0.9647119568809197,0.9586176146380537
9.306,3.304321363064802,0.46085877490941773,0.3964062757179574,0.000638891005696966,0.3964062757179574,1.016282561254032,0.9554925284789629,0.9647273272946625,0.9586321331921344
9.308,3.327056881239504,0.46118169740716564,0.39639216279503947,0.0006241808203656642,0.39639216279503947,1.0162846228467892,0.9555037450469505,0.9647422054529762,0.9586461632354747
9.31,3.349261492631462,0.46149578236406075,0.3963778200364978,0.0006093965108448323,0.3963778200364978,1.016286445364322,0.9555145317076008,0.9647565906469986,0.9586597042947036
9.312,3.3709325640775205,0.46180099093898463,0.39636324939794704,0.0005945400401845068,0.39636324939794704,1.0162880296025807,0.9555248884273074,0.9647704822106002,0.9586727559360015
9.314,3.392067533246047,0.46209728551655216,0.3963484528658513,0.0005796133803709517,0.3963484528658513,1.0162893763693828,0.9555348152023141,0.9647838795199581,0.9586853177645754
9.316,3.412663908953627,0.46238462971274885,0.3963334324572264,0.0005646185120543303,0.3963334324572264,1.0162904864837858,0.9555443120581016,0.964796781993133,0.9586973894241376
9.318,3.4327192714721004,0.46266298838037756,0.396318190219337,0.0005495574242749598,0.396318190219337,1.0162913607754702,0.9555533790487886,0.9648091890896557,0.9587089705963973
9.32,3.452231272825711,0.462932327614309,0.3963027282293909,0.0005344321141883105,0.3963027282293909,1.0162920000841345,0.9555620162565404,0.9648211003101193,0.9587200610005587
9.322,3.471197637078162,0.4631926147565292,0.3962870485942269,0.0005192445867889265,0.3962870485942269,1.016292405258896,0.9555702237909914,0.9648325151957783,0.95873066039283
9.324,3.489616160609972,0.4634438184009948,0.3962711534500008,0.0005039968546329781,0.3962711534500008,1.0162925771577052,0.955578001788678,0.9648434333281567,0.9587407685659395
9.326,3.5074847123855664,0.46368590839828466,0.3962550449618667,0.0004886909375598942,0.3962550449618667,1.0162925166467711,0.9555853504124857,0.9648538543286632,0.9587503853486665
9.328,3.5248012342104986,0.46391885586005027,0.3962387253236531,0.00047332886241277977,0.3962387253236531,1.0162922245999952,0.9555922698511066,0.9648637778582146,0.958759510605378
9.33,3.5415637409785785,0.46414263316326654,0.3962221967575374,0.0004579126627578014,0.3962221967575374,1.0162917018984199,0.9555987603185112,0.9648732036168681,0.9587681442355789
9.332,3.5577703209087455,0.46435721395427565,0.39620546151371444,0.00044244437860270567,0.39620546151371444,1.0162909494296872,0.9556048220534348,0.9648821313434619,0.9587762861734724
9.334,3.5734191357719314,0.4645625731526293,0.39618852187006165,0.00042692605611427365,0.39618852187006165,1.0162899680875102,0.955610455318875,0.9648905608152655,0.9587839363875318
9.336,3.5885084211077256,0.4647586869547268,0.39617138013180203,0.00041135974733487647,0.39617138013180203,1.016288758771157,0.9556156604016054,0.9648984918476387,0.9587910948800845
9.338,3.603036486430688,0.46494553283724116,0.3961540386311614,0.0003957475098983183,0.3961540386311614,1.0162873223849493,0.955620437611704,0.9649059242937013,0.9587977616869079
9.34,3.617001715426618,0.46512308956034726,0.39613649972702203,0.00038009140674466664,0.39613649972702203,1.0162856598377707,0.9556247872820942,0.9649128580440103,0.9588039368768371
9.342,3.630402566138345,0.4652913371707339,0.39611876580457517,0.00036439350583453134,0.39611876580457517,1.0162837720425937,0.9556287097681033,0.9649192930262507,0.9588096205513864
9.344,3.643237571141357,0.46545025700441095,0.396100839274967,0.00034865587986249245,0.396100839274967,1.0162816599160154,0.9556322054470352,0.964925229204932,0.9588148128443814
9.344774792058391,3.6479900551968054,0.46550820127184267,0.3960938209051371,0.000342544601398564,0.3960938209051371,1.0162807543639174,0.9556333941761991,0.964927335486909,0.9588166338153226
9.344774792058391,3.6479900551968054,0.46550820127191245,0.39609382090512857,0.000342544601398564,0.39609382090512857,1.016280754363916,0.9556333941762006,0.9649273354869116,0.9588166338153249
9.346,3.6554378607869564,0.46559872036531147,0.39608270043515253,0.00033287640422008087,0.39608270043515253,1.016279297254313,0.9556352238908654,0.9649306072639845,0.9588194554573309
9.348,3.6671369242387652,0.46573893208507255,0.39606439762529017,0.00031706581139941787,0.39606439762529017,1.016276739401154,0.9556378672425337,0.9649355458867761,0.9588236655522682
9.35,3.678266197438258,0.46586976795712043,0.39604591243289733,0.0003012217381350042,0.39604591243289733,1.0162739599779884,0.9556400850473088,0.9649399858212627,0.958827384860004
9.352,3.6888245126899406,0.4659912144984141,0.39602724904091746,0.0002853462739773501,0.39602724904091746,1.0162709599122302,0.9556418777668361,0.964943927176715,0.9588306136405357
9.354,3.698810777588954,0.466103259527078,0.39600841158641875,0.0002694415121401711,0.39600841158641875,1.016267740132773,0.955643245882836,0.964947370097903,0.9588333521845499
9.356,3.7082239751475163,0.4662058921642184,0.39598940416099226,0.00025350954919441056,0.39598940416099226,1.0162643015696258,0.9556441898967887,0.964950314764877,0.9588356008131543
9.358,3.7170631639102147,0.46629910283550563,0.3959702308111488,0.0002375524847622068,0.3959702308111488,1.01626064515356,0.955644710329631,0.9649527613927544,0.9588373598776171
9.36,3.72532747805836,0.466382883272526,0.39595089553871293,0.00022157242121050342,0.39595089553871293,1.0162567718157796,0.9556448077214749,0.9649547102315222,0.958838629759127
9.362,3.7330161275033036,0.46645722651390387,0.39593140230121576,0.0002055714633444957,0.39593140230121576,1.0162526824875981,0.955644482631338,0.9649561615658474,0.9588394108685621
9.364,3.740128397968652,0.46652212690618833,0.3959117550122838,0.0001895517181010933,0.3959117550122838,1.0162483781001412,0.9556437356368946,0.9649571157148998,0.9588397036462748
9.366,3.7466636510615134,0.4665775801045178,0.39589195754202755,0.00017351529424219504,0.39589195754202755,1.0162438595840595,0.9556425673342431,0.9649575730321859,0.9588395085618917
9.368,3.7526213243326882,0.4666235830730485,0.39587201371742575,0.00015746430204795493,0.39587201371742575,1.0162391278692597,0.9556409783376891,0.9649575339053936,0.9588388261141251
9.37,3.758000931325772,0.4666601340851601,0.39585192732270985,0.00014140085301023338,0.39585192732270985,1.0162341838846551,0.9556389692795484,0.9649569987562495,0.9588376568306026
9.372,3.7628020616152975,0.46668723272342927,0.3958317020997441,0.00012532705952592857,0.3958317020997441,1.0162290285579278,0.9556365408099657,0.9649559680403864,0.9588360012677082
9.374,3.767024380833768,0.46670487987937687,0.39581134174840404,0.00010924503459066665,0.39581134174840404,1.0162236628153136,0.9556336935967527,0.9649544422472247,0.95883386001044
9.376,3.770667630687712,0.4667130777529902,0.3957908499269542,9.31568914925456e-05,0.3957908499269542,1.0162180875813982,0.9556304283252406,0.9649524218998613,0.9588312336722811
9.378,3.7737316289627145,0.46671182985201676,0.39577023025242003,7.706474350612568e-05,0.39577023025242003,1.0162123037789352,0.9556267456981551,0.9649499075549752,0.9588281228950863
9.38,3.7762162695174077,0.4667011409910328,0.39574948630096185,6.097070358684568e-05,0.39574948630096185,1.0162063123286795,0.9556226464355055,0.9649468998027422,0.9588245283489844
9.382,3.778121522266494,0.4666810172902886,0.3957286216082441,4.487688406565915e-05,0.3957286216082441,1.0162001141492374,0.9556181312744927,0.9649433992667605,0.9588204507322919
9.384,3.77944743315278,0.46665146617432574,0.3957076396698017,2.8785396344068642e-05,0.3957076396698017,1.0161937101569336,0.9556132009694351,0.9649394066039908,0.9588158907714461
9.386,3.7801941241082253,0.46661249637037394,0.39568654394140645,1.2698350589751938e-05,0.39568654394140645,1.0161871012656978,0.9556078562917133,0.9649349225047059,0.9588108492209496
9.388,3.780361793004057,0.46656411790652214,0.3956653378394292,-3.3821445675276767e-06,0.3956653378394292,1.0161802883869666,0.9556020980297312,0.9649299476924537,0.9588053268633312
9.39,3.77995071358994,0.466506342109669,0.39564402474120147,-1.945398233924739e-05,0.39564402474120147,1.0161732724296029,0.9555959269888951,0.9649244829240303,0.9587993245091212
9.392,3.7789612354222393,0.46643918160325115,0.39562260798537174,-3.551505808099564e-05,0.39562260798537174,1.0161660542998332,0.9555893439916117,0.9649185289894673,0.9587928429968411
9.394,3.7773937837813896,0.46636265030474816,0.3956010908722653,-5.156326959469461e-05,0.3956010908722653,1.016158634901202,0.9555823498773018,0.9649120867120268,0.9587858831930087
9.396,3.7752488595784017,0.4662767634229709,0.3955794766642337,-6.759651742999597e-05,0.3955794766642337,1.0161510151345428,0.9555749455024344,0.964905156948213,0.9587784459921571
9.398,3.7725270392505306,0.466181537455128,0.3955577685860103,-8.3612705185059e-05,0.3955577685860103,1.016143195897968,0.9555671317405747,0.9648977405877911,0.9587705323168687
9.4,3.769228974646113,0.46607699018367266,0.39553596982505723,-9.960973980653193e-05,0.39553596982505723,1.0161351780868728,0.9555589094824526,0.9648898385538198,0.9587621431178233
