Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.4000367614109468,0.4,0.0,0.4,0.9999942019109366,0.9919898458682375,0.9999975974033131,0.9959811372603906
0.002,28.849679399501447,0.40003675733793065,0.4000000000000021,-9.18955354304446e-09,0.4000000000000021,0.9999942020206907,0.9919898459602396,0.9999975974578625,0.9959811373326299
0.004,28.84967890330679,0.40003674517314763,0.40000000000003233,-1.8376156841676723e-08,0.40000000000003233,0.9999942023472718,0.9919898462342939,0.9999975976202999,0.9959811375477801
0.006,28.849678076477733,0.4000367249974144,0.40000000000016245,-2.755779745282118e-08,0.40000000000016245,0.9999942028866184,0.9919898466874512,0.9999975978887952,0.995981137903472
0.008,28.849676919228855,0.400036696890814,0.40000000000051,-3.673248322132634e-08,0.40000000000051,0.9999942036346205,0.9919898473167384,0.9999975982614998,0.9959811383973158
0.01,28.849675431846084,0.40003666093275286,0.4000000000012372,-4.589824209031793e-08,0.4000000000012372,0.9999942045871271,0.9919898481191624,0.9999975987365518,0.9959811390269038
0.012,28.849673614685994,0.40003661720200945,0.4000000000025493,-5.5053121925196134e-08,0.4000000000025493,0.9999942057399505,0.9919898490917122,0.999997599312076,0.9959811397898133
0.014,28.849671468175064,0.40003656577678354,0.40000000000469316,-6.419519035039122e-08,0.40000000000469316,0.9999942070888723,0.9919898502313624,0.9999975999861866,0.9959811406836088
0.016,28.849668992808997,0.4000365067347437,0.400000000007956,-7.332253459835467e-08,0.400000000007956,0.9999942086296503,0.991989851535077,0.9999976007569898,0.9959811417058452
0.018,28.849666189152003,0.40003644015307066,0.40000000001266367,-8.243326137050374e-08,0.40000000001266367,0.9999942103580208,0.9919898529998098,0.9999976016225842,0.9959811428540684
0.02,28.8496630578361,0.4000363661085008,0.40000000001917957,-9.152549670911798e-08,0.40000000001917957,0.999994212269705,0.991989854622509,0.9999976025810641,0.9959811441258192
0.022,28.849659599560415,0.400036284677366,0.4000000000279035,-1.0059738588023603e-07,0.4000000000279035,0.9999942143604126,0.9919898564001183,0.9999976036305199,0.9959811455186345
0.024,28.849655815090514,0.40003619593563206,0.4000000000392695,-1.0964709326650769e-07,0.4000000000392695,0.9999942166258451,0.991989858329579,0.9999976047690401,0.9959811470300486
0.026,28.849651705257703,0.40003609995893646,0.4000000000537456,-1.1867280227016485e-07,0.4000000000537456,0.9999942190617016,0.9919898604078332,0.9999976059947128,0.9959811486575958
0.028,28.849647270958325,0.40003599682262175,0.4000000000718317,-1.276727152249186e-07,0.4000000000718317,0.9999942216636796,0.9919898626318236,0.9999976073056263,0.9959811503988112
0.03,28.849642513153125,0.4000358866017709,0.4000000000940589,-1.366450533168926e-07,0.4000000000940589,0.9999942244274799,0.9919898649984972,0.9999976086998712,0.9959811522512324
0.032,28.84963743286653,0.40003576937123747,0.40000000012098763,-1.4558805651407786e-07,0.40000000012098763,0.9999942273488096,0.9919898675048051,0.9999976101755409,0.9959811542124012
