Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.4000367614109468,0.3999995,0.0,0.3999995,0.9999942019109366,0.9919898458682375,0.9999975974033131,0.9959811372603906
0.002,28.849679397251563,0.40003675728253235,0.39999950000308565,-9.314542479532209e-09,0.39999950000308565,0.9999942020221834,0.991989845961491,0.9999975974586045,0.9959811373336124
0.004,28.84967889430809,0.4000367449522948,0.3999995000245306,-1.8626091904320555e-08,0.3999995000245306,0.9999942023532064,0.9919898462392727,0.9999975976232514,0.995981137551689
0.006,28.84967805623344,0.4000367245021539,0.39999950008227125,-2.793260163472024e-08,0.39999950008227125,0.9999942028998885,0.9919898466985932,0.9999975978953981,0.9959811379122187
0.008,28.84967688324563,0.4000366960132957,0.39999950019378744,-3.723204119512879e-08,0.39999950019378744,0.9999942036580639,0.991989847336439,0.9999975982731718,0.9959811384127787
0.01,28.849675375635503,0.40003665956623125,0.3999995003761083,-4.652239620960933e-08,0.3999995003761083,0.9999942046235238,0.9919898481497753,0.9999975987546842,0.9959811390509288
0.012,28.849673533766115,0.40003661524085016,0.3999995006458175,-5.5801668350265176e-08,0.3999995006458175,0.9999942057920228,0.9919898491355494,0.9999975993380341,0.995981139824212
0.014,28.84967135807218,0.4000365631164751,0.39999950101905873,-6.506787529796572e-08,0.39999950101905873,0.9999942071592838,0.991989850290694,0.9999976000213098,0.9959811407301591
0.016,28.849668849059487,0.4000365032719118,0.399999501511541,-7.43190507144891e-08,0.399999501511541,0.9999942087210043,0.9919898516121288,0.9999976008025896,0.9959811417662898
0.018,28.84966600730433,0.400036435785497,0.39999950213854407,-8.355324422584335e-08,0.39999950213854407,0.99999421047286,0.9919898530967646,0.9999976016799458,0.9959811429301151
0.02,28.849662833452914,0.40003636073514565,0.39999950291492364,-9.276852141588504e-08,0.39999950291492364,0.9999942124105106,0.991989854741505,0.9999976026514447,0.9959811442191403
0.022,28.84965932822082,0.4000362781983933,0.3999995038551164,-1.0196296383018407e-07,0.3999995038551164,0.9999942145296025,0.9919898565432484,0.9999976037151486,0.9959811456308654
0.024,28.849655492392387,0.4000361882524396,0.3999995049731453,-1.1113466898897418e-07,0.3999995049731453,0.9999942168257745,0.9919898584988903,0.9999976048691173,0.995981147162788
0.026,28.849651326820155,0.40003609097418674,0.3999995062826246,-1.2028175040934332e-07,0.3999995062826246,0.9999942192946599,0.9919898606053256,0.99999760611141,0.9959811488124047
0.028,28.8496468324243,0.4000359864402787,0.3999995077967649,-1.2940233763577882e-07,0.3999995077967649,0.999994221931891,0.9919898628594496,0.9999976074400851,0.995981150577212
0.03,28.84964201019204,0.4000358747271371,0.39999950952837804,-1.3849457627867582e-07,0.39999950952837804,0.9999942247331023,0.9919898652581605,0.9999976088532035,0.9959811524547091
0.032,28.849636861177064,0.4000357559109952,0.39999951148988205,-1.475566280606383e-07,0.39999951148988205,0.9999942276939325,0.9919898677983604,0.9999976103488275,0.9959811544423978
0.034,28.84963138649895,0.4000356300679308,0.399999513693306,-1.5658667086972344e-07,0.399999513693306,0.9999942308100284,0.9919898704769574,0.9999976119250235,0.9959811565377846
0.036,28.84962558734256,0.4000354972738976,0.39999951615029494,-1.655828988195417e-07,0.39999951615029494,0.9999942340770467,0.9919898732908659,0.999997613579862,0.9959811587383817
0.038,28.849619464957502,0.4000353576047537,0.3999995188721145,-1.745435223155419e-07,0.3999995188721145,0.999994237490657,0.991989876237009,0.9999976153114188,0.9959811610417078
0.04,28.8496130206575,0.4000352111362909,0.3999995218696556,-1.8346676812764963e-07,0.3999995218696556,0.9999942410465442,0.991989879312319,0.9999976171177762,0.9959811634452895
0.042,28.849606255819825,0.4000350579442598,0.39999952515343934,-1.923508794679993e-07,0.39999952515343934,0.9999942447404097,0.9919898825137383,0.9999976189970229,0.9959811659466621
0.044,28.84959917188469,0.4000348981043954,0.39999952873362143,-2.0119411607433245e-07,0.39999952873362143,0.9999942485679738,0.9919898858382211,0.9999976209472549,0.9959811685433698
0.046,28.849591770354667,0.4000347316924397,0.3999995326199968,-2.09994754298011e-07,0.3999995326199968,0.9999942525249781,0.9919898892827338,0.9999976229665775,0.995981171232968
0.048,28.849584052794068,0.40003455878416505,0.39999953682200423,-2.187510871966535e-07,0.39999953682200423,0.9999942566071862,0.991989892844256,0.9999976250531036,0.9959811740130223
0.05,28.849576020828355,0.40003437945539466,0.3999995413487306,-2.2746142463118262e-07,0.3999995413487306,0.9999942608103862,0.9919898965197812,0.9999976272049566,0.9959811768811107
0.052,28.849567676143533,0.4000341937820215,0.3999995462089157,-2.3612409336647846e-07,0.3999995462089157,0.9999942651303909,0.9919899003063177,0.9999976294202688,0.9959811798348227
0.054,28.849559020485543,0.4000340018400276,0.39999955141095633,-2.4473743717596387e-07,0.39999955141095633,0.9999942695630408,0.9919899042008894,0.9999976316971837,0.9959811828717615
